method,alpha,stragglers,clients,local_epochs,lr,eta,max_rounds,batch_size,seed,run_dir,run_date,total_rounds,best_test_acc,final_test_acc,best_train_acc,final_train_acc,final_test_loss,total_time_sec,total_time_min,num_rows,exp_id,location,freshness_alpha,beta1,beta2
FedAsync,0.1,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_140546,20251126,414,0.1172,0.1007,,,,,,414,,,,,
FedAsync,0.1,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_141652,20251126,16,0.1007,0.1007,,,,,,16,,,,,
FedAsync,0.1,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_141758,20251126,16,0.1007,0.1007,,,,,,16,,,,,
FedAsync,0.1,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_141903,20251126,17,0.1007,0.1007,,,,,,17,,,,,
FedAsync,10.0,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_142009,20251126,17,0.1007,0.1007,,,,,,17,,,,,
FedAsync,10.0,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_142116,20251126,17,0.1007,0.1007,,,,,,17,,,,,
FedAsync,10.0,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_142222,20251126,17,0.1007,0.1007,,,,,,17,,,,,
FedAsync,10.0,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_142328,20251126,17,0.1007,0.1007,,,,,,17,,,,,
FedAsync,1000.0,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_142434,20251126,17,0.1007,0.1007,,,,,,17,,,,,
FedAsync,1000.0,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_142540,20251126,17,0.1007,0.1007,,,,,,17,,,,,
FedAsync,1000.0,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_142647,20251126,16,0.1007,0.1007,,,,,,16,,,,,
FedAsync,1000.0,30.0,20.0,1.0,0.0125,,300.0,128.0,1.0,logs/avinash/run_20251126_142752,20251126,17,0.1007,0.1007,,,,,,17,,,,,
FedAsync,0.5,30.0,10.0,1.0,0.01,,20.0,128.0,42.0,logs/avinash/run_20251129_144449,20251129,20,0.1015,0.1,0.561399,0.360578,2.303223,317.467,5.2911166666666665,20,,,,,
FedAsync,1000.0,0.0,20.0,1.0,0.005,,20.0,128.0,1.0,logs/avinash/run_20251129_150604,20251129,20,0.1,0.1,0.0,0.0,2.303223,76.918,1.2819666666666667,6,,,,,
FedAsync,1000.0,0.0,20.0,1.0,0.005,,20.0,128.0,1.0,logs/avinash/run_20251129_150752,20251129,19,0.1215,0.1153,0.15976,0.0,2.343851,262.624,4.377066666666667,25,,,,,
FedAsync,1000.0,0.0,20.0,1.0,0.005,,50.0,128.0,1.0,logs/avinash/run_20251129_183128,20251129,50,0.154,0.154,0.166062,0.156071,2.275502,658.796,10.979933333333333,71,,,,,
FedAsync,1000.0,0.0,20.0,1.0,0.005,,300.0,128.0,1.0,logs/avinash/run_20251129_184737,20251129,300,0.2854,0.2839,0.253883,0.0,2.094351,3922.8,65.38000000000001,388,,,,,
FedAsync,0.1,10.0,20.0,1.0,0.005,1.0,500.0,128.0,1.0,outside/outside/logs/FedAsync/Exp2/run_20251130_072120,20251130,499,0.1438,0.1371,0.967643,0.623958,2.269233,4773.825,79.56375,413,Exp2,outside/outside/logs,,,
FedAsync,0.1,20.0,20.0,1.0,0.005,1.0,500.0,128.0,1.0,outside/outside/logs/FedAsync/Exp3/run_20251130_084252,20251130,500,0.1713,0.1689,0.945761,0.0,2.259821,4965.373,82.75621666666666,423,Exp3,outside/outside/logs,,,
FedAsync,0.1,30.0,20.0,1.0,0.005,1.0,500.0,128.0,1.0,outside/outside/logs/FedAsync/Exp4/run_20251130_100725,20251130,497,0.162,0.1612,0.969954,0.0,2.271387,4959.411,82.65685,420,Exp4,outside/outside/logs,,,
FedAsync,0.1,40.0,20.0,1.0,0.005,1.0,500.0,128.0,1.0,outside/outside/logs/FedAsync/Exp5/run_20251130_113149,20251130,498,0.1791,0.158,0.968413,0.0,2.259384,4897.654,81.62756666666668,424,Exp5,outside/outside/logs,,,
FedAsync,0.1,50.0,20.0,1.0,0.005,1.0,500.0,128.0,1.0,outside/outside/logs/FedAsync/Exp6/run_20251130_125505,20251130,500,0.1689,0.1689,0.964561,0.0,2.262051,4593.44,76.55733333333333,418,Exp6,outside/outside/logs,,,
FedAsync,1000.0,0.0,20.0,1.0,0.005,1.0,100.0,128.0,1.0,outside/outside/logs/FedAsync/Exp1/run_20251130_044550,20251130,100,0.1311,0.1311,0.134831,0.128462,2.282052,1012.238,16.870633333333334,82,Exp1,outside/outside/logs,,,
FedAsync,1000.0,0.0,20.0,1.0,0.005,1.0,500.0,128.0,1.0,outside/outside/logs/FedAsync/Exp1/run_20251130_050745,20251130,265,0.197,0.197,0.184796,0.184796,2.225565,2612.208,43.5368,214,Exp1,outside/outside/logs,,,
