Scanning all experiment results...
======================================================================================================================================================
COMPREHENSIVE EXPERIMENT RESULTS TABLE
======================================================================================================================================================

Total experiments found: 134


======================================================================================================================================================
FEDASYNC EXPERIMENTS (25 runs)
======================================================================================================================================================
Run Date     Exp ID   Alpha    Strag %  Clients  Rounds   Best Acc   Final Acc  Time (min)   Run Dir                                 
------------------------------------------------------------------------------------------------------------------------------------------------------
20251126     -        0.1      30       20       414      0.1172     0.1007     -            run_20251126_140546                     
20251126     -        0.1      30       20       16       0.1007     0.1007     -            run_20251126_141652                     
20251126     -        0.1      30       20       16       0.1007     0.1007     -            run_20251126_141758                     
20251126     -        0.1      30       20       17       0.1007     0.1007     -            run_20251126_141903                     
20251126     -        10.0     30       20       17       0.1007     0.1007     -            run_20251126_142009                     
20251126     -        10.0     30       20       17       0.1007     0.1007     -            run_20251126_142116                     
20251126     -        10.0     30       20       17       0.1007     0.1007     -            run_20251126_142222                     
20251126     -        10.0     30       20       17       0.1007     0.1007     -            run_20251126_142328                     
20251126     -        1000.0   30       20       17       0.1007     0.1007     -            run_20251126_142434                     
20251126     -        1000.0   30       20       17       0.1007     0.1007     -            run_20251126_142540                     
20251126     -        1000.0   30       20       16       0.1007     0.1007     -            run_20251126_142647                     
20251126     -        1000.0   30       20       17       0.1007     0.1007     -            run_20251126_142752                     
20251129     -        0.5      30       10       20       0.1015     0.1000     5.29         run_20251129_144449                     
20251129     -        1000.0   0        20       20       0.1000     0.1000     1.28         run_20251129_150604                     
20251129     -        1000.0   0        20       19       0.1215     0.1153     4.38         run_20251129_150752                     
20251129     -        1000.0   0        20       50       0.1540     0.1540     10.98        run_20251129_183128                     
20251129     -        1000.0   0        20       300      0.2854     0.2839     65.38        run_20251129_184737                     
20251130     Exp2     0.1      10       20       499      0.1438     0.1371     79.56        run_20251130_072120                     
20251130     Exp3     0.1      20       20       500      0.1713     0.1689     82.76        run_20251130_084252                     
20251130     Exp4     0.1      30       20       497      0.1620     0.1612     82.66        run_20251130_100725                     
20251130     Exp5     0.1      40       20       498      0.1791     0.1580     81.63        run_20251130_113149                     
20251130     Exp6     0.1      50       20       500      0.1689     0.1689     76.56        run_20251130_125505                     
20251130     Exp1     1000.0   0        20       100      0.1311     0.1311     16.87        run_20251130_044550                     
20251130     Exp1     1000.0   0        20       265      0.1970     0.1970     43.54        run_20251130_050745                     
20251130     Exp1     1000.0   0        20       498      0.2599     0.2599     81.95        run_20251130_055731                     

======================================================================================================================================================
FEDBUFF EXPERIMENTS (77 runs)
======================================================================================================================================================
Run Date     Exp ID   Alpha    Strag %  Clients  Rounds   Best Acc   Final Acc  Time (min)   Run Dir                                 
------------------------------------------------------------------------------------------------------------------------------------------------------
20251126     -        -        0        -        5        0.1000     0.1000     -            run_20251126_124009                     
20251126     -        -        0        -        14       0.1000     0.1000     -            run_20251126_124553                     
20251126     -        0.1      30       20       512      0.1002     0.1000     -            run_20251126_142859                     
20251126     -        0.1      30       20       17       0.1000     0.1000     -            run_20251126_144321                     
20251126     -        0.1      30       20       17       0.1000     0.1000     -            run_20251126_144427                     
20251126     -        0.1      30       20       17       0.1000     0.1000     -            run_20251126_144532                     
20251126     -        0.1      30       10       17       0.1000     0.1000     -            run_20251126_194455                     
20251126     -        10.0     30       20       16       0.1000     0.1000     -            run_20251126_144637                     
20251126     -        10.0     30       20       16       0.1000     0.1000     -            run_20251126_144743                     
20251126     -        10.0     30       20       16       0.1000     0.1000     -            run_20251126_144848                     
20251126     -        10.0     30       20       16       0.1000     0.1000     -            run_20251126_144954                     
20251126     -        1000.0   30       20       17       0.1000     0.1000     -            run_20251126_145059                     
20251126     -        1000.0   30       20       17       0.1000     0.1000     -            run_20251126_145205                     
20251126     -        1000.0   30       20       16       0.1000     0.1000     -            run_20251126_145312                     
