total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,49.271
0,0.000000,0.000000,2.451780,0.121400,63.406
5,2.311467,0.115558,2.401426,0.120500,66.874
5,0.000000,0.000000,2.401426,0.120500,69.403
5,0.000000,0.000000,2.401426,0.120500,101.245
5,0.000000,0.000000,2.401426,0.120500,114.450
10,2.308484,0.121367,2.367587,0.120800,117.951
10,0.000000,0.000000,2.367587,0.120800,120.483
10,0.000000,0.000000,2.367587,0.120800,151.744
10,0.000000,0.000000,2.367587,0.120800,165.929
15,2.302185,0.123932,2.344868,0.122900,169.697
15,0.000000,0.000000,2.344868,0.122900,172.215
15,0.000000,0.000000,2.344868,0.122900,203.685
15,0.000000,0.000000,2.344868,0.122900,218.293
20,2.300621,0.129058,2.329868,0.124800,222.213
20,0.000000,0.000000,2.329868,0.124800,224.775
20,0.000000,0.000000,2.329868,0.124800,256.723
20,0.000000,0.000000,2.329868,0.124800,270.080
25,2.296898,0.114995,2.324308,0.123800,273.540
25,0.000000,0.000000,2.324308,0.123800,276.080
25,0.000000,0.000000,2.324308,0.123800,307.065
25,0.000000,0.000000,2.324308,0.123800,321.108
30,2.296021,0.114402,2.319729,0.123700,324.573
30,0.000000,0.000000,2.319729,0.123700,327.133
30,0.000000,0.000000,2.319729,0.123700,359.316
30,0.000000,0.000000,2.319729,0.123700,372.840
35,2.292125,0.114190,2.315572,0.124200,376.210
35,0.000000,0.000000,2.315572,0.124200,378.722
35,0.000000,0.000000,2.315572,0.124200,410.984
35,0.000000,0.000000,2.315572,0.124200,424.020
40,2.293010,0.116442,2.311831,0.124200,427.523
40,0.000000,0.000000,2.311831,0.124200,430.053
40,0.000000,0.000000,2.311831,0.124200,462.847
40,0.000000,0.000000,2.311831,0.124200,475.458
45,2.292647,0.120701,2.307879,0.124100,479.076
45,0.000000,0.000000,2.307879,0.124100,481.608
45,0.000000,0.000000,2.307879,0.124100,514.373
45,0.000000,0.000000,2.307879,0.124100,527.440
50,2.291451,0.117845,2.304467,0.125600,531.279
50,0.000000,0.000000,2.304467,0.125600,533.826
50,0.000000,0.000000,2.304467,0.125600,565.424
50,0.000000,0.000000,2.304467,0.125600,578.919
55,2.287663,0.118582,2.301528,0.125500,582.308
55,0.000000,0.000000,2.301528,0.125500,584.834
55,0.000000,0.000000,2.301528,0.125500,617.564
55,0.000000,0.000000,2.301528,0.125500,630.454
60,2.287455,0.116361,2.298822,0.125500,633.925
60,0.000000,0.000000,2.298822,0.125500,636.465
60,0.000000,0.000000,2.298822,0.125500,642.194
60,0.000000,0.000000,2.298822,0.125500,671.339
61,2.284943,0.124645,2.297712,0.125200,681.504
65,2.285989,0.123635,2.296172,0.125300,684.761
65,0.000000,0.000000,2.296172,0.125300,690.820
65,0.000000,0.000000,2.296172,0.125300,719.381
66,2.284358,0.122948,2.294946,0.125400,730.295
70,2.288100,0.121473,2.293571,0.126400,733.534
70,0.000000,0.000000,2.293571,0.126400,739.200
70,0.000000,0.000000,2.293571,0.126400,768.274
71,2.284157,0.109996,2.292512,0.127500,779.242
75,2.284162,0.122508,2.291155,0.127800,782.555
75,0.000000,0.000000,2.291155,0.127800,788.193
75,0.000000,0.000000,2.291155,0.127800,816.899
76,2.282325,0.138055,2.290232,0.127900,828.683
80,2.282348,0.126395,2.289037,0.128000,832.189
80,0.000000,0.000000,2.289037,0.128000,838.032
80,0.000000,0.000000,2.289037,0.128000,867.010
81,2.278204,0.127487,2.288132,0.127500,877.892
85,2.282921,0.130748,2.286957,0.128200,881.480
85,0.000000,0.000000,2.286957,0.128200,887.194
85,0.000000,0.000000,2.286957,0.128200,915.505
86,2.283786,0.125350,2.285929,0.128900,926.653
90,2.283279,0.123374,2.284873,0.129300,929.921
90,0.000000,0.000000,2.284873,0.129300,935.908
90,0.000000,0.000000,2.284873,0.129300,964.410
90,0.000000,0.000000,2.284873,0.129300,975.941
95,2.278193,0.128324,2.282971,0.130200,979.404
95,0.000000,0.000000,2.282971,0.130200,981.953
95,0.000000,0.000000,2.282971,0.130200,1013.098
95,0.000000,0.000000,2.282971,0.130200,1027.516
100,2.278565,0.130505,2.281032,0.133300,1031.136
100,0.000000,0.000000,2.281032,0.133300,1033.659
100,0.000000,0.000000,2.281032,0.133300,1066.033
100,0.000000,0.000000,2.281032,0.133300,1079.115
105,2.277844,0.133719,2.279091,0.133500,1082.626
105,0.000000,0.000000,2.279091,0.133500,1085.204
105,0.000000,0.000000,2.279091,0.133500,1116.469
105,0.000000,0.000000,2.279091,0.133500,1131.022
110,2.277091,0.135217,2.277056,0.135300,1134.633
110,0.000000,0.000000,2.277056,0.135300,1137.200
110,0.000000,0.000000,2.277056,0.135300,1167.968
110,0.000000,0.000000,2.277056,0.135300,1182.647
115,2.275160,0.130320,2.275367,0.136700,1186.309
115,0.000000,0.000000,2.275367,0.136700,1188.855
115,0.000000,0.000000,2.275367,0.136700,1220.143
115,0.000000,0.000000,2.275367,0.136700,1234.148
120,2.274678,0.123513,2.273662,0.139400,1237.693
120,0.000000,0.000000,2.273662,0.139400,1240.262
120,0.000000,0.000000,2.273662,0.139400,1272.683
120,0.000000,0.000000,2.273662,0.139400,1285.242
125,2.275490,0.136773,2.272103,0.141100,1288.637
125,0.000000,0.000000,2.272103,0.141100,1291.266
125,0.000000,0.000000,2.272103,0.141100,1297.202
125,0.000000,0.000000,2.272103,0.141100,1325.456
126,2.267931,0.145090,2.271266,0.141800,1336.689
130,2.274592,0.134854,2.270428,0.142900,1339.963
130,0.000000,0.000000,2.270428,0.142900,1345.700
130,0.000000,0.000000,2.270428,0.142900,1374.656
131,2.272524,0.132016,2.269708,0.143700,1385.313
135,2.269212,0.138997,2.268761,0.143500,1388.513
135,0.000000,0.000000,2.268761,0.143500,1394.269
135,0.000000,0.000000,2.268761,0.143500,1422.588
136,2.273148,0.120095,2.268030,0.144300,1433.513
140,2.268625,0.143836,2.267084,0.146700,1436.727
140,0.000000,0.000000,2.267084,0.146700,1442.442
140,0.000000,0.000000,2.267084,0.146700,1470.787
141,2.271912,0.142288,2.266301,0.146500,1481.566
145,2.269698,0.144238,2.265468,0.147500,1484.928
145,0.000000,0.000000,2.265468,0.147500,1490.669
145,0.000000,0.000000,2.265468,0.147500,1519.282
145,0.000000,0.000000,2.265468,0.147500,1530.102
150,2.269488,0.148427,2.263863,0.149800,1533.983
150,0.000000,0.000000,2.263863,0.149800,1536.494
150,0.000000,0.000000,2.263863,0.149800,1553.762
150,0.000000,0.000000,2.263863,0.149800,1573.992
153,2.265394,0.144704,2.262616,0.151800,1580.459
155,2.267131,0.137904,2.262296,0.152900,1584.390
155,0.000000,0.000000,2.262296,0.152900,1604.360
155,0.000000,0.000000,2.262296,0.152900,1622.182
158,2.263130,0.147999,2.261062,0.154100,1628.277
160,2.266410,0.150272,2.260751,0.154100,1631.167
160,0.000000,0.000000,2.260751,0.154100,1649.297
160,0.000000,0.000000,2.260751,0.154100,1669.263
163,2.266097,0.142838,2.259741,0.156100,1674.748
165,2.265345,0.149211,2.259390,0.156200,1677.639
165,0.000000,0.000000,2.259390,0.156200,1696.140
165,0.000000,0.000000,2.259390,0.156200,1714.761
168,2.264932,0.147657,2.258317,0.157200,1721.077
170,2.264837,0.158335,2.257994,0.157700,1723.949
170,0.000000,0.000000,2.257994,0.157700,1741.568
170,0.000000,0.000000,2.257994,0.157700,1762.752
173,2.260395,0.150566,2.256705,0.160300,1768.603
175,2.262759,0.152053,2.256428,0.160500,1771.468
175,0.000000,0.000000,2.256428,0.160500,1789.773
175,0.000000,0.000000,2.256428,0.160500,1810.278
178,2.260772,0.152817,2.255275,0.162000,1816.146
180,2.260071,0.160531,2.254939,0.162400,1818.998
180,0.000000,0.000000,2.254939,0.162400,1837.341
180,0.000000,0.000000,2.254939,0.162400,1857.485
183,2.262432,0.156842,2.253492,0.164800,1863.122
185,2.260343,0.157097,2.253151,0.164700,1866.012
185,0.000000,0.000000,2.253151,0.164700,1884.440
185,0.000000,0.000000,2.253151,0.164700,1903.719
188,2.260915,0.161044,2.251874,0.165900,1909.463
190,2.257917,0.163115,2.251534,0.165500,1912.316
190,0.000000,0.000000,2.251534,0.165500,1931.341
190,0.000000,0.000000,2.251534,0.165500,1949.920
193,2.256371,0.153897,2.250347,0.166000,1955.985
195,2.256991,0.165803,2.250041,0.166400,1958.869
195,0.000000,0.000000,2.250041,0.166400,1977.020
195,0.000000,0.000000,2.250041,0.166400,1996.948
198,2.254834,0.152817,2.248613,0.164900,2002.528
200,2.256401,0.158117,2.248329,0.164600,2005.408
200,0.000000,0.000000,2.248329,0.164600,2023.899
200,0.000000,0.000000,2.248329,0.164600,2043.485
203,2.257256,0.166178,2.246794,0.166900,2049.168
205,2.251278,0.172058,2.246365,0.168000,2052.043
205,0.000000,0.000000,2.246365,0.168000,2070.521
205,0.000000,0.000000,2.246365,0.168000,2089.610
208,2.256318,0.165060,2.245058,0.169000,2095.586
210,2.256657,0.164708,2.244730,0.169800,2098.492
210,0.000000,0.000000,2.244730,0.169800,2118.154
210,0.000000,0.000000,2.244730,0.169800,2135.643
213,2.250676,0.161626,2.243396,0.171300,2141.617
215,2.253680,0.161220,2.243121,0.171900,2144.548
215,0.000000,0.000000,2.243121,0.171900,2162.448
215,0.000000,0.000000,2.243121,0.171900,2182.594
218,2.250492,0.169811,2.241942,0.173700,2188.692
220,2.252512,0.158117,2.241630,0.173800,2191.584
220,0.000000,0.000000,2.241630,0.173800,2209.690
220,0.000000,0.000000,2.241630,0.173800,2230.013
