client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
2,2.370388,0.124224,2.327073,0.117500,0
0,1.437285,0.699458,2.533251,0.100000,1
3,1.471610,0.544565,2.648289,0.111800,2
4,1.644589,0.471492,2.905705,0.100100,3
1,1.538361,0.592404,2.943982,0.100900,4
7,2.047157,0.460692,2.357457,0.100000,5
5,1.018087,0.854022,3.121456,0.100000,6
9,0.873591,0.909124,3.189481,0.100000,7
6,1.215364,0.762031,3.123773,0.100200,8
8,1.185768,0.752843,3.347737,0.102300,9
14,1.991831,0.510274,2.350380,0.100000,10
12,1.926151,0.480283,2.400422,0.100000,11
10,1.050313,0.916025,2.681431,0.100000,12
13,1.719337,0.468629,2.538798,0.100400,13
11,1.064885,0.784634,3.485084,0.103000,14
16,2.574297,0.005236,2.314328,0.110600,15
15,1.536923,0.749656,2.456596,0.100000,16
19,1.677986,0.551933,2.528933,0.100200,17
17,1.522295,0.515104,3.091766,0.142100,18
18,1.503388,0.564257,3.023448,0.101700,19
2,2.303368,0.276398,2.504478,0.100000,20
3,1.416959,0.577174,3.420812,0.100000,21
0,1.300658,0.737413,3.760624,0.100000,22
4,1.623561,0.469409,2.941710,0.103800,23
1,1.522389,0.609078,3.006198,0.100000,24
6,1.196320,0.774008,3.463417,0.100000,25
8,1.235611,0.770779,3.302538,0.100000,26
7,1.756055,0.578616,3.368543,0.100000,27
5,0.957550,0.873971,3.621277,0.100000,28
9,0.745384,0.943247,3.607784,0.100000,29
13,1.699224,0.415880,3.215214,0.100000,30
14,2.063461,0.393836,2.692059,0.100000,31
12,1.736758,0.553084,3.107002,0.100000,32
10,0.959192,0.932974,5.290281,0.100000,33
11,1.138710,0.789130,3.965280,0.100000,34
16,2.514064,0.020942,2.352953,0.096200,35
15,1.465698,0.795048,4.554607,0.100000,36
19,1.481408,0.611069,3.505678,0.100000,37
17,1.577408,0.401599,3.357049,0.144900,38
18,1.535662,0.553435,3.020825,0.109800,39
2,2.253006,0.242236,2.540436,0.100000,40
0,1.307904,0.738962,3.727126,0.100000,41
3,1.407465,0.587500,3.187125,0.153800,42
4,1.612923,0.460817,3.005947,0.115700,43
1,1.518171,0.612089,3.303559,0.100000,44
6,1.191463,0.776447,3.156052,0.100000,45
7,1.731924,0.611635,3.702164,0.100000,46
9,0.739368,0.943606,3.618077,0.100000,47
5,0.967519,0.873971,3.681892,0.100000,48
8,1.211592,0.769466,3.296204,0.100300,49
13,1.692691,0.427540,3.052742,0.099800,50
14,2.059977,0.390411,2.763484,0.100000,51
12,1.721994,0.528817,3.273903,0.100000,52
10,0.965481,0.922958,5.060782,0.100000,53
11,1.132781,0.791173,3.432139,0.100000,54
16,2.476773,0.010471,2.360796,0.096500,55
15,1.455377,0.801926,4.678167,0.100000,56
19,1.453871,0.620167,3.548735,0.100000,57
17,1.565193,0.436251,3.207335,0.112600,58
18,1.535630,0.546069,3.072891,0.103400,59
2,2.140022,0.298137,2.601253,0.100000,60
0,1.282897,0.745159,3.231248,0.100800,61
3,1.398364,0.540217,3.518286,0.100000,62
1,1.500121,0.617415,3.191994,0.100000,63
4,1.609240,0.468107,2.674318,0.113000,64
6,1.200805,0.779330,2.991554,0.100000,65
7,1.663406,0.669811,3.885634,0.100000,66
9,0.730086,0.943966,3.455633,0.100000,67
5,0.961992,0.872704,3.281260,0.100000,68
8,1.223686,0.776684,3.309716,0.100000,69
13,1.709107,0.419212,3.116950,0.100000,70
14,2.088727,0.366438,2.720441,0.100000,71
12,1.708509,0.534884,3.314383,0.100000,72
10,0.952373,0.920647,3.916416,0.100000,73
11,1.130392,0.790764,3.484182,0.148500,74
16,2.443933,0.057592,2.363664,0.100100,75
15,1.480926,0.778542,4.259264,0.100000,76
19,1.454507,0.616376,3.048443,0.133300,77
17,1.564612,0.408263,3.400057,0.133500,78
18,1.529418,0.556290,2.890686,0.115600,79
2,2.107980,0.329193,2.635361,0.100000,80
0,1.297318,0.752905,3.660637,0.100000,81
3,1.423973,0.544565,3.423881,0.100000,82
4,1.603092,0.445197,2.828281,0.137300,83
1,1.513548,0.620195,2.959865,0.100000,84
6,1.180842,0.780217,3.367772,0.100000,85
7,1.658612,0.683962,3.791090,0.100000,86
9,0.728582,0.943247,3.454482,0.100000,87
5,0.963182,0.872704,3.026045,0.100000,88
8,1.207360,0.783246,3.270879,0.100000,89
13,1.670526,0.431982,3.099247,0.106300,90
14,2.064698,0.407534,2.760476,0.100000,91
10,0.963718,0.919106,4.055962,0.100000,92
11,1.141465,0.788312,3.351770,0.121100,93
12,1.690164,0.564206,3.001345,0.100000,94
16,2.407358,0.052356,2.371298,0.098700,95
15,1.452637,0.795048,4.581988,0.100000,96
19,1.444059,0.611827,3.603529,0.100000,97
17,1.560204,0.426255,3.268213,0.158800,98
18,1.528439,0.559447,2.922843,0.102700,99
2,2.065042,0.409938,2.675271,0.100000,100
0,1.287746,0.748257,3.217100,0.100100,101
3,1.424449,0.584239,3.531699,0.100000,102
4,1.604126,0.458214,3.000860,0.100000,103
1,1.499571,0.621816,3.137513,0.100000,104
6,1.195098,0.778443,3.458885,0.100000,105
7,1.641898,0.688679,3.427647,0.100000,106
9,0.720272,0.943606,3.727372,0.100000,107
5,0.955545,0.871438,3.417100,0.100000,108
8,1.201150,0.782371,3.447335,0.100000,109
13,1.697565,0.393115,2.729717,0.128600,110
12,1.655112,0.583418,3.289228,0.100000,111
10,0.955286,0.923729,4.466998,0.100000,112
11,1.140009,0.789538,3.723318,0.100000,113
14,2.070236,0.414384,2.756558,0.100000,114
16,2.366286,0.094241,2.379876,0.099500,115
15,1.461698,0.793673,4.362998,0.100000,116
19,1.440546,0.608036,3.591497,0.100000,117
17,1.561085,0.410262,3.303021,0.129600,118
18,1.524387,0.546220,2.942588,0.100000,119
2,2.000383,0.512422,2.723863,0.100000,120
3,1.409264,0.537500,3.127177,0.157700,121
0,1.301520,0.752130,3.044234,0.100100,122
1,1.492148,0.623437,3.193522,0.100000,123
4,1.599644,0.464462,3.528317,0.100000,124
9,0.718470,0.943606,3.336687,0.100000,125
6,1.182059,0.778000,3.449652,0.100000,126
7,1.609450,0.699686,3.301848,0.100000,127
5,0.963285,0.874288,3.090773,0.100000,128
8,1.205188,0.785433,3.559033,0.100000,129
12,1.630666,0.604651,3.480944,0.100000,130
13,1.696830,0.400888,2.964907,0.124900,131
14,2.089807,0.414384,2.748997,0.100000,132
10,0.954565,0.929892,5.032135,0.100000,133
11,1.117071,0.791786,3.561932,0.100000,134
16,2.349143,0.083770,2.387292,0.102100,135
