client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
2,2.371235,0.139752,2.327406,0.117200,0
3,1.469368,0.542935,2.647473,0.130700,1
4,1.648596,0.470190,2.845636,0.101800,2
1,1.539226,0.594951,2.999429,0.100700,3
0,1.440933,0.694810,2.526077,0.100000,4
7,1.253418,0.856918,2.844128,0.100000,5
5,1.035954,0.837239,3.260668,0.100000,6
6,1.340508,0.687514,3.125536,0.100400,7
8,1.165424,0.744094,3.432453,0.103100,8
9,0.960712,0.844828,3.447578,0.100000,9
10,1.283461,0.697227,3.452319,0.100000,10
11,1.181787,0.717818,3.440203,0.125500,11
12,2.073132,0.307381,2.730668,0.100400,12
13,2.060911,0.298168,2.756727,0.099900,13
14,2.936480,0.000000,2.396669,0.101000,14
16,3.060502,0.005236,2.417994,0.149700,15
15,1.040090,0.872077,3.449354,0.100000,16
19,1.629565,0.591357,2.919561,0.102900,17
17,1.524369,0.515104,3.170962,0.153300,18
18,1.493476,0.560800,3.076809,0.100900,19
2,2.598924,0.000000,2.452480,0.115100,20
3,1.498966,0.527174,3.449668,0.159700,21
1,1.389309,0.618573,3.356958,0.104200,22
4,1.506275,0.504296,2.877991,0.153600,23
7,1.838804,0.416667,2.927518,0.100000,24
0,1.449140,0.599535,3.242706,0.100100,25
5,0.825035,0.903103,3.304651,0.100000,26
9,0.819592,0.892241,3.545248,0.100000,27
6,1.190614,0.725438,3.129331,0.107000,28
8,1.099590,0.760280,3.660119,0.107100,29
10,0.883430,0.891371,4.056780,0.100000,30
11,1.031962,0.779730,3.345950,0.153400,31
12,1.747559,0.457027,3.056582,0.100600,32
13,1.760589,0.390894,3.347948,0.104500,33
16,2.815533,0.005236,2.261895,0.182800,34
14,2.653639,0.044521,2.375757,0.132800,35
15,0.778141,0.977992,3.876613,0.100000,36
2,1.902324,0.518634,2.583904,0.100100,37
19,1.336173,0.675512,3.585734,0.125400,38
17,1.403705,0.554642,3.081193,0.160200,39
18,1.471528,0.541711,2.897521,0.164700,40
3,1.372321,0.603804,3.441748,0.167100,41
7,1.770045,0.468553,3.699732,0.100000,42
4,1.478120,0.508461,2.905365,0.134300,43
1,1.327409,0.635479,2.886406,0.182200,44
0,1.420275,0.639814,2.814803,0.165600,45
5,0.813516,0.904370,3.461372,0.100300,46
9,0.836305,0.892241,3.858510,0.100000,47
10,0.814782,0.900616,3.452325,0.100000,48
6,1.111039,0.753382,2.788290,0.143100,49
8,0.976548,0.797900,3.530108,0.125100,50
11,0.969601,0.802411,3.351963,0.175400,51
16,2.550212,0.104712,2.241076,0.171300,52
13,1.707707,0.395891,2.994721,0.136900,53
14,2.634149,0.082192,2.261807,0.164000,54
12,1.764244,0.439838,2.961091,0.106500,55
15,0.706934,0.976616,3.662860,0.100000,56
2,1.126096,0.878882,2.853296,0.154100,57
19,1.387854,0.614860,3.016964,0.164500,58
17,1.320947,0.593070,3.186389,0.158700,59
3,1.289027,0.647826,3.150177,0.167700,60
18,1.422339,0.542312,2.895410,0.125000,61
4,1.475202,0.499870,2.683023,0.168500,62
7,1.516175,0.572327,2.854314,0.100000,63
0,1.258820,0.718048,3.154490,0.168200,64
5,0.837987,0.898670,2.933695,0.128700,65
1,1.358015,0.627837,3.253999,0.138500,66
10,0.685560,0.968413,3.778007,0.100000,67
9,0.739293,0.924569,2.938219,0.100300,68
6,1.058899,0.796851,2.800916,0.152200,69
8,0.925983,0.817585,3.519973,0.110200,70
16,2.276290,0.062827,2.223865,0.161700,71
11,0.874701,0.832652,3.078788,0.199700,72
14,2.307047,0.174658,2.392279,0.131100,73
13,1.649558,0.414770,2.984051,0.168800,74
12,1.451480,0.596562,2.831885,0.131600,75
15,0.711972,0.965612,3.445687,0.100000,76
2,2.005607,0.431677,2.504932,0.131200,77
19,1.333095,0.617892,3.003951,0.167900,78
17,1.285210,0.624167,3.012107,0.167400,79
3,1.253501,0.667391,3.043824,0.169900,80
7,1.446773,0.599057,3.426012,0.100000,81
18,1.371031,0.562453,2.810378,0.190800,82
4,1.420693,0.533976,2.553169,0.172900,83
0,1.327011,0.672347,3.121921,0.164000,84
5,0.808642,0.900253,2.972168,0.133600,85
10,0.859377,0.854391,3.666339,0.100000,86
9,0.773709,0.909124,3.236094,0.100500,87
1,1.274213,0.659565,3.217883,0.150900,88
8,0.936792,0.815617,3.218427,0.141900,89
6,1.055993,0.777112,3.116467,0.139900,90
16,2.575546,0.026178,2.144010,0.224100,91
11,0.888351,0.826522,3.411476,0.155500,92
14,2.601816,0.061644,2.233456,0.123600,93
2,1.674675,0.571429,2.903069,0.110200,94
12,1.407198,0.622851,2.714176,0.137800,95
13,1.526665,0.478068,2.664701,0.193400,96
15,0.844766,0.951857,3.490761,0.100000,97
17,1.260851,0.635717,2.929278,0.182800,98
19,1.262023,0.649735,3.163970,0.169700,99
7,1.420517,0.602201,2.630230,0.103200,100
3,1.248408,0.679348,3.184340,0.170100,101
18,1.354402,0.568165,2.703943,0.208000,102
0,1.241685,0.704880,2.638860,0.190500,103
5,0.803348,0.906586,2.979628,0.142200,104
4,1.443413,0.495704,2.537508,0.177200,105
10,0.647683,0.973035,3.458685,0.100000,106
9,0.805463,0.899425,3.894823,0.100000,107
1,1.266350,0.666975,2.691063,0.229400,108
6,1.071841,0.776669,3.069664,0.142400,109
8,0.933084,0.823491,3.567291,0.114900,110
16,1.782802,0.534031,2.410953,0.180000,111
14,2.247134,0.229452,2.353466,0.103400,112
11,0.901086,0.827953,3.137744,0.182100,113
2,2.372423,0.158385,2.336499,0.150900,114
12,1.475379,0.594540,2.587722,0.147400,115
13,1.477380,0.495280,3.150458,0.137200,116
15,0.877974,0.878955,3.038538,0.100200,117
19,1.191377,0.689158,3.195789,0.168500,118
17,1.248597,0.643492,2.922667,0.181300,119
3,1.161187,0.711413,3.316125,0.170300,120
7,1.463697,0.548742,2.690447,0.113100,121
0,1.233774,0.721921,2.761553,0.165300,122
18,1.343816,0.579588,2.930405,0.132500,123
5,0.821594,0.895187,3.673171,0.111400,124
10,0.748111,0.918336,3.558240,0.100000,125
4,1.388154,0.533715,2.722352,0.164700,126
9,0.782263,0.912356,3.922357,0.100200,127
1,1.228670,0.682029,2.726280,0.239300,128
16,1.680840,0.397906,2.608201,0.171700,129
8,0.956385,0.808836,3.502362,0.132700,130
6,1.069063,0.772677,3.196896,0.147400,131
11,0.872420,0.832652,3.207891,0.176600,132
14,2.251304,0.243151,2.302896,0.108100,133
2,1.867449,0.431677,2.706451,0.137900,134
12,1.474076,0.567240,2.669145,0.155200,135
13,1.540358,0.488062,2.541892,0.216500,136
15,0.937168,0.881706,3.334634,0.100200,137
19,1.281886,0.645186,3.102166,0.170400,138
17,1.211604,0.657263,3.038063,0.187300,139
7,1.015446,0.871069,2.601230,0.112500,140
3,1.248286,0.686957,3.132910,0.171200,141
0,1.181047,0.716499,2.710062,0.173000,142
5,0.795134,0.901203,3.002061,0.143300,143
18,1.335519,0.577183,2.817721,0.161600,144
10,0.629541,0.976117,3.505608,0.100000,145
4,1.392331,0.554803,2.583457,0.178700,146
9,0.784052,0.905891,3.661475,0.100300,147
1,1.229040,0.676007,2.649522,0.235400,148
16,1.636555,0.465969,2.598377,0.184500,149
14,2.352313,0.119863,2.296191,0.108300,150
8,0.950220,0.814523,3.680331,0.117500,151
6,1.081311,0.766689,2.717908,0.160600,152
11,0.916451,0.819779,3.295566,0.169000,153
2,1.988066,0.291925,2.728915,0.119800,154
12,1.456558,0.577351,2.999003,0.118000,155
13,1.501533,0.484731,2.617646,0.202300,156
19,1.263465,0.673237,3.572968,0.146800,157
15,0.688337,0.966988,3.318910,0.101300,158
7,1.504160,0.534591,3.401289,0.105100,159
17,1.197689,0.663261,2.991174,0.181900,160
3,1.210097,0.695652,3.134786,0.169800,161
5,0.892350,0.851805,3.008173,0.128700,162
0,1.190094,0.722696,2.799318,0.172700,163
18,1.326592,0.584097,2.539469,0.242400,164
10,0.625643,0.973806,3.503762,0.100000,165
4,1.373636,0.541265,2.549998,0.183000,166
9,0.787265,0.907687,3.340979,0.104200,167
1,1.275756,0.669523,3.080498,0.177800,168
16,2.571071,0.073298,2.058024,0.266500,169
14,2.151774,0.188356,2.339150,0.122400,170
6,1.051379,0.784431,2.662174,0.187600,171
8,0.909403,0.825459,3.039216,0.173800,172
11,0.878602,0.831631,3.348624,0.180600,173
2,1.534747,0.487578,2.648699,0.150900,174
12,1.413625,0.606673,2.582973,0.172400,175
13,1.563573,0.474736,2.861478,0.205400,176
15,0.933468,0.833563,3.381840,0.100200,177
19,1.292446,0.647460,3.324381,0.148900,178
17,1.222338,0.663705,2.865264,0.186300,179
7,1.386362,0.630503,3.256169,0.100400,180
3,1.248227,0.685870,3.248939,0.168100,181
5,0.804295,0.890437,3.026660,0.133800,182
0,1.178908,0.731991,3.021214,0.161800,183
18,1.313082,0.582745,2.857767,0.188300,184
4,1.359421,0.565478,2.916129,0.152300,185
9,0.794901,0.896552,3.168397,0.102000,186
10,0.661808,0.957627,3.593300,0.100000,187
1,1.196143,0.699861,2.928262,0.197700,188
16,2.012860,0.167539,2.141318,0.210100,189
6,1.047501,0.777778,2.625051,0.171000,190
14,2.232597,0.150685,2.349216,0.110800,191
8,0.958933,0.804462,3.032965,0.174700,192
2,1.655871,0.521739,2.879739,0.138500,193
12,1.419699,0.598584,2.501982,0.169000,194
15,1.115231,0.733150,3.195908,0.100900,195
13,1.469367,0.505275,2.452323,0.221800,196
11,0.842084,0.846547,2.891979,0.194300,197
19,1.263039,0.659591,2.916476,0.172800,198
17,1.172031,0.681697,2.775227,0.206200,199
3,1.250998,0.665761,3.029052,0.172300,200
7,1.037998,0.856918,2.467789,0.126400,201
0,1.135080,0.733540,2.982416,0.164700,202
5,0.791157,0.899937,3.019846,0.143700,203
18,1.297542,0.593867,2.710299,0.195700,204
9,0.740969,0.926724,3.143574,0.107400,205
4,1.381445,0.556626,2.449258,0.185500,206
16,2.302988,0.115183,1.993297,0.264700,207
10,0.735959,0.920647,3.498048,0.100400,208
1,1.213417,0.688282,3.123361,0.179200,209
6,1.044231,0.782879,2.878587,0.149800,210
14,2.112197,0.208904,2.350490,0.119900,211
8,0.890277,0.828084,3.262032,0.177300,212
2,2.028715,0.211180,2.655711,0.145300,213
12,1.464832,0.560162,2.531038,0.186900,214
15,1.444745,0.642366,3.233321,0.100200,215
13,1.394833,0.533037,2.658414,0.192500,216
11,0.887479,0.835309,3.285899,0.160700,217
19,1.213199,0.673995,2.982514,0.172000,218
3,1.177210,0.718478,3.009127,0.175900,219
17,1.141624,0.702577,2.734551,0.226600,220
7,1.244323,0.685535,3.441861,0.102700,221
5,0.908008,0.843255,2.867104,0.138600,222
0,1.246637,0.706429,3.046040,0.137000,223
18,1.288891,0.607696,2.595509,0.216000,224
9,0.728187,0.932471,3.055441,0.103000,225
4,1.315863,0.586826,2.557149,0.189600,226
10,0.764049,0.900616,3.853846,0.100000,227
16,2.083270,0.178010,2.068433,0.231000,228
1,1.208275,0.689671,2.626880,0.257100,229
14,2.167415,0.154110,2.366193,0.117700,230
8,0.928380,0.826115,3.351859,0.130300,231
6,1.034551,0.783322,2.677480,0.170600,232
2,1.295961,0.649068,2.698276,0.171000,233
12,1.470651,0.542973,2.479939,0.168100,234
13,1.445308,0.529706,2.735850,0.208100,235
15,1.315745,0.671252,3.161633,0.100600,236
11,0.858962,0.844503,3.354973,0.162200,237
19,1.210310,0.683851,2.756758,0.175800,238
