client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
0,0.000000,0.000000,7.183196,0.106600,5
5,0.000000,0.000000,7.695172,0.100000,6
6,0.000000,0.000000,9.556824,0.142800,7
1,0.000000,0.000000,2.583028,0.100000,8
2,0.000000,0.000000,8.417069,0.100000,9
3,0.000000,0.000000,5.361809,0.100000,10
7,0.000000,0.000000,17.789231,0.100000,11
4,0.000000,0.000000,7.224884,0.111500,12
8,0.000000,0.000000,2.359993,0.100500,13
9,0.000000,0.000000,5.254492,0.132500,14
10,1.041605,0.845917,13.575069,0.100000,15
11,0.817982,0.780139,24.835692,0.100000,16
12,1.722147,0.543984,9.853104,0.100000,17
14,2.265824,0.208904,2.724776,0.100000,18
13,1.732021,0.399778,7.179055,0.100000,19
15,1.323751,0.748281,183.017812,0.100000,20
16,2.299164,0.130890,2.325494,0.100000,21
17,1.472791,0.390049,11.372788,0.100000,22
0,0.000000,0.000000,7.183196,0.106600,23
19,1.592233,0.660349,8.143404,0.100000,24
1,0.000000,0.000000,2.583028,0.100000,25
18,1.408602,0.534496,10.825898,0.100000,26
6,0.000000,0.000000,9.556824,0.142800,27
5,0.000000,0.000000,7.695172,0.100000,28
2,0.000000,0.000000,8.417069,0.100000,29
7,0.000000,0.000000,17.789231,0.100000,30
3,0.000000,0.000000,5.361809,0.100000,31
4,0.000000,0.000000,7.224884,0.111500,32
8,0.000000,0.000000,2.359993,0.100500,33
9,0.000000,0.000000,5.254492,0.132500,34
10,1.041605,0.845917,13.575069,0.100000,35
12,1.722147,0.543984,9.853104,0.100000,36
11,0.817982,0.780139,24.835692,0.100000,37
14,2.265824,0.208904,2.724776,0.100000,38
13,1.732021,0.399778,7.179055,0.100000,39
15,1.323751,0.748281,183.017812,0.100000,40
16,2.299164,0.130890,2.325494,0.100000,41
17,1.472791,0.390049,11.372788,0.100000,42
0,0.000000,0.000000,7.183196,0.106600,43
19,1.592233,0.660349,8.143404,0.100000,44
1,0.000000,0.000000,2.583028,0.100000,45
6,0.000000,0.000000,9.556824,0.142800,46
18,1.408602,0.534496,10.825898,0.100000,47
5,0.000000,0.000000,7.695172,0.100000,48
2,0.000000,0.000000,8.417069,0.100000,49
7,0.000000,0.000000,17.789231,0.100000,50
3,0.000000,0.000000,5.361809,0.100000,51
4,0.000000,0.000000,7.224884,0.111500,52
8,0.000000,0.000000,2.359993,0.100500,53
9,0.000000,0.000000,5.254492,0.132500,54
10,1.041605,0.845917,13.575069,0.100000,55
12,1.722147,0.543984,9.853104,0.100000,56
11,0.817982,0.780139,24.835692,0.100000,57
14,2.265824,0.208904,2.724776,0.100000,58
13,1.732021,0.399778,7.179055,0.100000,59
15,1.323751,0.748281,183.017812,0.100000,60
16,2.299164,0.130890,2.325494,0.100000,61
0,0.000000,0.000000,7.183196,0.106600,62
17,1.472791,0.390049,11.372788,0.100000,63
19,1.592233,0.660349,8.143404,0.100000,64
1,0.000000,0.000000,2.583028,0.100000,65
6,0.000000,0.000000,9.556824,0.142800,66
5,0.000000,0.000000,7.695172,0.100000,67
18,1.408602,0.534496,10.825898,0.100000,68
2,0.000000,0.000000,8.417069,0.100000,69
7,0.000000,0.000000,17.789231,0.100000,70
3,0.000000,0.000000,5.361809,0.100000,71
4,0.000000,0.000000,7.224884,0.111500,72
8,0.000000,0.000000,2.359993,0.100500,73
10,1.041605,0.845917,13.575069,0.100000,74
9,0.000000,0.000000,5.254492,0.132500,75
12,1.722147,0.543984,9.853104,0.100000,76
11,0.817982,0.780139,24.835692,0.100000,77
14,2.265824,0.208904,2.724776,0.100000,78
13,1.732021,0.399778,7.179055,0.100000,79
15,1.323751,0.748281,183.017812,0.100000,80
16,2.299164,0.130890,2.325494,0.100000,81
17,1.472791,0.390049,11.372788,0.100000,82
0,0.000000,0.000000,7.183196,0.106600,83
19,1.592233,0.660349,8.143404,0.100000,84
1,0.000000,0.000000,2.583028,0.100000,85
5,0.000000,0.000000,7.695172,0.100000,86
6,0.000000,0.000000,9.556824,0.142800,87
18,1.408602,0.534496,10.825898,0.100000,88
2,0.000000,0.000000,8.417069,0.100000,89
7,0.000000,0.000000,17.789231,0.100000,90
3,0.000000,0.000000,5.361809,0.100000,91
4,0.000000,0.000000,7.224884,0.111500,92
8,0.000000,0.000000,2.359993,0.100500,93
9,0.000000,0.000000,5.254492,0.132500,94
10,1.041605,0.845917,13.575069,0.100000,95
12,1.722147,0.543984,9.853104,0.100000,96
11,0.817982,0.780139,24.835692,0.100000,97
14,2.265824,0.208904,2.724776,0.100000,98
13,1.732021,0.399778,7.179055,0.100000,99
15,1.323751,0.748281,183.017812,0.100000,100
17,1.472791,0.390049,11.372788,0.100000,101
16,2.299164,0.130890,2.325494,0.100000,102
0,0.000000,0.000000,7.183196,0.106600,103
19,1.592233,0.660349,8.143404,0.100000,104
1,0.000000,0.000000,2.583028,0.100000,105
5,0.000000,0.000000,7.695172,0.100000,106
6,0.000000,0.000000,9.556824,0.142800,107
18,1.408602,0.534496,10.825898,0.100000,108
2,0.000000,0.000000,8.417069,0.100000,109
3,0.000000,0.000000,5.361809,0.100000,110
7,0.000000,0.000000,17.789231,0.100000,111
4,0.000000,0.000000,7.224884,0.111500,112
8,0.000000,0.000000,2.359993,0.100500,113
10,1.041605,0.845917,13.575069,0.100000,114
9,0.000000,0.000000,5.254492,0.132500,115
12,1.722147,0.543984,9.853104,0.100000,116
11,0.817982,0.780139,24.835692,0.100000,117
13,1.732021,0.399778,7.179055,0.100000,118
14,2.265824,0.208904,2.724776,0.100000,119
15,1.323751,0.748281,183.017812,0.100000,120
17,1.472791,0.390049,11.372788,0.100000,121
16,2.299164,0.130890,2.325494,0.100000,122
19,1.592233,0.660349,8.143404,0.100000,123
0,0.000000,0.000000,7.183196,0.106600,124
6,0.000000,0.000000,9.556824,0.142800,125
5,0.000000,0.000000,7.695172,0.100000,126
1,0.000000,0.000000,2.583028,0.100000,127
18,1.408602,0.534496,10.825898,0.100000,128
3,0.000000,0.000000,5.361809,0.100000,129
2,0.000000,0.000000,8.417069,0.100000,130
7,0.000000,0.000000,17.789231,0.100000,131
4,0.000000,0.000000,7.224884,0.111500,132
10,1.041605,0.845917,13.575069,0.100000,133
12,1.722147,0.543984,9.853104,0.100000,134
8,0.000000,0.000000,2.359993,0.100500,135
11,0.817982,0.780139,24.835692,0.100000,136
9,0.000000,0.000000,5.254492,0.132500,137
13,1.732021,0.399778,7.179055,0.100000,138
14,2.265824,0.208904,2.724776,0.100000,139
15,1.323751,0.748281,183.017812,0.100000,140
17,1.472791,0.390049,11.372788,0.100000,141
16,2.299164,0.130890,2.325494,0.100000,142
19,1.592233,0.660349,8.143404,0.100000,143
5,0.000000,0.000000,7.695172,0.100000,144
0,0.000000,0.000000,7.183196,0.106600,145
6,0.000000,0.000000,9.556824,0.142800,146
1,0.000000,0.000000,2.583028,0.100000,147
3,0.000000,0.000000,5.361809,0.100000,148
2,0.000000,0.000000,8.417069,0.100000,149
18,1.408602,0.534496,10.825898,0.100000,150
7,0.000000,0.000000,17.789231,0.100000,151
10,1.041605,0.845917,13.575069,0.100000,152
4,0.000000,0.000000,7.224884,0.111500,153
12,1.722147,0.543984,9.853104,0.100000,154
11,0.817982,0.780139,24.835692,0.100000,155
8,0.000000,0.000000,2.359993,0.100500,156
13,1.732021,0.399778,7.179055,0.100000,157
9,0.000000,0.000000,5.254492,0.132500,158
14,2.265824,0.208904,2.724776,0.100000,159
15,1.323751,0.748281,183.017812,0.100000,160
16,2.299164,0.130890,2.325494,0.100000,161
17,1.472791,0.390049,11.372788,0.100000,162
19,1.592233,0.660349,8.143404,0.100000,163
5,0.000000,0.000000,7.695172,0.100000,164
6,0.000000,0.000000,9.556824,0.142800,165
0,0.000000,0.000000,7.183196,0.106600,166
1,0.000000,0.000000,2.583028,0.100000,167
3,0.000000,0.000000,5.361809,0.100000,168
2,0.000000,0.000000,8.417069,0.100000,169
18,1.408602,0.534496,10.825898,0.100000,170
10,1.041605,0.845917,13.575069,0.100000,171
7,0.000000,0.000000,17.789231,0.100000,172
12,1.722147,0.543984,9.853104,0.100000,173
4,0.000000,0.000000,7.224884,0.111500,174
11,0.817982,0.780139,24.835692,0.100000,175
9,0.000000,0.000000,5.254492,0.132500,176
8,0.000000,0.000000,2.359993,0.100500,177
14,2.265824,0.208904,2.724776,0.100000,178
13,1.732021,0.399778,7.179055,0.100000,179
15,1.323751,0.748281,183.017812,0.100000,180
16,2.299164,0.130890,2.325494,0.100000,181
17,1.472791,0.390049,11.372788,0.100000,182
19,1.592233,0.660349,8.143404,0.100000,183
5,0.000000,0.000000,7.695172,0.100000,184
0,0.000000,0.000000,7.183196,0.106600,185
6,0.000000,0.000000,9.556824,0.142800,186
1,0.000000,0.000000,2.583028,0.100000,187
3,0.000000,0.000000,5.361809,0.100000,188
2,0.000000,0.000000,8.417069,0.100000,189
10,1.041605,0.845917,13.575069,0.100000,190
18,1.408602,0.534496,10.825898,0.100000,191
12,1.722147,0.543984,9.853104,0.100000,192
7,0.000000,0.000000,17.789231,0.100000,193
11,0.817982,0.780139,24.835692,0.100000,194
4,0.000000,0.000000,7.224884,0.111500,195
9,0.000000,0.000000,5.254492,0.132500,196
13,1.732021,0.399778,7.179055,0.100000,197
8,0.000000,0.000000,2.359993,0.100500,198
14,2.265824,0.208904,2.724776,0.100000,199
15,1.323751,0.748281,183.017812,0.100000,200
16,2.299164,0.130890,2.325494,0.100000,201
17,1.472791,0.390049,11.372788,0.100000,202
19,1.592233,0.660349,8.143404,0.100000,203
5,0.000000,0.000000,7.695172,0.100000,204
0,0.000000,0.000000,7.183196,0.106600,205
1,0.000000,0.000000,2.583028,0.100000,206
6,0.000000,0.000000,9.556824,0.142800,207
10,1.041605,0.845917,13.575069,0.100000,208
2,0.000000,0.000000,8.417069,0.100000,209
3,0.000000,0.000000,5.361809,0.100000,210
18,1.408602,0.534496,10.825898,0.100000,211
7,0.000000,0.000000,17.789231,0.100000,212
12,1.722147,0.543984,9.853104,0.100000,213
11,0.817982,0.780139,24.835692,0.100000,214
4,0.000000,0.000000,7.224884,0.111500,215
9,0.000000,0.000000,5.254492,0.132500,216
13,1.732021,0.399778,7.179055,0.100000,217
8,0.000000,0.000000,2.359993,0.100500,218
14,2.265824,0.208904,2.724776,0.100000,219
15,1.323751,0.748281,183.017812,0.100000,220
16,2.299164,0.130890,2.325494,0.100000,221
17,1.472791,0.390049,11.372788,0.100000,222
19,1.592233,0.660349,8.143404,0.100000,223
5,0.000000,0.000000,7.695172,0.100000,224
0,0.000000,0.000000,7.183196,0.106600,225
6,0.000000,0.000000,9.556824,0.142800,226
1,0.000000,0.000000,2.583028,0.100000,227
10,1.041605,0.845917,13.575069,0.100000,228
3,0.000000,0.000000,5.361809,0.100000,229
2,0.000000,0.000000,8.417069,0.100000,230
18,1.408602,0.534496,10.825898,0.100000,231
12,1.722147,0.543984,9.853104,0.100000,232
11,0.817982,0.780139,24.835692,0.100000,233
7,0.000000,0.000000,17.789231,0.100000,234
13,1.732021,0.399778,7.179055,0.100000,235
4,0.000000,0.000000,7.224884,0.111500,236
9,0.000000,0.000000,5.254492,0.132500,237
14,2.265824,0.208904,2.724776,0.100000,238
8,0.000000,0.000000,2.359993,0.100500,239
15,1.323751,0.748281,183.017812,0.100000,240
17,1.472791,0.390049,11.372788,0.100000,241
16,2.299164,0.130890,2.325494,0.100000,242
5,0.000000,0.000000,7.695172,0.100000,243
19,1.592233,0.660349,8.143404,0.100000,244
6,0.000000,0.000000,9.556824,0.142800,245
0,0.000000,0.000000,7.183196,0.106600,246
1,0.000000,0.000000,2.583028,0.100000,247
10,1.041605,0.845917,13.575069,0.100000,248
3,0.000000,0.000000,5.361809,0.100000,249
18,1.408602,0.534496,10.825898,0.100000,250
12,1.722147,0.543984,9.853104,0.100000,251
2,0.000000,0.000000,8.417069,0.100000,252
11,0.817982,0.780139,24.835692,0.100000,253
7,0.000000,0.000000,17.789231,0.100000,254
13,1.732021,0.399778,7.179055,0.100000,255
4,0.000000,0.000000,7.224884,0.111500,256
14,2.265824,0.208904,2.724776,0.100000,257
9,0.000000,0.000000,5.254492,0.132500,258
15,1.323751,0.748281,183.017812,0.100000,259
8,0.000000,0.000000,2.359993,0.100500,260
17,1.472791,0.390049,11.372788,0.100000,261
16,2.299164,0.130890,2.325494,0.100000,262
5,0.000000,0.000000,7.695172,0.100000,263
19,1.592233,0.660349,8.143404,0.100000,264
6,0.000000,0.000000,9.556824,0.142800,265
0,0.000000,0.000000,7.183196,0.106600,266
10,1.041605,0.845917,13.575069,0.100000,267
1,0.000000,0.000000,2.583028,0.100000,268
18,1.408602,0.534496,10.825898,0.100000,269
12,1.722147,0.543984,9.853104,0.100000,270
3,0.000000,0.000000,5.361809,0.100000,271
2,0.000000,0.000000,8.417069,0.100000,272
11,0.817982,0.780139,24.835692,0.100000,273
7,0.000000,0.000000,17.789231,0.100000,274
13,1.732021,0.399778,7.179055,0.100000,275
4,0.000000,0.000000,7.224884,0.111500,276
9,0.000000,0.000000,5.254492,0.132500,277
14,2.265824,0.208904,2.724776,0.100000,278
8,0.000000,0.000000,2.359993,0.100500,279
15,1.323751,0.748281,183.017812,0.100000,280
17,1.472791,0.390049,11.372788,0.100000,281
16,2.299164,0.130890,2.325494,0.100000,282
5,0.000000,0.000000,7.695172,0.100000,283
6,0.000000,0.000000,9.556824,0.142800,284
19,1.592233,0.660349,8.143404,0.100000,285
0,0.000000,0.000000,7.183196,0.106600,286
10,1.041605,0.845917,13.575069,0.100000,287
1,0.000000,0.000000,2.583028,0.100000,288
12,1.722147,0.543984,9.853104,0.100000,289
18,1.408602,0.534496,10.825898,0.100000,290
11,0.817982,0.780139,24.835692,0.100000,291
3,0.000000,0.000000,5.361809,0.100000,292
2,0.000000,0.000000,8.417069,0.100000,293
7,0.000000,0.000000,17.789231,0.100000,294
13,1.732021,0.399778,7.179055,0.100000,295
4,0.000000,0.000000,7.224884,0.111500,296
14,2.265824,0.208904,2.724776,0.100000,297
9,0.000000,0.000000,5.254492,0.132500,298
15,1.323751,0.748281,183.017812,0.100000,299
