time_sec,round,test_acc,updates_per_sec,tau_bin_0,tau_bin_1,tau_bin_2,tau_bin_3,tau_bin_4,tau_bin_5,tau_bin_6_10,tau_bin_11_20,tau_bin_21p,align_mean,fairness_gini,method,alpha,K,timeout,m,seed,strag_frac
10.392,300,0.100700,28.868654,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
11.954,300,0.100700,25.095472,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
14.449,300,0.100700,20.762029,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
17.227,300,0.100700,17.414438,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
19.417,300,0.100700,15.450595,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
20.139,300,0.100700,14.896165,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
20.805,300,0.100700,14.419332,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
21.493,300,0.100700,13.958317,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
22.171,300,0.100700,13.531470,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
22.848,300,0.100700,13.130346,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
23.537,300,0.100700,12.745838,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
24.220,300,0.100700,12.386666,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
24.892,300,0.100700,12.052277,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
25.573,300,0.100700,11.731310,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
26.254,300,0.100700,11.426650,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
26.945,300,0.100700,11.133644,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
27.676,300,0.100700,10.839698,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.500000
