total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.313850,0.095400,6.555
0,0.000000,0.000000,2.313850,0.095400,11.765
0,0.000000,0.000000,2.313850,0.095400,15.707
0,0.000000,0.000000,2.313850,0.095400,18.662
0,0.000000,0.000000,2.313850,0.095400,20.391
0,0.000000,0.000000,2.313850,0.095400,22.060
0,0.000000,0.000000,2.313850,0.095400,23.367
1,1.754053,0.279373,2.313832,0.094800,24.130
1,0.000000,0.000000,2.313832,0.094800,24.869
1,0.000000,0.000000,2.313832,0.094800,26.220
1,0.000000,0.000000,2.313832,0.094800,27.611
1,0.000000,0.000000,2.313832,0.094800,30.305
1,0.000000,0.000000,2.313832,0.094800,32.297
1,0.000000,0.000000,2.313832,0.094800,34.897
2,0.888935,0.652368,2.313862,0.094100,37.098
2,0.000000,0.000000,2.313862,0.094100,39.101
2,0.000000,0.000000,2.313862,0.094100,41.000
2,0.000000,0.000000,2.313862,0.094100,42.897
2,0.000000,0.000000,2.313862,0.094100,43.945
2,0.000000,0.000000,2.313862,0.094100,45.139
2,0.000000,0.000000,2.313862,0.094100,46.106
2,0.000000,0.000000,2.313862,0.094100,47.527
2,0.000000,0.000000,2.313862,0.094100,48.434
2,0.000000,0.000000,2.313862,0.094100,49.264
3,0.695958,0.786857,2.313594,0.094000,50.090
3,0.000000,0.000000,2.313594,0.094000,50.811
3,0.000000,0.000000,2.313594,0.094000,51.713
3,0.000000,0.000000,2.313594,0.094000,52.461
3,0.000000,0.000000,2.313594,0.094000,53.348
3,0.000000,0.000000,2.313594,0.094000,54.090
3,0.000000,0.000000,2.313594,0.094000,54.859
3,0.000000,0.000000,2.313594,0.094000,55.864
3,0.000000,0.000000,2.313594,0.094000,56.976
3,0.000000,0.000000,2.313594,0.094000,57.892
3,0.000000,0.000000,2.313594,0.094000,59.141
3,0.000000,0.000000,2.313594,0.094000,60.511
4,0.978389,0.640664,2.313946,0.093600,61.486
4,0.000000,0.000000,2.313946,0.093600,62.233
4,0.000000,0.000000,2.313946,0.093600,63.240
4,0.000000,0.000000,2.313946,0.093600,63.991
4,0.000000,0.000000,2.313946,0.093600,64.843
4,0.000000,0.000000,2.313946,0.093600,65.579
4,0.000000,0.000000,2.313946,0.093600,66.626
4,0.000000,0.000000,2.313946,0.093600,67.383
4,0.000000,0.000000,2.313946,0.093600,68.429
4,0.000000,0.000000,2.313946,0.093600,69.357
4,0.000000,0.000000,2.313946,0.093600,70.870
4,0.000000,0.000000,2.313946,0.093600,71.666
5,0.861890,0.707706,2.313785,0.092900,72.770
5,0.000000,0.000000,2.313785,0.092900,73.628
5,0.000000,0.000000,2.313785,0.092900,74.633
5,0.000000,0.000000,2.313785,0.092900,75.395
5,0.000000,0.000000,2.313785,0.092900,76.262
5,0.000000,0.000000,2.313785,0.092900,76.999
5,0.000000,0.000000,2.313785,0.092900,77.998
5,0.000000,0.000000,2.313785,0.092900,78.770
5,0.000000,0.000000,2.313785,0.092900,79.520
5,0.000000,0.000000,2.313785,0.092900,80.388
