client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
4,1.775070,0.271540,7.042792,0.100000,0
3,0.910889,0.517410,5.299078,0.111300,1
1,1.296820,0.527646,31.803150,0.100000,1
0,0.607637,0.770387,22.419039,0.100600,1
2,0.922675,0.664854,30.862258,0.102900,1
6,0.860204,0.812456,3.061426,0.100000,2
7,1.344490,0.409471,7.365106,0.100000,2
8,2.302579,0.010777,2.302579,0.100000,3
5,1.259188,0.538187,3.954282,0.149800,3
9,0.269551,0.940913,7.303761,0.100000,3
4,1.815952,0.313316,4.045019,0.100000,3
3,2.302585,0.401237,2.302567,0.100400,4
0,2.302576,0.095370,2.302540,0.100600,4
1,1.602904,0.527646,4.541772,0.100000,4
7,1.938147,0.298050,9.255835,0.100000,5
2,1.281982,0.623966,9.452932,0.106400,5
6,0.579181,0.820005,4.985402,0.119200,5
8,2.302044,0.102176,2.302330,0.100400,5
9,2.302585,0.000958,2.302512,0.102100,6
4,2.301132,0.114883,2.303425,0.100000,6
3,2.302585,0.401237,2.302506,0.102900,6
5,2.203543,0.200079,5.427545,0.100000,7
0,2.300630,0.095370,2.302431,0.108200,7
7,1.612063,0.469359,2.909427,0.100000,7
1,1.526988,0.527646,3.030034,0.100000,8
6,2.302585,0.000000,2.302538,0.101600,8
2,2.302585,0.000000,2.302555,0.101100,8
8,2.302585,0.007668,2.302540,0.101300,9
9,2.302588,0.000958,2.297647,0.104100,9
4,2.262117,0.114883,3.108056,0.100000,9
3,2.302585,0.401237,2.296415,0.114800,9
0,2.302585,0.000000,2.302561,0.102900,10
7,1.615924,0.469359,2.941654,0.100000,10
1,1.503994,0.527646,5.106022,0.100000,11
6,2.302585,0.000000,2.302585,0.100000,11
5,1.588545,0.468150,6.583210,0.100400,11
8,2.302619,0.100725,2.302583,0.100000,12
9,2.302585,0.000958,2.302585,0.100000,12
2,2.038372,0.312719,2.310148,0.100000,12
4,2.304950,0.039164,2.301565,0.100000,13
3,1.976401,0.401237,3.218009,0.100000,13
7,1.028826,0.599582,10.629173,0.104700,13
0,2.302585,0.000000,2.302840,0.102000,14
1,1.736464,0.466130,4.172572,0.100000,14
6,2.302585,0.000000,2.303098,0.071300,15
8,0.514716,0.867565,6.040338,0.100000,15
9,2.302585,0.000958,2.302585,0.100000,15
5,2.302585,0.220807,2.302655,0.092400,15
4,2.299809,0.114883,2.302549,0.100000,15
2,1.154393,0.673689,6.716307,0.116000,16
7,1.578829,0.494429,4.413301,0.111900,16
3,2.302585,0.401237,2.299233,0.102700,16
0,2.295724,0.096406,2.296928,0.134500,16
1,2.296321,0.139143,2.305527,0.100000,17
6,2.302585,0.000000,2.302585,0.100000,17
9,2.302585,0.000958,2.302585,0.100000,17
8,0.517196,0.867565,4.950826,0.100000,17
4,2.323998,0.088773,2.301497,0.100000,18
3,1.767478,0.401237,7.233600,0.100000,18
5,1.841818,0.249719,4.477727,0.113500,19
7,1.556404,0.469359,2.440896,0.091500,19
2,1.069953,0.701778,9.889536,0.102200,19
0,2.302585,0.000000,2.302585,0.100000,19
6,0.723458,0.812456,4.349196,0.100000,19
