total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.302843,0.100000,36.836
0,0.000000,0.000000,2.302843,0.100000,49.922
0,0.000000,0.000000,2.302843,0.100000,60.388
3,1.857720,0.391374,2.302880,0.101500,80.347
3,0.000000,0.000000,2.302880,0.101500,92.411
5,1.740280,0.432959,2.302918,0.100000,110.374
5,0.000000,0.000000,2.302918,0.100000,121.552
7,1.674549,0.537505,2.302986,0.100000,140.487
7,0.000000,0.000000,2.302986,0.100000,151.665
9,1.837484,0.364389,2.303131,0.100000,170.167
9,0.000000,0.000000,2.303131,0.100000,181.312
12,1.930756,0.366810,2.303159,0.100000,198.939
13,1.975063,0.364997,2.303193,0.100000,217.487
14,1.777969,0.537193,2.303270,0.100000,232.239
14,0.000000,0.000000,2.303270,0.100000,243.941
16,1.805549,0.561399,2.303322,0.100000,259.270
18,1.983527,0.299744,2.303283,0.100000,275.600
18,0.000000,0.000000,2.303283,0.100000,288.902
19,2.004182,0.400702,2.303275,0.100000,305.319
20,2.009607,0.360578,2.303223,0.100000,317.467
