total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
1,2.2776622382112506,0.14819326025172555,2.4274803546905517,0.1216,43.25352621078491
2,2.281995053763002,0.1381657989587505,2.40587417678833,0.1203,50.914754152297974
3,2.2787588228393933,0.13612565445026178,2.387538470840454,0.1203,59.47335505485535
4,2.282293927803468,0.14486356340288925,2.3724887718200685,0.1206,69.49757432937622
5,2.284636702752294,0.1442805898764448,2.359639192199707,0.1215,78.48041009902954
6,2.2810309571811778,0.13193343898573692,2.348731045532227,0.1225,87.7697401046753
7,2.273378974981113,0.15042117930204574,2.339681932449341,0.1216,98.49910926818848
8,2.2800414427742663,0.12570507655116842,2.33204951133728,0.1243,107.04815626144409
9,2.274886840235494,0.1314629258517034,2.3259823722839355,0.1262,118.52706909179688
10,2.276641654452659,0.13856627953544254,2.3208513088226317,0.1248,129.07881712913513
11,2.2762213512842835,0.14466403162055336,2.3170693389892576,0.1243,138.73571729660034
12,2.268570780470932,0.15122723673792557,2.3138228397369387,0.1254,146.2786591053009
13,2.263952365052105,0.1392914653784219,2.3112618103027343,0.1277,156.22653317451477
14,2.2666371049578533,0.15054195102368526,2.3090031818389893,0.1285,165.30489802360535
15,2.269106428657642,0.14807383627608348,2.3073207599639893,0.1294,176.4426040649414
16,2.2640120499751974,0.16767432486900444,2.306010369491577,0.1305,186.99176621437073
17,2.2651902203040355,0.15390846496557312,2.3048962352752684,0.1304,197.2145311832428
18,2.27023723453366,0.15299246928260007,2.30402314453125,0.1306,206.64651703834534
19,2.264653191983121,0.15372168284789645,2.3032661586761476,0.1314,218.28851509094238
20,2.2667510374015025,0.14645858343337334,2.3025968746185304,0.1329,228.45211601257324
21,2.262979418390222,0.16199756394640683,2.3021844444274904,0.1323,235.41278529167175
22,2.2607009531165487,0.16700040048057668,2.3017341636657713,0.1317,239.89971113204956
23,2.265225554780042,0.16270640354409988,2.301465087890625,0.1323,244.23564910888672
24,2.258410935225877,0.15048154093097912,2.301073570251465,0.1335,248.50429105758667
