total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,49.254
0,0.000000,0.000000,2.451780,0.121400,60.754
3,1.632422,0.474763,2.354767,0.100400,63.997
4,1.539226,0.594951,2.428575,0.101700,82.233
5,1.440933,0.694810,2.354911,0.102100,96.995
7,1.072408,0.840538,2.464501,0.100000,107.352
9,1.252359,0.716000,2.560506,0.101600,121.435
10,0.960712,0.844828,2.532951,0.100000,139.486
12,1.203101,0.713501,2.542233,0.157500,148.219
15,2.147787,0.272875,2.332996,0.135800,160.083
15,0.000000,0.000000,2.332996,0.135800,179.469
17,1.460459,0.691721,2.566136,0.100100,197.267
19,1.548206,0.532383,2.402531,0.143500,204.779
21,1.544509,0.534910,2.362795,0.100100,217.625
22,1.498966,0.527174,2.472768,0.159600,238.419
24,1.444373,0.564775,2.408548,0.159200,245.866
26,1.577747,0.539180,2.403045,0.148900,267.116
27,0.825035,0.903103,2.355864,0.111600,284.672
29,1.048982,0.789113,2.468133,0.157500,292.054
31,1.051791,0.789267,2.578559,0.100000,308.217
32,1.031962,0.779730,2.414903,0.166800,323.901
34,1.755970,0.414337,2.398467,0.152200,330.318
36,2.717659,0.028986,2.248560,0.175500,333.312
37,0.778141,0.977992,2.490620,0.100400,358.359
37,0.000000,0.000000,2.490620,0.100400,369.786
39,1.447264,0.644729,2.341679,0.121800,376.235
41,1.444156,0.546930,2.377860,0.144300,395.866
42,1.372321,0.603804,2.555672,0.169600,410.335
44,1.519590,0.502792,2.407165,0.168200,417.420
44,0.000000,0.000000,2.407165,0.168200,421.530
47,1.155973,0.732976,2.357704,0.146000,428.195
47,0.000000,0.000000,2.357704,0.146000,448.996
48,0.836305,0.892241,2.311064,0.127900,465.973
50,1.044819,0.786292,2.371830,0.182800,470.943
52,0.972957,0.800232,2.341175,0.199100,482.272
52,0.000000,0.000000,2.341175,0.199100,495.909
54,1.788490,0.367972,2.164416,0.201800,503.290
56,1.962537,0.358314,2.245710,0.163000,509.767
57,0.706934,0.976616,2.367981,0.124700,521.885
58,1.126096,0.878882,2.267861,0.174700,540.356
60,1.336108,0.598007,2.234190,0.190800,552.988
62,1.393457,0.565171,2.354165,0.208300,568.859
63,1.475202,0.499870,2.264940,0.163500,582.595
65,1.343760,0.669953,2.250592,0.186200,603.025
66,0.837987,0.898670,2.187434,0.167700,612.018
69,1.049043,0.778810,2.214153,0.170500,621.078
70,1.058899,0.796851,2.279512,0.206400,637.900
71,0.925983,0.817585,2.359181,0.119300,647.824
72,2.276290,0.062827,2.105039,0.185400,659.440
73,0.874701,0.832652,2.220244,0.206300,668.093
75,1.741286,0.381271,2.296960,0.170200,674.382
76,1.451480,0.596562,2.232833,0.176900,685.349
78,1.109065,0.801716,2.204074,0.168700,697.203
80,1.296060,0.622745,2.203447,0.203100,704.451
81,1.253501,0.667391,2.420617,0.166400,722.329
81,0.000000,0.000000,2.420617,0.166400,739.825
83,1.377640,0.565647,2.277781,0.220600,744.829
86,1.172949,0.695054,2.176871,0.168600,751.305
86,0.000000,0.000000,2.176871,0.168600,778.457
87,0.859377,0.854391,2.500805,0.113700,794.265
90,1.022706,0.780195,2.413351,0.157500,805.897
92,1.117745,0.746596,2.063795,0.233500,816.955
94,0.984829,0.783455,2.016497,0.245200,842.380
94,0.000000,0.000000,2.016497,0.245200,851.861
97,1.504013,0.533740,2.323424,0.155800,861.715
99,1.203002,0.679671,2.188237,0.213000,874.809
100,1.262023,0.649735,2.059174,0.211400,882.136
102,1.292617,0.659532,2.263587,0.174400,902.056
102,0.000000,0.000000,2.263587,0.174400,910.210
104,1.336084,0.590383,2.209573,0.210000,920.762
106,1.154611,0.681097,2.040910,0.229100,933.328
107,0.647683,0.973035,2.300371,0.137200,952.061
109,1.085681,0.758096,2.128021,0.246400,966.727
111,1.001981,0.800242,2.444401,0.134500,979.036
112,1.782802,0.534031,2.140662,0.197700,989.115
114,0.976876,0.794254,2.125566,0.204300,995.276
115,2.372423,0.158385,2.011345,0.264800,1002.245
116,1.475379,0.594540,2.174051,0.181700,1022.538
117,1.477380,0.495280,2.261243,0.175300,1034.349
119,1.080017,0.756598,2.110780,0.174900,1041.907
121,1.223237,0.663198,2.372458,0.181900,1053.333
122,1.463697,0.548742,2.071991,0.204500,1066.078
123,1.233774,0.721921,2.158887,0.210600,1081.432
125,1.175721,0.681174,2.347311,0.157200,1092.429
127,1.226493,0.630862,2.087545,0.246400,1100.166
128,0.782263,0.912356,2.382301,0.141100,1123.364
129,1.228670,0.682029,2.112574,0.248500,1138.174
132,1.026104,0.782787,2.251373,0.174000,1160.363
134,0.950058,0.799460,1.964250,0.266500,1168.062
136,1.570694,0.533944,2.252436,0.181300,1180.503
137,1.540358,0.488062,2.217854,0.186700,1188.322
139,1.159398,0.729228,2.067852,0.182900,1205.158
140,1.211604,0.657263,2.072040,0.230700,1219.491
142,1.188477,0.734249,2.274395,0.181200,1228.802
144,0.907117,0.847606,2.256671,0.170000,1247.000
144,0.000000,0.000000,2.256671,0.170000,1258.388
146,1.220269,0.642309,2.452677,0.142500,1266.842
148,1.136716,0.702340,2.298182,0.146800,1281.033
149,1.229040,0.676007,2.082154,0.255000,1297.450
151,2.069270,0.256729,2.009896,0.259700,1306.837
153,1.015311,0.790772,2.152007,0.185900,1315.712
154,0.916451,0.819779,2.205025,0.220000,1327.316
155,1.988066,0.291925,2.007632,0.251200,1342.405
156,1.456558,0.577351,2.325852,0.153700,1346.197
158,1.400888,0.564423,2.189608,0.172600,1357.768
159,0.688337,0.966988,2.143376,0.183900,1368.852
160,1.504160,0.534591,2.320868,0.140800,1376.656
161,1.197689,0.663261,2.113999,0.225200,1388.380
162,1.210097,0.695652,2.263075,0.195500,1403.634
162,0.000000,0.000000,2.263075,0.195500,1408.116
165,1.187198,0.676365,2.082594,0.257500,1413.907
166,0.625643,0.973806,2.463668,0.124900,1432.060
167,1.373636,0.541265,2.077905,0.246000,1444.433
169,1.084267,0.762884,2.102018,0.229500,1456.341
170,2.571071,0.073298,2.010638,0.247200,1473.382
172,1.118305,0.748177,2.073882,0.237400,1488.258
174,0.893478,0.828650,2.185865,0.204100,1500.071
175,1.534747,0.487578,1.934428,0.267300,1514.126
177,1.510420,0.521505,2.260437,0.186000,1528.244
178,0.933468,0.833563,2.111889,0.202400,1539.117
180,1.238224,0.660024,2.020967,0.244200,1546.160
182,1.283709,0.671648,2.179499,0.209000,1561.217
183,0.804295,0.890437,2.422031,0.151100,1580.987
184,1.178908,0.731991,2.133775,0.187500,1592.417
184,0.000000,0.000000,2.133775,0.187500,1596.395
187,1.217839,0.643546,2.111438,0.175500,1602.930
188,0.661808,0.957627,2.248975,0.155100,1626.120
189,1.196143,0.699861,2.108380,0.243500,1637.444
191,1.086731,0.752979,2.081156,0.247000,1642.311
193,1.035395,0.765214,2.081272,0.177500,1653.940
193,0.000000,0.000000,2.081272,0.177500,1673.815
195,1.477706,0.579710,2.189325,0.193700,1686.236
197,1.367525,0.570807,1.985044,0.244600,1693.269
199,0.931452,0.806857,1.968777,0.234800,1703.214
200,1.172031,0.681697,1.959772,0.254700,1724.464
201,1.250998,0.665761,2.269195,0.192900,1733.869
203,1.103039,0.774261,2.124998,0.203700,1745.685
205,1.134545,0.692386,2.098512,0.240100,1752.512
206,0.740969,0.926724,2.021794,0.225700,1777.340
207,1.381445,0.556626,2.075318,0.200600,1787.328
209,0.936968,0.817327,2.191473,0.157400,1792.637
210,1.213417,0.688282,2.151963,0.236700,1803.805
212,1.109186,0.747969,1.975028,0.275500,1820.535
213,0.890277,0.828084,2.098419,0.180200,1833.683
215,1.603329,0.474447,2.170442,0.211300,1841.395
217,1.409187,0.564478,2.041394,0.215500,1866.071
218,0.887479,0.835309,2.213251,0.205200,1878.756
220,1.192237,0.699905,2.175294,0.192200,1885.239
222,1.154336,0.700467,2.087284,0.204800,1899.133
223,0.908008,0.843255,2.095975,0.186000,1918.939
224,1.246637,0.706429,2.036511,0.212200,1931.656
226,1.123478,0.703507,1.974584,0.227600,1938.557
228,1.176487,0.666083,2.258092,0.148100,1945.122
229,2.083270,0.178010,1.968891,0.277100,1968.107
