client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
0,1.427562,0.693261,2.481411,0.100000,0
2,2.377244,0.118012,2.327658,0.117800,1
1,1.535007,0.592404,2.995842,0.100600,2
4,1.647753,0.470711,2.915182,0.100000,3
3,1.475601,0.541304,2.667850,0.102700,4
7,1.520958,0.569182,2.705491,0.100000,5
5,0.985831,0.829322,3.282669,0.100000,6
6,1.306615,0.697716,3.091316,0.100400,7
8,1.204105,0.729659,3.417537,0.103000,8
10,1.253121,0.719569,3.447322,0.100000,9
9,0.815823,0.894037,3.495612,0.100000,10
12,1.998601,0.356926,2.718378,0.100000,11
13,2.049133,0.291505,2.704306,0.102500,12
11,1.180772,0.720678,3.607819,0.101900,13
14,2.539719,0.017123,2.403901,0.127100,14
15,0.900251,0.961486,3.474448,0.100000,15
16,2.809648,0.005236,2.373054,0.120500,16
17,1.564387,0.481564,3.181606,0.158400,17
18,1.539269,0.531189,3.027116,0.100800,18
19,1.755477,0.463230,2.939816,0.103200,19
0,1.421140,0.618125,2.963408,0.100100,20
2,1.590074,0.627329,2.917764,0.100000,21
1,1.481968,0.583604,3.273642,0.113000,22
4,1.563738,0.472012,3.214041,0.101800,23
3,1.323603,0.655435,3.047797,0.165300,24
5,1.007044,0.817606,3.471901,0.100000,25
6,1.175847,0.730761,2.779995,0.128400,26
7,1.262008,0.748428,3.299590,0.100000,27
8,1.043273,0.777997,3.377017,0.128000,28
10,0.763897,0.970724,4.079397,0.100000,29
9,0.685909,0.952945,3.442233,0.100000,30
12,1.650887,0.510617,2.943221,0.102500,31
13,1.749163,0.380344,2.982638,0.173400,32
11,0.967969,0.794442,3.332288,0.170800,33
15,1.604053,0.585970,3.689275,0.100000,34
14,2.582504,0.051370,2.315105,0.126700,35
16,2.531551,0.020942,2.208985,0.219000,36
17,1.377852,0.573523,3.112567,0.175400,37
0,1.274076,0.692486,3.100722,0.132200,38
19,1.330491,0.649735,3.530626,0.121400,39
18,1.426130,0.550428,3.045117,0.126400,40
2,1.423048,0.670807,3.182145,0.100000,41
1,1.278746,0.665354,3.234102,0.133300,42
3,1.144772,0.725000,3.066675,0.168900,43
4,1.510832,0.485551,2.736627,0.138400,44
6,1.139947,0.758261,3.054713,0.118200,45
5,0.853594,0.875237,3.891880,0.100100,46
7,1.328102,0.687107,2.835990,0.103200,47
8,1.005368,0.797900,3.247512,0.159700,48
10,0.864723,0.885978,3.873311,0.100000,49
9,0.738210,0.913793,3.024234,0.100100,50
13,1.645126,0.415325,2.892510,0.138800,51
12,1.541542,0.560162,3.199183,0.100000,52
11,0.928343,0.807519,3.405981,0.135500,53
14,1.611615,0.561644,2.888072,0.106900,54
15,1.604981,0.632737,3.874805,0.100000,55
17,1.331127,0.585962,3.188997,0.192500,56
16,2.535121,0.010471,2.126202,0.229700,57
0,1.212649,0.720372,2.769325,0.170500,58
19,1.264360,0.672479,3.117335,0.167600,59
1,1.306281,0.652617,3.237603,0.134200,60
18,1.406991,0.557493,2.745398,0.186300,61
2,1.609682,0.543478,3.002433,0.114000,62
3,1.223237,0.697826,3.134225,0.171100,63
6,1.136419,0.759370,2.948831,0.139000,64
4,1.473018,0.501692,3.239689,0.120300,65
7,1.589709,0.518868,2.800809,0.102900,66
5,0.906043,0.865738,3.623560,0.106300,67
10,0.868025,0.878274,3.704355,0.100000,68
8,1.035261,0.776028,3.030960,0.147900,69
13,1.583374,0.443087,2.952852,0.117100,70
9,0.663012,0.948994,3.925338,0.100000,71
12,1.477072,0.577351,2.794794,0.111700,72
14,2.257765,0.150685,2.452413,0.101800,73
15,1.493406,0.638239,3.425336,0.100000,74
11,0.882589,0.835717,3.463566,0.148400,75
17,1.284460,0.610173,3.097279,0.179700,76
16,2.228707,0.256545,2.214342,0.173100,77
0,1.318051,0.678544,2.793449,0.170300,78
19,1.507400,0.553450,3.161963,0.168800,79
1,1.331213,0.645206,2.792990,0.211200,80
2,1.314813,0.773292,2.855646,0.133200,81
3,1.099848,0.743478,3.054282,0.168600,82
6,1.089787,0.764915,2.630905,0.174400,83
18,1.382701,0.562904,2.637088,0.201200,84
4,1.398487,0.539443,2.578093,0.148900,85
7,1.516544,0.550314,2.694127,0.104200,86
8,0.971793,0.800525,3.612180,0.112900,87
5,0.827729,0.896453,3.059905,0.132500,88
10,0.696686,0.943760,3.582069,0.100000,89
14,2.321467,0.136986,2.360754,0.111400,90
12,1.477737,0.547017,3.097727,0.101000,91
9,0.760846,0.922055,2.812646,0.103600,92
15,1.494825,0.587345,3.468739,0.100000,93
13,1.569655,0.458634,2.913241,0.172100,94
16,2.140772,0.287958,2.137942,0.192100,95
17,1.260480,0.630831,2.851868,0.190600,96
11,0.871479,0.839191,3.270094,0.151200,97
0,1.161765,0.766073,2.633321,0.170900,98
19,1.213258,0.670963,3.211681,0.169800,99
2,1.640882,0.394410,2.981285,0.113700,100
1,1.309588,0.650764,3.113086,0.147800,101
3,1.101049,0.748370,3.242257,0.167300,102
6,1.030277,0.783766,2.649785,0.179200,103
7,0.958596,0.883648,2.745343,0.104000,104
4,1.394349,0.539964,2.764577,0.150700,105
18,1.367099,0.567864,2.720772,0.188800,106
8,0.944522,0.812992,3.067081,0.166700,107
10,0.932011,0.832049,3.472563,0.100100,108
5,0.826232,0.878404,3.684580,0.118500,109
14,2.149084,0.250000,2.366074,0.107400,110
15,1.134368,0.755158,3.366624,0.100200,111
12,1.413157,0.607685,2.608286,0.133400,112
13,1.604340,0.455303,2.555952,0.182400,113
9,0.735713,0.933908,2.789329,0.102900,114
16,2.026410,0.183246,2.191497,0.189700,115
17,1.222935,0.652155,2.919868,0.192600,116
11,0.856469,0.838987,3.193399,0.178500,117
2,1.333631,0.667702,3.326119,0.110600,118
1,1.244016,0.670681,2.694994,0.239300,119
0,1.211889,0.716499,2.866681,0.162600,120
19,1.254936,0.661865,3.526198,0.158600,121
3,1.200499,0.688587,2.875009,0.177400,122
7,1.088426,0.806604,3.547282,0.100200,123
6,1.000170,0.807053,2.631131,0.183200,124
4,1.401545,0.548295,3.014369,0.145200,125
8,0.990646,0.793307,3.618767,0.112200,126
18,1.346342,0.565760,2.817873,0.154100,127
10,0.717037,0.922958,3.263362,0.101000,128
5,0.913521,0.846105,2.951686,0.144400,129
14,2.503344,0.071918,2.190521,0.131000,130
15,1.415778,0.612105,3.402115,0.100000,131
13,1.411625,0.526929,2.615480,0.181700,132
9,0.736218,0.934267,3.681888,0.100000,133
16,2.313669,0.136126,2.031752,0.222400,134
12,1.512539,0.527806,2.986163,0.109600,135
17,1.235868,0.639938,2.783428,0.197900,136
2,0.921793,0.881988,3.478765,0.130300,137
11,0.837163,0.852268,3.137239,0.192800,138
19,1.192656,0.672479,3.579882,0.170400,139
1,1.232632,0.673460,3.020015,0.170500,140
0,1.255612,0.694810,2.673920,0.162600,141
3,1.233301,0.663587,2.892020,0.171900,142
7,1.755665,0.500000,2.704009,0.108800,143
6,1.038190,0.778443,2.767675,0.167100,144
8,0.962052,0.802056,3.620925,0.117500,145
4,1.384131,0.546212,2.522731,0.190000,146
10,0.706250,0.949153,3.391952,0.100100,147
5,0.845431,0.879354,3.389599,0.115500,148
14,2.305138,0.143836,2.185986,0.130800,149
18,1.359199,0.571622,2.912096,0.173200,150
15,1.250092,0.724897,3.307680,0.100200,151
13,1.550301,0.465297,2.695843,0.183600,152
9,0.730103,0.922055,2.711448,0.107000,153
16,1.908503,0.350785,2.176596,0.193300,154
12,1.343285,0.635996,2.535311,0.180900,155
17,1.221828,0.659485,2.847801,0.220500,156
2,1.341029,0.652174,2.636929,0.154600,157
11,0.862294,0.846751,3.118944,0.185300,158
19,1.055469,0.782411,3.584971,0.143700,159
1,1.249741,0.671839,2.757594,0.233300,160
0,1.227885,0.711851,2.999977,0.161400,161
7,1.639272,0.518868,2.540406,0.120500,162
3,1.233720,0.671196,3.335460,0.168600,163
6,1.065212,0.773564,2.604196,0.179800,164
10,0.674080,0.965331,3.686169,0.100000,165
4,1.362592,0.560531,2.538206,0.179300,166
8,0.927102,0.818460,3.586942,0.117200,167
5,0.769685,0.914186,3.600138,0.104000,168
15,1.192900,0.687758,3.226885,0.101900,169
14,2.540612,0.082192,2.154829,0.137800,170
18,1.339782,0.574778,2.849704,0.151500,171
9,0.758478,0.909842,2.834121,0.106700,172
13,1.574644,0.460855,2.850395,0.185200,173
16,2.247657,0.172775,2.065538,0.230000,174
12,1.331424,0.639029,2.946142,0.124600,175
17,1.228915,0.648156,2.783681,0.203200,176
11,0.831863,0.854311,3.017619,0.187600,177
2,1.174546,0.816770,2.642969,0.173700,178
19,1.054412,0.746020,3.595012,0.151900,179
1,1.241603,0.677397,3.053988,0.174200,180
7,1.562506,0.545597,2.579925,0.118700,181
0,1.174055,0.720372,3.179160,0.162800,182
3,1.089192,0.753261,2.926774,0.177700,183
6,1.033976,0.777556,2.898702,0.155700,184
10,1.060747,0.784284,3.569267,0.100200,185
5,0.862887,0.853705,3.774585,0.109100,186
8,0.936087,0.817148,3.219484,0.181400,187
4,1.362200,0.552200,2.529641,0.208200,188
15,1.406002,0.640990,3.284338,0.101700,189
14,2.418053,0.109589,2.142345,0.126800,190
13,1.502652,0.494170,2.559899,0.214700,191
9,0.658193,0.947557,3.146940,0.101200,192
16,2.090922,0.183246,2.116679,0.203800,193
12,1.393841,0.624874,2.579574,0.162200,194
18,1.304120,0.597024,2.623465,0.195000,195
2,1.297116,0.630435,2.762861,0.161200,196
17,1.199890,0.662817,2.761779,0.214400,197
11,0.821926,0.862280,3.109221,0.192600,198
19,1.257624,0.674754,2.942370,0.172100,199
7,1.635073,0.533019,2.435649,0.124000,200
1,1.268457,0.667670,3.023153,0.164600,201
0,1.131575,0.751356,2.879466,0.174800,202
3,1.168949,0.694565,3.145758,0.171500,203
10,0.924129,0.826656,3.285577,0.100500,204
6,1.045364,0.780883,2.579935,0.185000,205
5,0.814560,0.885370,3.430204,0.119000,206
8,0.956709,0.808836,3.607651,0.119700,207
15,1.486545,0.583219,3.208019,0.100200,208
4,1.353171,0.562093,2.746720,0.159900,209
14,2.229263,0.198630,2.268209,0.168100,210
16,2.579261,0.109948,2.002061,0.245800,211
