client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
1,2.312094,0.120367,2.290501,0.134800,0
4,2.311924,0.119744,2.287931,0.122600,1
3,2.314786,0.119367,2.289810,0.120100,2
0,2.308766,0.123641,2.288404,0.123000,3
2,2.305254,0.125201,2.289515,0.119100,4
5,2.262363,0.169572,2.242885,0.182600,5
7,2.268390,0.141418,2.244736,0.176000,6
8,2.258314,0.161122,2.244974,0.159600,7
6,2.261614,0.162455,2.240901,0.176400,8
9,2.239593,0.187024,2.213307,0.187500,9
11,2.237815,0.173001,2.202991,0.192800,10
10,2.240324,0.182213,2.213738,0.185400,11
12,2.225905,0.190419,2.203445,0.182000,12
13,2.214523,0.188278,2.184267,0.203000,13
14,2.216405,0.187801,2.185751,0.197700,14
15,2.204813,0.199113,2.163063,0.208100,15
16,2.192722,0.193601,2.147677,0.210900,16
18,2.193080,0.196602,2.138926,0.205700,17
19,2.193986,0.202481,2.141820,0.202900,18
1,2.182238,0.212834,2.103082,0.211100,19
17,2.195456,0.200159,2.139901,0.206100,20
4,2.169077,0.210653,2.088176,0.220000,21
3,2.140210,0.221275,2.053272,0.251900,22
2,2.135850,0.221509,2.045404,0.244200,23
5,2.142602,0.222662,2.048006,0.243800,24
0,2.142012,0.208216,2.041166,0.255900,25
7,2.133387,0.223207,2.034236,0.256100,26
8,2.099193,0.242886,2.014167,0.235700,27
6,2.079618,0.241877,2.005899,0.267000,28
9,2.099836,0.223869,2.007682,0.249400,29
12,2.092750,0.229469,2.023727,0.237300,30
11,2.100998,0.232383,2.005379,0.270200,31
13,2.053329,0.253312,1.982764,0.247400,32
14,2.063773,0.252408,1.967270,0.258200,33
15,2.045612,0.261185,1.966492,0.278200,34
16,2.043903,0.258809,1.954424,0.264400,35
18,2.067657,0.251214,2.001308,0.258900,36
10,2.057817,0.265217,1.950744,0.281700,37
19,2.067797,0.240096,1.949763,0.273300,38
1,2.052669,0.249502,1.938154,0.276200,39
17,2.029270,0.269917,1.919412,0.273000,40
4,2.017037,0.283941,1.926712,0.264100,41
2,2.022291,0.269262,1.915727,0.291600,42
5,2.012508,0.278526,1.930252,0.267600,43
3,2.011240,0.263500,1.899550,0.292800,44
0,2.009818,0.269432,1.910999,0.275300,45
7,1.994776,0.294118,1.908219,0.270100,46
6,1.991409,0.286803,1.887071,0.294000,47
8,2.012444,0.264128,1.884659,0.305700,48
12,1.999111,0.291868,1.890144,0.305100,49
9,2.011220,0.262715,1.893076,0.315800,50
11,1.999363,0.291766,1.894697,0.273200,51
14,1.996267,0.289727,1.869803,0.313300,52
13,1.970155,0.295464,1.912224,0.282600,53
16,1.984666,0.286756,1.872299,0.286800,54
15,1.969814,0.305925,1.863176,0.305400,55
10,1.977698,0.283399,1.830006,0.321600,56
18,1.995940,0.277104,1.900591,0.268500,57
19,1.989095,0.290916,1.849018,0.303700,58
1,1.977701,0.290554,1.814231,0.331200,59
4,1.962826,0.304766,1.846641,0.328300,60
17,1.967411,0.290527,1.845555,0.310900,61
2,1.964764,0.298154,1.864977,0.299600,62
5,1.962510,0.295959,1.858179,0.306200,63
3,1.954709,0.299635,1.841739,0.312700,64
7,1.950602,0.312248,1.810837,0.327500,65
0,1.954784,0.312928,1.837771,0.319600,66
8,1.965210,0.296192,1.823101,0.326500,67
6,1.941135,0.300040,1.837027,0.311400,68
12,1.948046,0.315217,1.830992,0.334500,69
9,1.963535,0.303564,1.782695,0.347600,70
11,1.944830,0.322644,1.814902,0.331300,71
14,1.946048,0.318620,1.814426,0.333000,72
13,1.923676,0.317142,1.820148,0.331200,73
15,1.935768,0.310762,1.910711,0.270000,74
16,1.936821,0.312272,1.787566,0.339000,75
19,1.955053,0.293317,1.789020,0.336700,76
18,1.946936,0.307039,1.795305,0.320300,77
10,1.950763,0.305929,1.819027,0.313400,78
1,1.943423,0.308489,1.818331,0.320100,79
4,1.923464,0.339608,1.772278,0.345400,80
17,1.919700,0.315497,1.811222,0.329300,81
2,1.925510,0.314607,1.771045,0.342400,82
5,1.921621,0.321315,1.753666,0.354100,83
3,1.923913,0.325213,1.799791,0.308900,84
7,1.912994,0.328767,1.787115,0.322700,85
0,1.916896,0.319372,1.769139,0.344900,86
12,1.916677,0.324477,1.826818,0.318800,87
8,1.926947,0.333467,1.833219,0.321800,88
6,1.921518,0.317288,1.815986,0.314100,89
9,1.945723,0.309571,1.783806,0.344500,90
11,1.916592,0.329375,1.733792,0.366500,91
15,1.903310,0.334543,1.824842,0.304300,92
13,1.890132,0.344039,1.792868,0.328600,93
16,1.904132,0.328878,1.824022,0.316700,94
14,1.912227,0.313804,1.782291,0.339700,95
19,1.931763,0.307323,1.755828,0.348900,96
18,1.920609,0.321602,1.734245,0.364400,97
1,1.911782,0.339179,1.744739,0.354600,98
10,1.908207,0.332411,1.800128,0.329400,99
