total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,49.053
0,0.000000,0.000000,2.451780,0.121400,61.249
4,1.599394,0.512339,2.359130,0.100300,64.589
5,1.536366,0.591941,2.436704,0.103100,70.216
5,0.000000,0.000000,2.436704,0.103100,93.581
6,0.989432,0.822673,2.539978,0.100000,108.542
6,0.000000,0.000000,2.539978,0.100000,112.671
8,1.211360,0.723709,2.578995,0.103000,118.619
9,1.241245,0.856918,2.484084,0.100600,132.117
11,1.137446,0.746203,2.494207,0.100100,149.631
13,1.329218,0.652048,2.465711,0.106800,157.745
15,2.142092,0.270903,2.357414,0.101400,170.118
16,2.318044,0.193948,2.329685,0.100500,185.383
17,2.617884,0.005236,2.344331,0.104000,193.252
19,1.536682,0.523106,2.381593,0.112000,204.712
20,1.508817,0.547573,2.417397,0.124600,219.131
22,1.451274,0.579556,2.532924,0.158100,235.771
24,1.383122,0.630950,2.436907,0.134100,249.392
25,0.825265,0.896453,2.591700,0.103400,263.579
26,1.532929,0.502734,2.370883,0.154000,275.920
29,1.106546,0.762272,2.455260,0.116100,289.109
30,0.708885,0.934986,2.376174,0.126000,297.843
32,1.378768,0.630520,2.616158,0.100000,320.427
33,1.003283,0.777483,2.316880,0.160000,328.971
36,1.853313,0.350709,2.375955,0.115200,332.052
37,2.517895,0.010471,2.244430,0.122600,356.981
37,0.000000,0.000000,2.244430,0.122600,375.556
41,1.392517,0.584558,2.419089,0.169800,396.066
42,1.264603,0.691304,2.568705,0.163400,410.244
44,1.319354,0.648066,2.297621,0.183000,419.782
46,1.209616,0.679383,2.192893,0.204800,435.945
47,1.199151,0.740075,2.285863,0.193700,453.972
49,1.023632,0.789747,2.314680,0.154700,462.962
51,0.858674,0.879936,2.314595,0.146100,475.531
53,1.102969,0.764780,2.170114,0.171800,488.822
54,1.598729,0.417546,2.335308,0.125500,505.946
56,1.033343,0.779399,2.627880,0.108700,512.923
59,1.472590,0.580786,2.253390,0.155400,520.475
59,0.000000,0.000000,2.253390,0.155400,535.681
60,1.380950,0.577299,2.233497,0.194100,556.752
61,1.145794,0.723370,2.473464,0.171000,568.477
63,1.370120,0.571123,2.253641,0.191400,575.132
65,1.088139,0.758962,2.581753,0.131000,593.096
66,1.458518,0.513929,2.153888,0.219200,601.888
67,1.062791,0.860063,2.273123,0.160300,619.666
69,1.004579,0.803656,2.317617,0.151300,636.422
72,0.984293,0.805412,2.091804,0.209200,643.431
73,0.765179,0.909861,2.268030,0.129700,662.675
74,1.580535,0.458079,2.162617,0.217500,669.670
76,1.229388,0.711144,2.159412,0.168800,680.023
77,0.930181,0.813854,2.261142,0.182700,692.543
79,1.624664,0.463938,2.259720,0.167700,705.301
81,1.301754,0.624566,2.410492,0.173000,724.769
81,0.000000,0.000000,2.410492,0.173000,734.778
83,1.331685,0.601083,2.233968,0.191100,742.221
85,1.113115,0.747592,2.456519,0.141500,764.292
86,1.414175,0.518094,2.157737,0.211200,779.320
88,1.076808,0.784840,2.168474,0.199400,786.499
90,1.029928,0.769646,2.317805,0.161000,800.279
91,0.734895,0.918463,2.185147,0.182000,814.190
92,2.513682,0.061644,2.041219,0.224400,822.277
92,0.000000,0.000000,2.041219,0.224400,825.464
94,1.535372,0.507120,2.155736,0.157200,831.848
95,0.967241,0.785824,2.251270,0.148500,846.681
97,0.958502,0.803959,2.199853,0.185900,853.647
99,2.025754,0.239766,2.099059,0.192600,874.367
100,1.064798,0.762500,2.278823,0.192100,891.678
