client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
0,2.318454,0.100685,2.291489,0.119700,0
3,2.310930,0.125457,2.293163,0.121400,1
2,2.312185,0.101124,2.287989,0.125300,2
4,2.308992,0.126952,2.289499,0.127600,3
1,2.306831,0.123555,2.290098,0.136500,4
5,2.306279,0.130349,2.288695,0.121300,5
8,2.308271,0.120641,2.286833,0.128900,6
6,2.308885,0.117529,2.287028,0.127800,7
9,2.309518,0.128154,2.289794,0.126900,8
7,2.309498,0.109992,2.288912,0.135100,9
10,2.304356,0.134387,2.287378,0.132300,10
14,2.306663,0.109551,2.286759,0.127300,11
12,2.299901,0.123994,2.282587,0.131800,12
11,2.303484,0.123120,2.287337,0.117600,13
13,2.296458,0.128462,2.283315,0.139900,14
18,2.297756,0.134304,2.285232,0.129900,15
16,2.300447,0.115026,2.284433,0.124800,16
15,2.301107,0.132205,2.281397,0.135500,17
19,2.297927,0.139656,2.285652,0.126100,18
17,2.305789,0.124059,2.283417,0.138400,19
4,2.297083,0.115739,2.273868,0.120300,20
0,2.298159,0.108337,2.274469,0.142900,21
3,2.296360,0.118961,2.285430,0.102000,22
2,2.297126,0.113965,2.277409,0.127300,23
1,2.295767,0.117975,2.276681,0.106600,24
5,2.298366,0.112916,2.277252,0.126400,25
8,2.295966,0.111423,2.274176,0.134900,26
7,2.296798,0.114424,2.274993,0.150500,27
9,2.294263,0.118542,2.272687,0.132800,28
6,2.294687,0.114721,2.277406,0.144800,29
14,2.291848,0.112761,2.269961,0.130100,30
10,2.293682,0.120158,2.276091,0.150200,31
11,2.294965,0.112035,2.276568,0.127900,32
13,2.289517,0.109193,2.280790,0.140400,33
12,2.290542,0.116747,2.273543,0.148600,34
16,2.291060,0.121912,2.269226,0.132200,35
15,2.291911,0.112455,2.270564,0.138700,36
19,2.293331,0.116447,2.276122,0.144100,37
18,2.293611,0.115291,2.274888,0.144100,38
17,2.295092,0.116132,2.272633,0.134300,39
3,2.291126,0.127081,2.274150,0.144000,40
0,2.292421,0.118002,2.272257,0.127000,41
1,2.292713,0.118374,2.271037,0.146600,42
2,2.294091,0.113965,2.270147,0.118400,43
4,2.292864,0.126151,2.269485,0.124900,44
5,2.292418,0.120444,2.265958,0.148900,45
8,2.290946,0.110621,2.273201,0.117100,46
9,2.288480,0.119744,2.270249,0.138800,47
7,2.293367,0.115230,2.274765,0.122900,48
6,2.292046,0.123145,2.268927,0.134200,49
11,2.291069,0.107680,2.269223,0.146700,50
10,2.288832,0.118577,2.270717,0.121900,51
13,2.287552,0.120032,2.267801,0.135600,52
12,2.285403,0.126006,2.269657,0.148700,53
14,2.285387,0.120787,2.266643,0.123500,54
19,2.289453,0.124850,2.267528,0.148500,55
15,2.287099,0.108827,2.264873,0.135300,56
17,2.288253,0.108997,2.273009,0.145800,57
18,2.283996,0.130663,2.277407,0.148200,58
16,2.288438,0.108546,2.279412,0.126700,59
3,2.284943,0.124645,2.266872,0.127300,60
4,2.286019,0.122948,2.265702,0.145500,61
2,2.290458,0.120385,2.267935,0.141700,62
0,2.283847,0.119211,2.270487,0.133900,63
1,2.283639,0.131925,2.273371,0.119200,64
9,2.284358,0.122948,2.261693,0.154600,65
8,2.286695,0.123447,2.269374,0.125800,66
6,2.287305,0.118732,2.268010,0.155200,67
5,2.288129,0.131537,2.261043,0.133700,68
7,2.290281,0.112006,2.273115,0.168400,69
13,2.284157,0.109996,2.261143,0.161200,70
11,2.287642,0.125099,2.265990,0.126500,71
10,2.286590,0.121344,2.264689,0.134400,72
14,2.281960,0.116372,2.268149,0.150400,73
12,2.280358,0.127214,2.264668,0.124400,74
19,2.282325,0.138055,2.262767,0.141600,75
18,2.282649,0.135113,2.261246,0.150100,76
17,2.286047,0.124059,2.270080,0.143500,77
15,2.279828,0.122934,2.261326,0.154400,78
16,2.280797,0.123532,2.264505,0.156100,79
3,2.278204,0.127487,2.275540,0.112500,80
1,2.282199,0.136309,2.257448,0.160200,81
4,2.281476,0.137365,2.263379,0.126500,82
2,2.286014,0.123194,2.262621,0.147200,83
0,2.281997,0.126057,2.260004,0.141100,84
9,2.283786,0.125350,2.260368,0.166100,85
7,2.286961,0.117647,2.262026,0.142400,86
5,2.280565,0.138669,2.257685,0.156700,87
6,2.284608,0.120337,2.263255,0.137500,88
8,2.281035,0.116633,2.262073,0.138500,89
13,2.276711,0.130470,2.259013,0.151900,90
11,2.279605,0.143705,2.258672,0.147300,91
10,2.280576,0.125296,2.259630,0.159200,92
12,2.278693,0.126812,2.258185,0.146700,93
14,2.275328,0.115169,2.262818,0.145800,94
19,2.280905,0.118848,2.266147,0.151800,95
16,2.277916,0.123127,2.261254,0.118900,96
15,2.276167,0.138654,2.263795,0.130300,97
18,2.277447,0.140372,2.253003,0.167000,98
17,2.280337,0.131589,2.263024,0.137000,99
1,2.278065,0.131925,2.260915,0.135100,100
3,2.276250,0.142915,2.263967,0.149500,101
2,2.277061,0.138042,2.251991,0.155200,102
4,2.280273,0.126151,2.250935,0.171000,103
0,2.277546,0.129682,2.253387,0.156200,104
7,2.279638,0.140210,2.254416,0.153600,105
9,2.274609,0.141370,2.249532,0.129800,106
6,2.279994,0.122744,2.256010,0.179300,107
8,2.274682,0.123447,2.258999,0.136700,108
5,2.276553,0.148177,2.250457,0.147700,109
11,2.277404,0.121140,2.253081,0.157700,110
13,2.273462,0.141710,2.256213,0.171200,111
10,2.276608,0.138735,2.252454,0.142400,112
12,2.272417,0.132448,2.256349,0.179800,113
14,2.275848,0.117576,2.254899,0.173800,114
15,2.272441,0.130593,2.250910,0.171200,115
18,2.271859,0.125000,2.251300,0.169100,116
19,2.279070,0.121649,2.257128,0.172200,117
16,2.274078,0.118672,2.261050,0.131000,118
17,2.275878,0.121681,2.249416,0.133300,119
1,2.276799,0.136309,2.257284,0.152600,120
4,2.276797,0.139768,2.247582,0.154700,121
3,2.274118,0.139261,2.252746,0.151500,122
2,2.274680,0.135634,2.257133,0.178300,123
0,2.275025,0.132904,2.255115,0.176500,124
8,2.267931,0.145090,2.245866,0.162000,125
5,2.274728,0.143027,2.257605,0.156500,126
6,2.272419,0.136783,2.255278,0.123500,127
9,2.276459,0.125751,2.249121,0.162300,128
7,2.274760,0.133763,2.253696,0.177800,129
10,2.272524,0.132016,2.250302,0.181700,130
14,2.268703,0.134430,2.253173,0.125900,131
13,2.266679,0.143717,2.249575,0.145700,132
12,2.267283,0.148148,2.253799,0.150900,133
11,2.274108,0.129850,2.244363,0.189500,134
17,2.273148,0.120095,2.242749,0.186200,135
16,2.267281,0.140543,2.244832,0.187200,136
18,2.268069,0.153722,2.248340,0.161300,137
15,2.267641,0.137848,2.252658,0.145600,138
19,2.271478,0.143257,2.243395,0.167700,139
1,2.271912,0.142288,2.242403,0.156200,140
0,2.272096,0.142972,2.243632,0.161100,141
3,2.266676,0.148193,2.250095,0.161000,142
2,2.270676,0.135634,2.255197,0.168200,143
4,2.269317,0.150180,2.250052,0.173700,144
8,2.266127,0.149499,2.241027,0.147900,145
7,2.270774,0.153505,2.251069,0.172200,146
6,2.269724,0.153229,2.238282,0.192600,147
9,2.269991,0.133360,2.246789,0.200200,148
5,2.270816,0.152536,2.240697,0.178600,149
12,2.263092,0.141707,2.248976,0.151500,150
13,2.266862,0.144119,2.246145,0.129300,151
10,2.266210,0.148221,2.241485,0.182500,152
11,2.270754,0.142518,2.244109,0.168000,153
14,2.263458,0.133226,2.247809,0.152900,154
15,2.260879,0.145103,2.263140,0.129300,155
17,2.266788,0.149425,2.236735,0.139700,156
16,2.261655,0.149453,2.242047,0.195900,157
18,2.264995,0.150890,2.232673,0.184400,158
19,2.267809,0.149660,2.238735,0.195500,159
4,2.267247,0.142571,2.247790,0.172400,160
1,2.264886,0.143483,2.252300,0.145800,161
2,2.266164,0.142456,2.242638,0.186400,162
3,2.264445,0.149005,2.238054,0.127500,163
0,2.266237,0.149416,2.242446,0.129100,164
7,2.268566,0.153102,2.246522,0.152800,165
8,2.261761,0.140681,2.239270,0.190200,166
6,2.264488,0.149218,2.241946,0.177700,167
