total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,48.895
0,0.000000,0.000000,2.451780,0.121400,60.923
5,1.575351,0.544609,2.420104,0.121000,64.782
5,0.000000,0.000000,2.420104,0.121000,67.385
5,0.000000,0.000000,2.420104,0.121000,98.534
5,0.000000,0.000000,2.420104,0.121000,115.038
10,1.139130,0.790600,2.387040,0.119700,119.011
10,0.000000,0.000000,2.387040,0.119700,121.580
10,0.000000,0.000000,2.387040,0.119700,153.695
10,0.000000,0.000000,2.387040,0.119700,163.903
10,0.000000,0.000000,2.387040,0.119700,166.480
15,1.304474,0.703580,2.374416,0.121600,169.940
15,0.000000,0.000000,2.374416,0.121600,172.545
15,0.000000,0.000000,2.374416,0.121600,204.170
15,0.000000,0.000000,2.374416,0.121600,216.735
15,0.000000,0.000000,2.374416,0.121600,219.393
20,1.543166,0.547864,2.355883,0.124200,222.948
20,0.000000,0.000000,2.355883,0.124200,225.512
20,0.000000,0.000000,2.355883,0.124200,254.521
20,0.000000,0.000000,2.355883,0.124200,268.974
25,1.544296,0.563727,2.351852,0.124500,272.473
25,0.000000,0.000000,2.351852,0.124500,275.064
25,0.000000,0.000000,2.351852,0.124500,305.060
25,0.000000,0.000000,2.351852,0.124500,323.526
30,1.107569,0.815378,2.348538,0.126000,327.111
30,0.000000,0.000000,2.348538,0.126000,329.708
30,0.000000,0.000000,2.348538,0.126000,360.700
30,0.000000,0.000000,2.348538,0.126000,371.056
35,1.333297,0.704119,2.349240,0.126100,374.593
35,0.000000,0.000000,2.349240,0.126100,377.193
35,0.000000,0.000000,2.349240,0.126100,408.097
35,0.000000,0.000000,2.349240,0.126100,421.827
39,1.563125,0.517287,2.347565,0.126200,425.376
40,1.536970,0.553735,2.345689,0.126500,428.144
40,0.000000,0.000000,2.345689,0.126500,451.649
40,0.000000,0.000000,2.345689,0.126500,470.879
44,1.523328,0.567936,2.342912,0.126800,474.628
45,2.239975,0.251553,2.342865,0.126800,477.402
45,0.000000,0.000000,2.342865,0.126800,501.137
45,0.000000,0.000000,2.342865,0.126800,524.360
49,1.076052,0.824735,2.339843,0.126900,527.861
50,1.737725,0.617925,2.339750,0.126900,530.766
50,0.000000,0.000000,2.339750,0.126900,553.092
50,0.000000,0.000000,2.339750,0.126900,569.729
