total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,44.233
0,0.000000,0.000000,2.451780,0.121400,64.772
3,2.312925,0.119829,2.296314,0.119900,67.920
4,2.308766,0.123641,2.292849,0.117400,86.832
5,2.305254,0.125201,2.291235,0.121100,99.892
5,0.000000,0.000000,2.291235,0.121100,103.836
8,2.263010,0.157446,2.251576,0.164400,110.335
9,2.261614,0.162455,2.245589,0.174000,130.316
10,2.239593,0.187024,2.229220,0.180700,142.842
12,2.239071,0.177611,2.213163,0.186500,151.150
14,2.220206,0.189347,2.195208,0.193600,159.231
14,0.000000,0.000000,2.195208,0.193600,163.246
16,2.210622,0.193445,2.176166,0.200600,169.729
16,0.000000,0.000000,2.176166,0.200600,195.983
17,2.192722,0.193601,2.161218,0.208000,207.403
21,2.191186,0.203039,2.130292,0.211400,214.127
22,2.169077,0.210653,2.105211,0.221100,241.866
22,0.000000,0.000000,2.105211,0.221100,256.391
25,2.139564,0.221821,2.047211,0.245300,260.424
27,2.137700,0.215710,2.034204,0.255900,272.150
27,0.000000,0.000000,2.034204,0.255900,295.169
29,2.089409,0.242382,2.001437,0.258600,304.215
31,2.096303,0.226661,2.002113,0.247900,310.422
33,2.077330,0.242775,1.977615,0.257100,323.128
33,0.000000,0.000000,1.977615,0.257100,347.157
35,2.054713,0.256787,1.953554,0.278400,359.874
37,2.055787,0.255009,1.956865,0.276500,368.455
39,2.062776,0.252734,1.933753,0.285700,382.434
40,2.052669,0.249502,1.923259,0.296200,399.401
42,2.023185,0.276892,1.914481,0.280900,410.072
44,2.017368,0.273923,1.908734,0.281500,424.053
45,2.011240,0.263500,1.896373,0.294100,440.211
47,2.002298,0.281772,1.895769,0.289500,446.610
49,2.001931,0.275461,1.879291,0.306000,460.036
49,0.000000,0.000000,1.879291,0.306000,483.244
51,2.005181,0.277254,1.876786,0.317700,490.916
54,1.988646,0.292316,1.861734,0.307200,517.138
54,0.000000,0.000000,1.861734,0.307200,531.951
58,1.981993,0.288284,1.846736,0.308400,535.839
59,1.989095,0.290916,1.842081,0.310000,554.745
59,0.000000,0.000000,1.842081,0.310000,573.674
61,1.970281,0.297643,1.818897,0.336300,579.536
64,1.964895,0.294867,1.824855,0.322400,590.912
64,0.000000,0.000000,1.824855,0.322400,616.503
66,1.952647,0.305966,1.808122,0.330000,623.686
68,1.960009,0.304540,1.805225,0.334700,635.837
69,1.941135,0.300040,1.808986,0.334800,652.308
71,1.955811,0.309376,1.783843,0.346600,662.959
72,1.944830,0.322644,1.785568,0.347800,677.327
74,1.934864,0.317881,1.798302,0.344400,683.114
75,1.935768,0.310762,1.844528,0.312600,701.912
76,1.936821,0.312272,1.805345,0.334400,715.861
78,1.951016,0.300141,1.767842,0.346000,724.220
80,1.947108,0.307204,1.788238,0.332000,738.694
81,1.923464,0.339608,1.770322,0.349300,754.450
81,0.000000,0.000000,1.770322,0.349300,760.544
84,1.922264,0.317151,1.748632,0.361200,763.660
85,1.923913,0.325213,1.758003,0.347100,775.179
85,0.000000,0.000000,1.758003,0.347100,797.690
87,1.914946,0.324068,1.737228,0.369300,807.101
89,1.921823,0.328982,1.786981,0.346900,819.529
90,1.921518,0.317288,1.787567,0.339600,824.873
92,1.931074,0.319530,1.737437,0.368000,850.327
92,0.000000,0.000000,1.737437,0.368000,866.564
95,1.899171,0.335842,1.788784,0.329300,874.427
96,1.912227,0.313804,1.768720,0.348300,889.403
98,1.926216,0.314424,1.719801,0.379900,905.693
99,1.911782,0.339179,1.716180,0.375000,916.313
