client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
2,2.373467,0.118012,2.327508,0.116800,0
0,1.435168,0.694036,2.522782,0.100000,1
3,1.471778,0.544022,2.655827,0.133000,2
1,1.527948,0.597267,2.985471,0.101000,3
4,1.649335,0.467847,2.873275,0.100100,4
7,1.515469,0.599057,2.753444,0.100000,5
5,1.079131,0.793857,3.337865,0.100000,6
8,1.168106,0.730096,3.429406,0.103600,7
6,1.304606,0.698159,3.176453,0.100100,8
9,0.823002,0.885057,3.509170,0.100000,9
12,1.980263,0.352882,2.779485,0.100000,10
11,1.153732,0.728034,3.505857,0.127000,11
10,1.318950,0.701079,3.527600,0.100000,12
13,1.968831,0.341477,2.773928,0.104500,13
14,3.129062,0.000000,2.415950,0.100000,14
16,2.844080,0.010471,2.394637,0.102200,15
15,1.654742,0.474553,3.012170,0.100000,16
17,1.503766,0.521546,3.209230,0.150300,17
18,1.490818,0.554787,3.051210,0.101200,18
2,1.813949,0.276398,2.790432,0.100100,19
19,1.599377,0.589083,2.898425,0.111200,20
1,1.405938,0.616026,3.119502,0.122200,21
4,1.510636,0.501172,2.857279,0.149700,22
0,1.529818,0.556933,3.161048,0.111300,23
7,1.084109,0.877358,3.326412,0.100000,24
5,0.837534,0.876821,3.342219,0.100100,25
3,1.354893,0.619565,3.190119,0.160800,26
8,1.071217,0.760936,3.587339,0.118200,27
9,0.868697,0.872845,3.416808,0.100000,28
6,1.155373,0.736971,3.320791,0.100200,29
11,1.094905,0.749285,3.691273,0.109800,30
12,1.583456,0.516684,3.147513,0.100000,31
10,0.927675,0.863636,4.092423,0.100000,32
14,2.697491,0.027397,2.293965,0.125900,33
13,1.660026,0.434758,3.283113,0.104300,34
16,2.818727,0.010471,2.335877,0.107300,35
15,1.310662,0.702889,3.888231,0.100000,36
17,1.394516,0.575744,3.291933,0.168200,37
2,1.262502,0.667702,3.263501,0.100900,38
18,1.399212,0.567113,2.837465,0.164000,39
19,1.564738,0.541319,3.494772,0.130400,40
4,1.514542,0.495184,2.805057,0.153600,41
1,1.402927,0.606762,3.233747,0.121300,42
0,1.344919,0.658404,3.023042,0.162900,43
3,1.263574,0.667935,3.448402,0.170400,44
5,0.876367,0.861938,3.683222,0.100900,45
7,2.069646,0.345912,3.215424,0.100000,46
8,0.973353,0.798556,3.506083,0.118100,47
12,1.536540,0.554095,2.882446,0.105200,48
9,0.830099,0.896911,3.384203,0.100000,49
11,0.956152,0.803024,3.553763,0.138100,50
6,1.129337,0.752273,3.058458,0.130900,51
14,2.385025,0.089041,2.392541,0.106600,52
13,1.490425,0.504720,3.345423,0.122100,53
15,1.187101,0.795048,3.613084,0.100000,54
10,0.878334,0.873652,3.679914,0.100000,55
16,2.266284,0.172775,2.159931,0.169100,56
17,1.327210,0.603732,3.016644,0.192000,57
2,1.459255,0.506211,3.382303,0.100200,58
18,1.393519,0.552984,2.744279,0.193200,59
19,1.375884,0.617134,3.141071,0.165200,60
1,1.296904,0.646364,3.334784,0.151000,61
4,1.435792,0.534236,2.870962,0.145900,62
0,1.292020,0.676220,2.702732,0.168200,63
5,0.804660,0.907536,2.976032,0.129100,64
8,1.023199,0.786308,3.267904,0.162100,65
3,1.237007,0.680978,3.235629,0.171000,66
7,1.115773,0.822327,2.903603,0.100400,67
12,1.432903,0.613751,3.383863,0.100600,68
9,0.800035,0.897270,3.566413,0.100000,69
6,1.088330,0.771790,3.072352,0.150900,70
11,0.946093,0.809767,3.039364,0.180500,71
14,2.351085,0.106164,2.404799,0.100600,72
15,1.447213,0.635488,3.523985,0.100000,73
13,1.557640,0.438090,2.893946,0.145400,74
17,1.298128,0.620613,3.206452,0.187100,75
2,1.302402,0.636646,3.191296,0.142100,76
10,0.861916,0.902157,3.310316,0.100100,77
16,2.399326,0.099476,2.087296,0.188700,78
18,1.349549,0.578987,2.670441,0.202900,79
19,1.385837,0.632297,3.052299,0.167700,80
1,1.272723,0.660954,2.770453,0.210300,81
0,1.239916,0.704105,2.824356,0.171500,82
5,0.804757,0.907536,2.988017,0.135500,83
4,1.425705,0.542567,2.742177,0.153400,84
8,0.995108,0.795494,3.076910,0.164200,85
7,1.007542,0.860063,3.619130,0.100300,86
12,1.366106,0.631951,3.233587,0.104700,87
3,1.125098,0.734783,3.374747,0.166900,88
9,0.778712,0.905891,3.514805,0.100000,89
6,1.113667,0.757374,2.725789,0.156700,90
11,0.935740,0.806906,3.181154,0.160600,91
15,1.482105,0.621733,3.452476,0.100000,92
14,2.466470,0.113014,2.230139,0.147400,93
13,1.585559,0.465852,2.883182,0.189200,94
2,2.097418,0.248447,2.505940,0.138800,95
17,1.311786,0.606397,3.012951,0.185000,96
16,2.314644,0.089005,2.139195,0.202600,97
10,1.055312,0.799692,3.459697,0.100000,98
18,1.335940,0.581993,2.820254,0.198500,99
