client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
3,1.883479,0.398596,3.925761,0.100000,0
2,1.586323,0.359081,9.818055,0.100000,1
0,1.738653,0.368641,5.330372,0.100000,1
1,1.585928,0.517368,2.603321,0.100000,1
4,1.653008,0.345522,7.668223,0.145000,1
2,0.000000,0.000000,9.818055,0.100000,1
3,0.000000,0.000000,3.925761,0.100000,2
4,0.000000,0.000000,7.668223,0.145000,2
0,0.000000,0.000000,5.330372,0.100000,2
1,0.000000,0.000000,2.603321,0.100000,2
5,0.000000,0.000000,7.073313,0.100000,2
7,0.000000,0.000000,8.601146,0.100000,3
8,2.128606,0.294567,2.307932,0.100000,3
6,2.246782,0.173540,2.302817,0.100400,3
9,2.178928,0.215090,2.682222,0.161500,3
3,0.000000,0.000000,3.925761,0.100000,3
2,0.000000,0.000000,9.818055,0.100000,4
0,0.000000,0.000000,5.330372,0.100000,4
4,0.000000,0.000000,7.668223,0.145000,4
1,0.000000,0.000000,2.603321,0.100000,4
5,0.000000,0.000000,7.073313,0.100000,4
