total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
1,2.156706120763342,0.1941200161095449,2.399116795349121,0.1178,1764486155.5044138
2,2.169797837749696,0.19788956229538418,2.361439766693115,0.1137,1764486189.475264
3,2.1457173681112174,0.2041432879065319,2.3338706848144533,0.1197,1764486205.856629
4,2.1425891066034652,0.21243523316062177,2.313500146484375,0.1321,1764486230.912118
5,2.126308402408028,0.21592743686331772,2.2984020893096924,0.1412,1764486245.262159
6,2.1084972637774144,0.2098268223922674,2.287323699951172,0.1485,1764486259.992157
7,2.102886727569828,0.2250085471142925,2.2791252906799317,0.1547,1764486279.154262
8,2.085187683518779,0.22431781701444622,2.2720364532470705,0.1597,1764486293.3581288
9,2.0838294556405934,0.23063121855422034,2.2664023536682127,0.1624,1764486310.6177778
10,2.0612175766078904,0.24573919936583433,2.2614478019714355,0.1572,1764486327.177024
