time_sec,round,test_acc,updates_per_sec,tau_bin_0,tau_bin_1,tau_bin_2,tau_bin_3,tau_bin_4,tau_bin_5,tau_bin_6_10,tau_bin_11_20,tau_bin_21p,align_mean,fairness_gini,method,alpha,K,timeout,m,seed
11.625,20,0.100000,1.720433,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1
15.334,20,0.100000,1.304332,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1
20.355,20,0.100000,0.982557,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1
26.730,23,0.100000,0.860457,1,3,1,0,0,0,0,0,0,NaN,0.394439,FedBuff,0.100000,8,0.500000,10,1
30.367,23,0.100000,0.757395,0,0,0,0,0,0,0,0,0,NaN,0.394439,FedBuff,0.100000,8,0.500000,10,1
35.357,23,0.100000,0.650510,0,0,0,0,0,0,0,0,0,NaN,0.394439,FedBuff,0.100000,8,0.500000,10,1
41.280,26,0.100000,0.629851,0,0,2,3,0,0,0,0,0,NaN,0.383233,FedBuff,0.100000,8,0.500000,10,1
45.383,26,0.100000,0.572907,0,0,0,0,0,0,0,0,0,NaN,0.383233,FedBuff,0.100000,8,0.500000,10,1
50.670,29,0.100000,0.572332,0,0,3,1,0,0,0,0,0,NaN,0.336154,FedBuff,0.100000,8,0.500000,10,1
55.482,30,0.100000,0.540720,0,0,0,0,0,1,0,0,0,NaN,0.373215,FedBuff,0.100000,8,0.500000,10,1
60.921,34,0.100000,0.558096,0,0,0,2,2,0,0,0,0,NaN,0.251377,FedBuff,0.100000,8,0.500000,10,1
65.482,35,0.100000,0.534499,0,0,0,0,1,0,0,0,0,NaN,0.203421,FedBuff,0.100000,8,0.500000,10,1
71.135,39,0.100000,0.548252,0,0,0,0,4,0,0,0,0,NaN,0.183839,FedBuff,0.100000,8,0.500000,10,1
75.403,40,0.100000,0.530484,0,0,0,0,1,0,0,0,0,NaN,0.211917,FedBuff,0.100000,8,0.500000,10,1
