time_sec,round,test_acc,updates_per_sec,tau_bin_0,tau_bin_1,tau_bin_2,tau_bin_3,tau_bin_4,tau_bin_5,tau_bin_6_10,tau_bin_11_20,tau_bin_21p,align_mean,fairness_gini,method,alpha,K,timeout,m,seed,strag_frac
10.339,300,0.100700,29.015192,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
11.918,300,0.100700,25.171588,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
14.432,300,0.100700,20.786657,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
17.396,300,0.100700,17.245680,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
19.491,300,0.100700,15.391845,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
20.189,300,0.100700,14.859854,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
20.864,300,0.100700,14.379142,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
21.530,300,0.100700,13.934036,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
22.213,300,0.100700,13.505593,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
22.888,300,0.100700,13.107206,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
23.564,300,0.100700,12.731487,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
24.232,300,0.100700,12.380094,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
24.912,300,0.100700,12.042305,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
25.582,300,0.100700,11.727217,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
26.251,300,0.100700,11.428194,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
26.925,300,0.100700,11.142182,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
27.619,300,0.100700,10.861933,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,10.000000,8,0.500000,20,1,0.300000
