time_sec,round,test_acc,updates_per_sec,tau_bin_0,tau_bin_1,tau_bin_2,tau_bin_3,tau_bin_4,tau_bin_5,tau_bin_6_10,tau_bin_11_20,tau_bin_21p,align_mean,fairness_gini,method,alpha,K,timeout,m,seed,strag_frac
10.494,300,0.100000,28.587678,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
12.055,300,0.100000,24.886879,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
14.553,300,0.100000,20.613661,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
17.390,300,0.100000,17.251018,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
19.640,300,0.100000,15.275321,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
20.351,300,0.100000,14.740943,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
21.031,300,0.100000,14.264828,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
21.713,300,0.100000,13.816634,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
22.397,300,0.100000,13.394524,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
23.066,300,0.100000,13.006408,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
23.745,300,0.100000,12.634172,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
24.409,300,0.100000,12.290787,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
25.087,300,0.100000,11.958489,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
25.757,300,0.100000,11.647508,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
26.429,300,0.100000,11.351143,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
27.102,300,0.100000,11.069479,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.000000
