[env] python=3.13.7 torch=2.9.0 mps=True cuda=False
[epoch 1/100] train_loss=2.292041 val_acc=0.161400 test_acc=0.163900
[epoch 2/100] train_loss=2.209558 val_acc=0.174600 test_acc=0.179500
[epoch 3/100] train_loss=2.114992 val_acc=0.231300 test_acc=0.226900
[epoch 4/100] train_loss=2.042742 val_acc=0.275400 test_acc=0.277600
[epoch 5/100] train_loss=1.945386 val_acc=0.285800 test_acc=0.283700
[epoch 6/100] train_loss=1.889887 val_acc=0.340900 test_acc=0.344000
[epoch 7/100] train_loss=1.845399 val_acc=0.395100 test_acc=0.394800
[epoch 8/100] train_loss=1.805803 val_acc=0.435700 test_acc=0.429400
[epoch 9/100] train_loss=1.774498 val_acc=0.427100 test_acc=0.422000
[epoch 10/100] train_loss=1.745078 val_acc=0.452800 test_acc=0.442600
[epoch 11/100] train_loss=1.708263 val_acc=0.445900 test_acc=0.439600
[epoch 12/100] train_loss=1.676261 val_acc=0.507000 test_acc=0.502500
[epoch 13/100] train_loss=1.632374 val_acc=0.505100 test_acc=0.504800
[epoch 14/100] train_loss=1.646743 val_acc=0.468700 test_acc=0.457000
[epoch 15/100] train_loss=1.611503 val_acc=0.530000 test_acc=0.533400
[epoch 16/100] train_loss=1.593698 val_acc=0.543200 test_acc=0.540800
[epoch 17/100] train_loss=1.574145 val_acc=0.554700 test_acc=0.553600
[epoch 18/100] train_loss=1.568157 val_acc=0.489700 test_acc=0.492500
[epoch 19/100] train_loss=1.566873 val_acc=0.584400 test_acc=0.576800
[epoch 20/100] train_loss=1.531092 val_acc=0.563000 test_acc=0.553500
[epoch 21/100] train_loss=1.534088 val_acc=0.526900 test_acc=0.523800
[epoch 22/100] train_loss=1.513728 val_acc=0.601800 test_acc=0.593400
[epoch 23/100] train_loss=1.499919 val_acc=0.595100 test_acc=0.586900
[epoch 24/100] train_loss=1.496069 val_acc=0.602600 test_acc=0.599300
[epoch 25/100] train_loss=1.485262 val_acc=0.622000 test_acc=0.616800
[epoch 26/100] train_loss=1.481149 val_acc=0.612800 test_acc=0.609300
[epoch 27/100] train_loss=1.475321 val_acc=0.592500 test_acc=0.588100
[epoch 28/100] train_loss=1.469463 val_acc=0.623700 test_acc=0.618600
[epoch 29/100] train_loss=1.465776 val_acc=0.617300 test_acc=0.625600
[epoch 30/100] train_loss=1.453729 val_acc=0.597500 test_acc=0.598400
[epoch 31/100] train_loss=1.429473 val_acc=0.634700 test_acc=0.633400
[epoch 32/100] train_loss=1.449074 val_acc=0.619200 test_acc=0.621700
[epoch 33/100] train_loss=1.422623 val_acc=0.652700 test_acc=0.643100
[epoch 34/100] train_loss=1.416130 val_acc=0.634200 test_acc=0.638000
[epoch 35/100] train_loss=1.418181 val_acc=0.638100 test_acc=0.632200
[epoch 36/100] train_loss=1.411046 val_acc=0.612900 test_acc=0.609900
[epoch 37/100] train_loss=1.400027 val_acc=0.655500 test_acc=0.656400
[epoch 38/100] train_loss=1.401208 val_acc=0.597900 test_acc=0.600400
[epoch 39/100] train_loss=1.395022 val_acc=0.627500 test_acc=0.622600
[epoch 40/100] train_loss=1.382496 val_acc=0.625800 test_acc=0.619500
[epoch 41/100] train_loss=1.375854 val_acc=0.641700 test_acc=0.630300
[epoch 42/100] train_loss=1.362224 val_acc=0.674200 test_acc=0.670500
[epoch 43/100] train_loss=1.366618 val_acc=0.663800 test_acc=0.659000
[epoch 44/100] train_loss=1.367564 val_acc=0.650300 test_acc=0.650900
[epoch 45/100] train_loss=1.366759 val_acc=0.652300 test_acc=0.646100
[epoch 46/100] train_loss=1.352864 val_acc=0.651500 test_acc=0.654000
[epoch 47/100] train_loss=1.358434 val_acc=0.681900 test_acc=0.675400
[epoch 48/100] train_loss=1.348271 val_acc=0.649500 test_acc=0.653200
[epoch 49/100] train_loss=1.348536 val_acc=0.679500 test_acc=0.679100
[epoch 50/100] train_loss=1.343507 val_acc=0.696600 test_acc=0.698300
[epoch 51/100] train_loss=1.330515 val_acc=0.665500 test_acc=0.667000
[epoch 52/100] train_loss=1.344278 val_acc=0.695200 test_acc=0.694700
[epoch 53/100] train_loss=1.338516 val_acc=0.672700 test_acc=0.676300
[epoch 54/100] train_loss=1.330955 val_acc=0.661000 test_acc=0.670700
[epoch 55/100] train_loss=1.330185 val_acc=0.689700 test_acc=0.691500
[epoch 56/100] train_loss=1.328303 val_acc=0.683100 test_acc=0.684000
[epoch 57/100] train_loss=1.311295 val_acc=0.673300 test_acc=0.672400
[epoch 58/100] train_loss=1.319234 val_acc=0.687600 test_acc=0.682800
[epoch 59/100] train_loss=1.318278 val_acc=0.654000 test_acc=0.652100
[epoch 60/100] train_loss=1.321479 val_acc=0.680600 test_acc=0.680700
[epoch 61/100] train_loss=1.163605 val_acc=0.749500 test_acc=0.757000
[epoch 62/100] train_loss=1.125156 val_acc=0.758900 test_acc=0.755900
[epoch 63/100] train_loss=1.105412 val_acc=0.759500 test_acc=0.756100
[epoch 64/100] train_loss=1.096934 val_acc=0.759800 test_acc=0.760400
[epoch 65/100] train_loss=1.089898 val_acc=0.758000 test_acc=0.757200
[epoch 66/100] train_loss=1.091786 val_acc=0.769100 test_acc=0.767000
