total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451771,0.121500,9.800
0,0.000000,0.000000,2.451771,0.121500,26.619
0,0.000000,0.000000,2.451771,0.121500,42.668
0,0.000000,0.000000,2.451771,0.121500,57.228
0,0.000000,0.000000,2.451771,0.121500,70.627
0,0.000000,0.000000,2.451771,0.121500,86.733
0,0.000000,0.000000,2.451771,0.121500,102.309
0,0.000000,0.000000,2.451771,0.121500,117.224
0,0.000000,0.000000,2.451771,0.121500,132.753
0,0.000000,0.000000,2.451771,0.121500,147.649
0,0.000000,0.000000,2.451771,0.121500,163.655
0,0.000000,0.000000,2.451771,0.121500,177.239
0,0.000000,0.000000,2.451771,0.121500,190.532
1,1.462923,0.552592,2.242356,0.225500,204.549
1,0.000000,0.000000,2.242356,0.225500,217.723
1,0.000000,0.000000,2.242356,0.225500,231.186
1,0.000000,0.000000,2.242356,0.225500,244.760
1,0.000000,0.000000,2.242356,0.225500,257.375
1,0.000000,0.000000,2.242356,0.225500,269.381
2,1.578658,0.506119,2.313221,0.105400,281.855
3,1.612819,0.457077,2.379702,0.136300,290.184
4,1.405174,0.570279,2.375809,0.161200,301.234
5,1.444511,0.574411,2.084842,0.238700,314.504
5,0.000000,0.000000,2.084842,0.238700,327.873
5,0.000000,0.000000,2.084842,0.238700,342.767
5,0.000000,0.000000,2.084842,0.238700,354.613
5,0.000000,0.000000,2.084842,0.238700,368.174
5,0.000000,0.000000,2.084842,0.238700,380.923
5,0.000000,0.000000,2.084842,0.238700,394.737
5,0.000000,0.000000,2.084842,0.238700,408.384
5,0.000000,0.000000,2.084842,0.238700,422.153
5,0.000000,0.000000,2.084842,0.238700,435.478
6,1.197074,0.659715,2.190433,0.256600,449.634
6,0.000000,0.000000,2.190433,0.256600,463.239
6,0.000000,0.000000,2.190433,0.256600,477.492
6,0.000000,0.000000,2.190433,0.256600,491.432
6,0.000000,0.000000,2.190433,0.256600,504.490
7,1.503273,0.532806,1.873430,0.282100,517.576
7,0.000000,0.000000,1.873430,0.282100,528.321
8,1.237905,0.676007,1.814825,0.335600,541.192
9,1.420320,0.592254,1.786554,0.333500,552.874
9,0.000000,0.000000,1.786554,0.333500,566.412
10,1.184067,0.692391,1.923226,0.318100,583.020
10,0.000000,0.000000,1.923226,0.318100,598.444
10,0.000000,0.000000,1.923226,0.318100,612.801
10,0.000000,0.000000,1.923226,0.318100,627.935
11,1.383090,0.586563,1.846018,0.329300,643.940
11,0.000000,0.000000,1.846018,0.329300,659.864
11,0.000000,0.000000,1.846018,0.329300,676.884
11,0.000000,0.000000,1.846018,0.329300,692.210
11,0.000000,0.000000,1.846018,0.329300,706.622
12,1.522624,0.541174,1.665462,0.366300,722.925
12,0.000000,0.000000,1.665462,0.366300,738.281
12,0.000000,0.000000,1.665462,0.366300,752.081
12,0.000000,0.000000,1.665462,0.366300,764.240
13,1.216207,0.654120,1.866731,0.284100,777.791
14,1.538112,0.487220,1.811711,0.333900,789.574
15,1.309721,0.620625,1.846984,0.325200,801.647
15,0.000000,0.000000,1.846984,0.325200,815.676
16,1.356953,0.616700,1.584558,0.403400,832.582
16,0.000000,0.000000,1.584558,0.403400,847.132
16,0.000000,0.000000,1.584558,0.403400,862.695
16,0.000000,0.000000,1.584558,0.403400,878.076
17,1.495085,0.542179,1.625180,0.398500,894.884
17,0.000000,0.000000,1.625180,0.398500,910.521
17,0.000000,0.000000,1.625180,0.398500,928.208
17,0.000000,0.000000,1.625180,0.398500,945.966
17,0.000000,0.000000,1.625180,0.398500,963.983
17,0.000000,0.000000,1.625180,0.398500,980.393
17,0.000000,0.000000,1.625180,0.398500,994.789
17,0.000000,0.000000,1.625180,0.398500,1007.525
18,1.383854,0.603178,1.598079,0.422500,1022.312
19,1.313602,0.632612,1.693985,0.392800,1037.222
19,0.000000,0.000000,1.693985,0.392800,1050.455
19,0.000000,0.000000,1.693985,0.392800,1064.385
19,0.000000,0.000000,1.693985,0.392800,1078.210
21,1.211278,0.683092,1.642299,0.394400,1091.350
21,0.000000,0.000000,1.642299,0.394400,1102.551
21,0.000000,0.000000,1.642299,0.394400,1115.251
22,1.437012,0.573947,1.630741,0.366700,1129.958
23,1.171831,0.664802,1.674074,0.358600,1144.583
23,0.000000,0.000000,1.674074,0.358600,1160.710
23,0.000000,0.000000,1.674074,0.358600,1177.823
23,0.000000,0.000000,1.674074,0.358600,1195.099
23,0.000000,0.000000,1.674074,0.358600,1212.441
23,0.000000,0.000000,1.674074,0.358600,1230.678
23,0.000000,0.000000,1.674074,0.358600,1246.231
23,0.000000,0.000000,1.674074,0.358600,1261.413
24,1.471903,0.527411,1.676044,0.370300,1277.267
24,0.000000,0.000000,1.676044,0.370300,1290.621
24,0.000000,0.000000,1.676044,0.370300,1303.176
25,1.405944,0.591681,1.560088,0.436800,1315.375
26,1.257159,0.640277,1.616860,0.390600,1327.648
27,1.293877,0.648191,1.471499,0.453300,1340.136
27,0.000000,0.000000,1.471499,0.453300,1353.704
28,1.340624,0.621053,1.435062,0.473000,1370.146
28,0.000000,0.000000,1.435062,0.473000,1386.069
28,0.000000,0.000000,1.435062,0.473000,1403.335
28,0.000000,0.000000,1.435062,0.473000,1419.504
28,0.000000,0.000000,1.435062,0.473000,1434.202
28,0.000000,0.000000,1.435062,0.473000,1450.174
29,1.269266,0.644690,1.459396,0.472400,1465.689
29,0.000000,0.000000,1.459396,0.472400,1479.082
29,0.000000,0.000000,1.459396,0.472400,1494.940
30,1.144247,0.675483,1.736597,0.338800,1512.072
30,0.000000,0.000000,1.736597,0.338800,1526.458
30,0.000000,0.000000,1.736597,0.338800,1541.899
30,0.000000,0.000000,1.736597,0.338800,1557.333
31,1.422080,0.579133,1.539017,0.424000,1571.893
31,0.000000,0.000000,1.539017,0.424000,1585.541
31,0.000000,0.000000,1.539017,0.424000,1599.176
32,1.114957,0.726124,1.455769,0.456600,1613.747
33,1.130960,0.725401,1.522731,0.439300,1628.564
33,0.000000,0.000000,1.522731,0.439300,1643.410
33,0.000000,0.000000,1.522731,0.439300,1658.774
33,0.000000,0.000000,1.522731,0.439300,1673.251
34,1.364086,0.611599,1.420550,0.490300,1687.435
34,0.000000,0.000000,1.420550,0.490300,1701.228
35,1.440611,0.547153,1.467391,0.465300,1717.658
35,0.000000,0.000000,1.467391,0.465300,1733.544
35,0.000000,0.000000,1.467391,0.465300,1750.321
35,0.000000,0.000000,1.467391,0.465300,1766.884
35,0.000000,0.000000,1.467391,0.465300,1781.160
35,0.000000,0.000000,1.467391,0.465300,1796.253
36,1.216958,0.665169,1.433879,0.452900,1811.401
36,0.000000,0.000000,1.433879,0.452900,1824.513
36,0.000000,0.000000,1.433879,0.452900,1839.134
37,1.115746,0.697355,1.703487,0.367700,1849.769
38,1.233139,0.666727,1.488125,0.456000,1860.978
39,1.274790,0.654419,1.342655,0.510000,1873.217
40,1.212417,0.674635,1.386305,0.494900,1887.853
40,0.000000,0.000000,1.386305,0.494900,1903.480
40,0.000000,0.000000,1.386305,0.494900,1920.633
40,0.000000,0.000000,1.386305,0.494900,1938.332
40,0.000000,0.000000,1.386305,0.494900,1954.668
40,0.000000,0.000000,1.386305,0.494900,1969.698
40,0.000000,0.000000,1.386305,0.494900,1985.726
41,1.337771,0.609210,1.292526,0.534000,2002.624
41,0.000000,0.000000,1.292526,0.534000,2017.695
41,0.000000,0.000000,1.292526,0.534000,2032.135
41,0.000000,0.000000,1.292526,0.534000,2047.763
42,1.344541,0.613650,1.330113,0.514200,2064.244
42,0.000000,0.000000,1.330113,0.514200,2079.027
42,0.000000,0.000000,1.330113,0.514200,2092.985
42,0.000000,0.000000,1.330113,0.514200,2108.616
43,1.069959,0.747998,1.472156,0.462500,2122.566
43,0.000000,0.000000,1.472156,0.462500,2136.413
44,1.409393,0.557377,1.374305,0.488400,2151.380
44,0.000000,0.000000,1.374305,0.488400,2163.429
45,1.102982,0.741692,1.421824,0.476400,2178.263
46,1.091091,0.721770,1.483571,0.429900,2192.890
46,0.000000,0.000000,1.483571,0.429900,2207.817
46,0.000000,0.000000,1.483571,0.429900,2221.826
47,1.174348,0.684634,1.554394,0.437900,2238.639
47,0.000000,0.000000,1.554394,0.437900,2254.208
47,0.000000,0.000000,1.554394,0.437900,2271.222
47,0.000000,0.000000,1.554394,0.437900,2287.345
47,0.000000,0.000000,1.554394,0.437900,2305.350
47,0.000000,0.000000,1.554394,0.437900,2323.372
47,0.000000,0.000000,1.554394,0.437900,2338.519
47,0.000000,0.000000,1.554394,0.437900,2350.473
48,1.191617,0.697499,1.347695,0.505800,2364.585
48,0.000000,0.000000,1.347695,0.505800,2374.641
50,1.205482,0.682096,1.418165,0.493200,2388.624
50,0.000000,0.000000,1.418165,0.493200,2397.866
52,1.312496,0.631573,1.297075,0.524800,2413.711
52,0.000000,0.000000,1.297075,0.524800,2427.788
52,0.000000,0.000000,1.297075,0.524800,2444.675
52,0.000000,0.000000,1.297075,0.524800,2461.616
52,0.000000,0.000000,1.297075,0.524800,2479.182
52,0.000000,0.000000,1.297075,0.524800,2497.094
52,0.000000,0.000000,1.297075,0.524800,2512.965
52,0.000000,0.000000,1.297075,0.524800,2528.243
52,0.000000,0.000000,1.297075,0.524800,2543.719
53,1.080216,0.704476,1.569162,0.411200,2560.221
53,0.000000,0.000000,1.569162,0.411200,2574.826
53,0.000000,0.000000,1.569162,0.411200,2589.578
53,0.000000,0.000000,1.569162,0.411200,2603.555
54,1.038932,0.762477,1.319269,0.521400,2618.392
54,0.000000,0.000000,1.319269,0.521400,2629.932
55,1.377885,0.576943,1.347546,0.515000,2644.455
56,1.131281,0.712334,1.324900,0.498000,2657.763
56,0.000000,0.000000,1.324900,0.498000,2671.148
56,0.000000,0.000000,1.324900,0.498000,2686.451
57,1.062731,0.764238,1.396282,0.492200,2702.312
57,0.000000,0.000000,1.396282,0.492200,2718.007
57,0.000000,0.000000,1.396282,0.492200,2735.268
57,0.000000,0.000000,1.396282,0.492200,2752.613
57,0.000000,0.000000,1.396282,0.492200,2768.588
57,0.000000,0.000000,1.396282,0.492200,2782.230
57,0.000000,0.000000,1.396282,0.492200,2795.802
59,1.165390,0.705173,1.316856,0.524800,2808.072
59,0.000000,0.000000,1.316856,0.524800,2819.543
60,1.246484,0.664909,1.262082,0.540500,2834.462
60,0.000000,0.000000,1.262082,0.540500,2847.874
61,1.189176,0.693148,1.290437,0.546900,2864.755
61,0.000000,0.000000,1.290437,0.546900,2879.121
61,0.000000,0.000000,1.290437,0.546900,2893.340
62,1.280343,0.650487,1.233523,0.556800,2908.144
62,0.000000,0.000000,1.233523,0.556800,2922.105
63,1.078727,0.723296,1.443530,0.472000,2939.203
63,0.000000,0.000000,1.443530,0.472000,2955.393
63,0.000000,0.000000,1.443530,0.472000,2973.618
63,0.000000,0.000000,1.443530,0.472000,2990.229
63,0.000000,0.000000,1.443530,0.472000,3007.273
63,0.000000,0.000000,1.443530,0.472000,3025.782
63,0.000000,0.000000,1.443530,0.472000,3043.105
63,0.000000,0.000000,1.443530,0.472000,3058.669
63,0.000000,0.000000,1.443530,0.472000,3074.530
63,0.000000,0.000000,1.443530,0.472000,3086.475
65,1.168794,0.688533,1.288705,0.534200,3100.059
66,1.103269,0.732173,1.297392,0.514800,3112.314
66,0.000000,0.000000,1.297392,0.514800,3127.947
66,0.000000,0.000000,1.297392,0.514800,3142.036
66,0.000000,0.000000,1.297392,0.514800,3156.849
66,0.000000,0.000000,1.297392,0.514800,3171.671
67,1.141975,0.717833,1.227326,0.557000,3186.374
67,0.000000,0.000000,1.227326,0.557000,3200.087
68,1.041296,0.770364,1.227494,0.544400,3216.158
68,0.000000,0.000000,1.227494,0.544400,3231.615
68,0.000000,0.000000,1.227494,0.544400,3245.973
68,0.000000,0.000000,1.227494,0.544400,3260.262
69,1.210792,0.682484,1.215158,0.558600,3275.189
69,0.000000,0.000000,1.215158,0.558600,3289.591
70,1.166732,0.688727,1.321756,0.532000,3304.520
70,0.000000,0.000000,1.321756,0.532000,3319.586
70,0.000000,0.000000,1.321756,0.532000,3333.186
72,1.142570,0.710041,1.216709,0.562200,3348.415
72,0.000000,0.000000,1.216709,0.562200,3361.161
72,0.000000,0.000000,1.216709,0.562200,3375.919
72,0.000000,0.000000,1.216709,0.562200,3392.018
73,1.264861,0.655051,1.192618,0.574600,3408.649
73,0.000000,0.000000,1.192618,0.574600,3425.388
73,0.000000,0.000000,1.192618,0.574600,3442.920
73,0.000000,0.000000,1.192618,0.574600,3461.313
