client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
1,1.465994,0.555360,2.260876,0.304800,0
3,1.414164,0.564103,2.350677,0.308500,1
4,1.568719,0.511927,2.211628,0.286600,2
0,1.427188,0.583228,1.997534,0.300800,3
2,1.599302,0.458135,2.392893,0.221000,4
8,1.219956,0.643438,2.484741,0.249100,5
9,1.518180,0.532806,1.866475,0.349300,6
5,1.249906,0.672618,2.340981,0.320400,7
7,1.402854,0.596822,1.846072,0.351700,8
6,1.177513,0.687461,2.319573,0.314800,9
1,1.412856,0.574484,2.122332,0.312200,10
4,1.492433,0.549678,1.936518,0.352700,11
8,1.202932,0.651577,2.738227,0.242400,12
3,1.329584,0.602658,2.211679,0.338900,13
0,1.371813,0.605183,1.800849,0.349200,14
2,1.553089,0.482637,2.461082,0.202500,15
9,1.488347,0.541008,1.772530,0.370200,16
7,1.373302,0.612314,1.759483,0.393000,17
1,1.307516,0.626069,2.025242,0.347100,18
6,1.183790,0.687770,2.204384,0.322700,19
5,1.215753,0.691776,1.957999,0.385100,20
4,1.424682,0.579755,1.739193,0.383600,21
8,1.181150,0.671414,2.345813,0.289400,22
0,1.289808,0.647472,1.705590,0.389200,23
9,1.436901,0.572349,1.615312,0.450200,24
3,1.281763,0.633352,1.987569,0.398900,25
2,1.464382,0.528821,1.779213,0.366700,26
7,1.339091,0.632969,1.898301,0.356600,27
1,1.259563,0.651988,1.918335,0.356500,28
8,1.127216,0.691251,2.142201,0.326200,29
4,1.388328,0.593860,1.752907,0.386400,30
6,1.134645,0.716574,2.025556,0.355100,31
5,1.133258,0.729962,2.049921,0.371600,32
9,1.363578,0.608377,1.652780,0.441400,33
0,1.261685,0.659169,1.631320,0.416900,34
3,1.234021,0.657309,1.895291,0.428500,35
2,1.434152,0.547329,1.786536,0.377300,36
8,1.131593,0.681587,2.284366,0.314800,37
7,1.258014,0.659384,1.529948,0.487000,38
1,1.213910,0.671616,1.788778,0.381000,39
4,1.359275,0.610662,1.667946,0.416600,40
9,1.310433,0.635325,1.625702,0.457600,41
6,1.076002,0.744147,2.010054,0.363800,42
0,1.218135,0.679683,1.494134,0.459100,43
5,1.091648,0.742604,1.892747,0.421200,44
8,1.154045,0.680061,2.120467,0.315000,45
3,1.181477,0.687816,1.868132,0.421200,46
2,1.393381,0.566191,1.625679,0.402200,47
7,1.230982,0.664548,1.519448,0.483600,48
1,1.173205,0.698289,1.767426,0.420500,49
9,1.287257,0.648506,1.487856,0.496800,50
4,1.320129,0.627671,1.691004,0.423700,51
8,1.102555,0.707528,2.063695,0.330300,52
6,1.037710,0.758010,1.768294,0.411800,53
0,1.173975,0.694080,1.466800,0.479500,54
5,1.088817,0.743647,1.803044,0.429600,55
3,1.153657,0.702602,1.814800,0.451600,56
2,1.356993,0.585228,1.600368,0.421600,57
7,1.194898,0.691162,1.390209,0.535800,58
1,1.152028,0.706844,1.678009,0.443700,59
9,1.242113,0.670182,1.405918,0.532900,60
4,1.267288,0.651317,1.553185,0.435400,61
8,1.101949,0.693286,2.133177,0.296200,62
0,1.141594,0.723052,1.593632,0.424900,63
6,1.032703,0.763247,1.771597,0.418800,64
3,1.136249,0.712147,1.748082,0.449900,65
2,1.337984,0.597567,1.493837,0.461400,66
5,1.042790,0.767757,1.712872,0.452200,67
1,1.103729,0.735279,1.618026,0.461000,68
9,1.238020,0.665202,1.384824,0.556500,69
7,1.156530,0.708640,1.454610,0.507500,70
8,1.055625,0.730417,1.986912,0.361500,71
4,1.228891,0.676208,1.455171,0.484800,72
0,1.111172,0.728990,1.346459,0.517600,73
6,0.975693,0.795287,1.800731,0.413500,74
3,1.089785,0.736852,1.729597,0.462800,75
2,1.345139,0.586286,1.520108,0.448700,76
5,1.025889,0.772579,1.743948,0.443000,77
9,1.196259,0.688635,1.295001,0.565100,78
1,1.079254,0.744087,1.692265,0.427200,79
8,1.032340,0.743133,1.994254,0.334500,80
7,1.139694,0.716981,1.494893,0.496600,81
4,1.236372,0.673304,1.426471,0.499800,82
0,1.094361,0.741047,1.279204,0.540500,83
3,1.095451,0.733857,1.873356,0.386300,84
6,0.946572,0.806223,1.734231,0.428600,85
2,1.280424,0.621717,1.483065,0.489500,86
8,1.027913,0.732960,1.893165,0.361000,87
1,1.087716,0.738299,1.550669,0.493100,88
9,1.173333,0.713240,1.310499,0.581900,89
5,1.008122,0.783005,1.731267,0.429800,90
7,1.105874,0.738431,1.278140,0.588300,91
4,1.185540,0.696951,1.303763,0.534600,92
0,1.067904,0.754904,1.428006,0.486200,93
3,1.058913,0.749953,1.597105,0.499000,94
8,1.016200,0.754323,1.806954,0.393400,95
6,0.930526,0.812847,1.710976,0.437800,96
2,1.266555,0.633175,1.571576,0.444800,97
1,1.040469,0.756417,1.509667,0.505500,98
9,1.150618,0.709725,1.306382,0.574100,99
