client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
2,1.706414,0.484690,2.837167,0.100000,0
3,1.882827,0.372632,2.858203,0.100000,1
0,1.958719,0.331665,2.651682,0.097700,2
1,1.684676,0.498947,3.417746,0.100000,3
4,1.788973,0.375173,3.027472,0.100200,4
5,1.685319,0.508213,3.126866,0.100000,5
7,1.663674,0.567079,2.558893,0.093600,6
6,1.730819,0.398411,2.951212,0.154800,7
8,2.068373,0.290745,2.653907,0.100000,8
3,2.038312,0.385263,2.900497,0.100000,9
0,2.051673,0.348624,2.640406,0.100000,10
9,1.845607,0.368282,2.638581,0.198400,11
2,1.975063,0.364997,3.519996,0.100000,12
1,1.777969,0.537193,2.819439,0.100000,13
7,1.848122,0.551733,3.018050,0.100000,14
5,1.763383,0.570973,3.379424,0.100000,15
8,2.144643,0.292383,2.541690,0.100000,16
4,1.892857,0.303887,2.931568,0.100000,17
3,2.004182,0.400702,2.744554,0.100000,18
0,2.009607,0.360578,2.807498,0.100000,19
