total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451771,0.121500,16.528
0,0.000000,0.000000,2.451771,0.121500,33.934
0,0.000000,0.000000,2.451771,0.121500,46.037
0,0.000000,0.000000,2.451771,0.121500,53.613
0,0.000000,0.000000,2.451771,0.121500,72.463
0,0.000000,0.000000,2.451771,0.121500,76.281
0,0.000000,0.000000,2.451771,0.121500,80.092
0,0.000000,0.000000,2.451771,0.121500,84.084
5,2.291128,0.141916,2.393766,0.114800,88.493
5,0.000000,0.000000,2.393766,0.114800,92.389
5,0.000000,0.000000,2.393766,0.114800,108.725
5,0.000000,0.000000,2.393766,0.114800,119.884
5,0.000000,0.000000,2.393766,0.114800,129.458
5,0.000000,0.000000,2.393766,0.114800,146.174
5,0.000000,0.000000,2.393766,0.114800,150.026
5,0.000000,0.000000,2.393766,0.114800,154.090
6,2.275112,0.152305,2.375239,0.113800,158.045
10,2.276656,0.141957,2.356539,0.114800,162.255
10,0.000000,0.000000,2.356539,0.114800,169.697
10,0.000000,0.000000,2.356539,0.114800,183.479
10,0.000000,0.000000,2.356539,0.114800,196.075
11,2.262572,0.161660,2.343062,0.116100,201.807
11,0.000000,0.000000,2.343062,0.116100,217.817
11,0.000000,0.000000,2.343062,0.116100,226.961
11,0.000000,0.000000,2.343062,0.116100,230.952
15,2.257050,0.154008,2.329843,0.120700,238.350
15,0.000000,0.000000,2.329843,0.120700,242.114
15,0.000000,0.000000,2.329843,0.120700,254.783
16,2.244607,0.165256,2.328097,0.120900,265.799
16,0.000000,0.000000,2.328097,0.120900,270.360
16,0.000000,0.000000,2.328097,0.120900,290.044
16,0.000000,0.000000,2.328097,0.120900,295.926
20,2.250078,0.157583,2.317517,0.127200,303.294
20,0.000000,0.000000,2.317517,0.127200,307.112
20,0.000000,0.000000,2.317517,0.127200,323.917
21,2.281721,0.140959,2.316408,0.127800,331.024
21,0.000000,0.000000,2.316408,0.127800,348.515
21,0.000000,0.000000,2.316408,0.127800,355.919
21,0.000000,0.000000,2.316408,0.127800,361.408
25,2.282099,0.138038,2.309291,0.130400,367.327
25,0.000000,0.000000,2.309291,0.130400,371.111
25,0.000000,0.000000,2.309291,0.130400,388.239
26,2.290448,0.137074,2.308122,0.130500,394.702
26,0.000000,0.000000,2.308122,0.130500,412.557
26,0.000000,0.000000,2.308122,0.130500,421.039
26,0.000000,0.000000,2.308122,0.130500,425.982
30,2.287291,0.131052,2.301812,0.132300,432.693
30,0.000000,0.000000,2.301812,0.132300,436.510
30,0.000000,0.000000,2.301812,0.132300,454.467
31,2.280595,0.148221,2.300844,0.133600,461.189
31,0.000000,0.000000,2.300844,0.133600,478.528
31,0.000000,0.000000,2.300844,0.133600,486.761
31,0.000000,0.000000,2.300844,0.133600,491.934
35,2.280890,0.129090,2.295104,0.137200,498.328
35,0.000000,0.000000,2.295104,0.137200,502.159
35,0.000000,0.000000,2.295104,0.137200,519.353
36,2.277321,0.148327,2.294295,0.137100,527.194
36,0.000000,0.000000,2.294295,0.137100,541.856
36,0.000000,0.000000,2.294295,0.137100,552.269
36,0.000000,0.000000,2.294295,0.137100,557.106
40,2.270504,0.151661,2.289334,0.141400,564.048
40,0.000000,0.000000,2.289334,0.141400,567.830
40,0.000000,0.000000,2.289334,0.141400,583.740
41,2.269544,0.153443,2.288591,0.141900,591.073
41,0.000000,0.000000,2.288591,0.141900,608.450
41,0.000000,0.000000,2.288591,0.141900,616.756
41,0.000000,0.000000,2.288591,0.141900,621.802
45,2.269736,0.153900,2.283660,0.145600,628.398
45,0.000000,0.000000,2.283660,0.145600,632.186
45,0.000000,0.000000,2.283660,0.145600,650.197
46,2.266299,0.139880,2.282893,0.146200,656.810
46,0.000000,0.000000,2.282893,0.146200,672.800
46,0.000000,0.000000,2.282893,0.146200,681.988
46,0.000000,0.000000,2.282893,0.146200,686.642
50,2.266088,0.158563,2.278638,0.149700,693.686
50,0.000000,0.000000,2.278638,0.149700,697.484
50,0.000000,0.000000,2.278638,0.149700,714.859
51,2.266743,0.158498,2.277950,0.149600,722.496
51,0.000000,0.000000,2.277950,0.149600,738.980
51,0.000000,0.000000,2.277950,0.149600,748.277
51,0.000000,0.000000,2.277950,0.149600,753.172
55,2.262207,0.151806,2.273814,0.153800,759.919
55,0.000000,0.000000,2.273814,0.153800,763.716
55,0.000000,0.000000,2.273814,0.153800,781.166
56,2.266237,0.157598,2.273127,0.154400,788.061
56,0.000000,0.000000,2.273127,0.154400,803.079
56,0.000000,0.000000,2.273127,0.154400,813.724
56,0.000000,0.000000,2.273127,0.154400,818.343
60,2.252945,0.163505,2.268826,0.160700,825.842
60,0.000000,0.000000,2.268826,0.160700,829.673
60,0.000000,0.000000,2.268826,0.160700,846.895
61,2.262716,0.163915,2.268214,0.160600,854.580
61,0.000000,0.000000,2.268214,0.160600,869.083
61,0.000000,0.000000,2.268214,0.160600,880.469
61,0.000000,0.000000,2.268214,0.160600,885.136
65,2.251722,0.173376,2.264139,0.163900,892.845
65,0.000000,0.000000,2.264139,0.163900,896.634
65,0.000000,0.000000,2.264139,0.163900,913.354
66,2.257238,0.161924,2.263582,0.164300,921.365
66,0.000000,0.000000,2.263582,0.164300,936.352
66,0.000000,0.000000,2.263582,0.164300,946.307
66,0.000000,0.000000,2.263582,0.164300,951.543
70,2.252347,0.166467,2.259609,0.169800,958.096
70,0.000000,0.000000,2.259609,0.169800,961.853
70,0.000000,0.000000,2.259609,0.169800,979.164
71,2.263552,0.164822,2.259052,0.170300,986.360
71,0.000000,0.000000,2.259052,0.170300,1001.362
71,0.000000,0.000000,2.259052,0.170300,1010.862
71,0.000000,0.000000,2.259052,0.170300,1015.941
75,2.247656,0.165716,2.255269,0.173700,1022.342
75,0.000000,0.000000,2.255269,0.173700,1026.125
75,0.000000,0.000000,2.255269,0.173700,1042.633
76,2.249301,0.172511,2.254591,0.175100,1049.691
76,0.000000,0.000000,2.254591,0.175100,1062.844
76,0.000000,0.000000,2.254591,0.175100,1074.646
76,0.000000,0.000000,2.254591,0.175100,1078.900
80,2.238205,0.177155,2.250716,0.179100,1086.130
80,0.000000,0.000000,2.250716,0.179100,1089.921
80,0.000000,0.000000,2.250716,0.179100,1106.999
81,2.241979,0.182038,2.250070,0.179700,1113.910
81,0.000000,0.000000,2.250070,0.179700,1129.946
81,0.000000,0.000000,2.250070,0.179700,1138.825
81,0.000000,0.000000,2.250070,0.179700,1143.644
85,2.239294,0.179400,2.246493,0.183500,1150.237
85,0.000000,0.000000,2.246493,0.183500,1153.988
85,0.000000,0.000000,2.246493,0.183500,1170.256
86,2.245394,0.170741,2.245860,0.184300,1177.777
86,0.000000,0.000000,2.245860,0.184300,1191.380
86,0.000000,0.000000,2.245860,0.184300,1202.651
86,0.000000,0.000000,2.245860,0.184300,1206.990
90,2.236486,0.186775,2.241856,0.187300,1214.105
90,0.000000,0.000000,2.241856,0.187300,1217.858
90,0.000000,0.000000,2.241856,0.187300,1233.760
91,2.240489,0.171937,2.241316,0.188200,1241.897
91,0.000000,0.000000,2.241316,0.188200,1255.639
91,0.000000,0.000000,2.241316,0.188200,1266.675
91,0.000000,0.000000,2.241316,0.188200,1271.050
95,2.232974,0.177524,2.237096,0.193400,1278.297
95,0.000000,0.000000,2.237096,0.193400,1282.101
95,0.000000,0.000000,2.237096,0.193400,1299.808
96,2.214670,0.192664,2.236489,0.193600,1310.348
96,0.000000,0.000000,2.236489,0.193600,1326.207
96,0.000000,0.000000,2.236489,0.193600,1333.658
97,2.226522,0.187475,2.234632,0.194000,1338.740
100,2.218732,0.192608,2.231939,0.195100,1346.073
100,0.000000,0.000000,2.231939,0.195100,1353.218
101,2.248292,0.171567,2.231500,0.194700,1370.510
101,0.000000,0.000000,2.231500,0.194700,1379.036
102,2.224871,0.207849,2.229734,0.197600,1397.804
102,0.000000,0.000000,2.229734,0.197600,1402.978
105,2.222357,0.188103,2.227189,0.199200,1414.712
105,0.000000,0.000000,2.227189,0.199200,1419.383
106,2.234044,0.182365,2.226583,0.200500,1437.095
106,0.000000,0.000000,2.226583,0.200500,1443.618
107,2.221581,0.202166,2.225950,0.202000,1462.285
107,0.000000,0.000000,2.225950,0.202000,1468.562
110,2.221349,0.198187,2.223469,0.204100,1479.991
110,0.000000,0.000000,2.223469,0.204100,1484.260
111,2.232088,0.199209,2.222943,0.205300,1501.791
111,0.000000,0.000000,2.222943,0.205300,1508.346
112,2.217437,0.186998,2.222327,0.205900,1525.993
112,0.000000,0.000000,2.222327,0.205900,1532.134
115,2.207833,0.195307,2.219523,0.208000,1547.827
115,0.000000,0.000000,2.219523,0.208000,1551.978
116,2.223865,0.183394,2.219073,0.208600,1570.631
116,0.000000,0.000000,2.219073,0.208600,1577.439
117,2.217957,0.192628,2.218437,0.208700,1596.762
117,0.000000,0.000000,2.218437,0.208700,1602.770
117,0.000000,0.000000,2.218437,0.208700,1616.052
120,2.211788,0.190591,2.215774,0.210800,1622.242
121,2.199418,0.207813,2.214928,0.210100,1629.223
121,0.000000,0.000000,2.214928,0.210100,1647.153
122,2.199458,0.201842,2.214159,0.210700,1661.039
