client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg,staleness
2,2.278704573216446,0.1404494382022472,2.278674211777615,0.1440609951845907,1,0.0
0,2.2844981324322227,0.13491743858236005,2.2842895863663992,0.13813934756343133,2,1.0
1,2.2845472513132714,0.12116381028298127,2.2860135148368825,0.1267437225986449,3,2.0
4,2.2798653533089195,0.1289547456948338,2.277545921889409,0.13696435722867442,4,3.0
3,2.280509677496665,0.146163215590743,2.280252183592034,0.15631343889565572,5,4.0
5,2.276857366652572,0.14223454833597465,2.2802316628620853,0.13985736925515055,6,4.0
6,2.2793620510652177,0.13918973124749298,2.276893770842967,0.1283594063377457,7,4.0
7,2.2794506853381824,0.13456889605157132,2.2784174741227043,0.13738920225624496,8,4.0
8,2.2794001467481166,0.1402805611222445,2.276401472091675,0.1531062124248497,9,4.0
9,2.280695392267199,0.12374849819783741,2.2818532786371235,0.13095714857829396,10,4.0
10,2.2783540712514885,0.13399209486166008,2.2781447747950496,0.13715415019762847,11,4.0
11,2.271268784575111,0.14726840855106887,2.2690743767639425,0.15201900237529692,12,4.0
12,2.2684074661390023,0.14170692431561996,2.2698083350047975,0.14170692431561996,13,4.0
13,2.2626751955615045,0.15415495784825373,2.2629339345628026,0.15014050582095545,14,4.0
14,2.2707030172332714,0.14325842696629212,2.2716220247994263,0.1440609951845907,15,4.0
15,2.2655438894420223,0.1487303506650544,2.262978397901382,0.16162837565497784,16,4.0
16,2.264935127102252,0.14742810854597002,2.263729451010709,0.15188335358444716,17,4.0
17,2.273250190407522,0.14546175188267935,2.2730252174834056,0.14189456995640112,18,4.0
18,2.2661067644755044,0.15250809061488674,2.2657907479789263,0.1407766990291262,19,4.0
19,2.2668032046078013,0.1516606642657063,2.2695671005600118,0.1516606642657063,20,4.0
2,2.2628073405301015,0.14526484751203853,2.2602499993233964,0.15369181380417335,21,4.0
0,2.2617648841390867,0.15344341522351992,2.2639971194226947,0.15223519935561822,22,4.0
1,2.2626860573169196,0.15942606616181745,2.2687054175501946,0.15544041450777202,23,4.0
4,2.256118959935608,0.16700040048057668,2.255495491913905,0.17541049259110933,24,4.0
