total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,45.446
0,0.000000,0.000000,2.451780,0.121400,64.584
5,2.312704,0.121906,2.401522,0.120100,68.154
5,0.000000,0.000000,2.401522,0.120100,70.783
5,0.000000,0.000000,2.401522,0.120100,102.794
5,0.000000,0.000000,2.401522,0.120100,116.639
10,2.308678,0.113362,2.368293,0.120000,120.458
10,0.000000,0.000000,2.368293,0.120000,122.949
10,0.000000,0.000000,2.368293,0.120000,153.583
10,0.000000,0.000000,2.368293,0.120000,168.545
15,2.302328,0.125449,2.345468,0.122500,172.074
15,0.000000,0.000000,2.345468,0.122500,174.605
15,0.000000,0.000000,2.345468,0.122500,206.374
15,0.000000,0.000000,2.345468,0.122500,219.949
20,2.303922,0.125040,2.329998,0.123100,223.467
20,0.000000,0.000000,2.329998,0.123100,225.999
20,0.000000,0.000000,2.329998,0.123100,259.057
20,0.000000,0.000000,2.329998,0.123100,272.372
25,2.296919,0.114352,2.324995,0.122300,275.798
25,0.000000,0.000000,2.324995,0.122300,278.337
25,0.000000,0.000000,2.324995,0.122300,310.017
25,0.000000,0.000000,2.324995,0.122300,323.587
30,2.295533,0.112001,2.320402,0.121800,327.029
30,0.000000,0.000000,2.320402,0.121800,329.542
30,0.000000,0.000000,2.320402,0.121800,361.631
30,0.000000,0.000000,2.320402,0.121800,375.440
35,2.291996,0.117384,2.315908,0.121600,378.966
35,0.000000,0.000000,2.315908,0.121600,381.518
35,0.000000,0.000000,2.315908,0.121600,387.278
35,0.000000,0.000000,2.315908,0.121600,414.951
36,2.291671,0.105711,2.314315,0.121600,426.310
40,2.291161,0.113083,2.312373,0.121600,429.761
40,0.000000,0.000000,2.312373,0.121600,435.531
40,0.000000,0.000000,2.312373,0.121600,463.548
41,2.292708,0.115570,2.310527,0.122300,475.038
45,2.291680,0.118067,2.308637,0.122500,478.554
45,0.000000,0.000000,2.308637,0.122500,484.340
45,0.000000,0.000000,2.308637,0.122500,512.741
46,2.289102,0.123348,2.307101,0.123300,523.521
50,2.292025,0.118371,2.305352,0.125100,526.738
50,0.000000,0.000000,2.305352,0.125100,532.495
50,0.000000,0.000000,2.305352,0.125100,558.346
51,2.286527,0.124799,2.303764,0.125400,569.835
55,2.288972,0.121025,2.302211,0.125000,573.038
55,0.000000,0.000000,2.302211,0.125000,578.761
55,0.000000,0.000000,2.302211,0.125000,606.755
55,0.000000,0.000000,2.302211,0.125000,618.192
60,2.286365,0.124799,2.299192,0.125400,621.595
60,0.000000,0.000000,2.299192,0.125400,624.108
60,0.000000,0.000000,2.299192,0.125400,655.587
60,0.000000,0.000000,2.299192,0.125400,669.294
65,2.287676,0.121424,2.296448,0.125300,672.745
65,0.000000,0.000000,2.296448,0.125300,675.225
65,0.000000,0.000000,2.296448,0.125300,706.867
65,0.000000,0.000000,2.296448,0.125300,720.655
70,2.286322,0.125690,2.293888,0.126500,724.286
70,0.000000,0.000000,2.293888,0.126500,726.747
70,0.000000,0.000000,2.293888,0.126500,737.470
70,0.000000,0.000000,2.293888,0.126500,762.753
72,2.282869,0.124799,2.292314,0.126700,770.828
75,2.283915,0.130250,2.291505,0.127400,773.978
75,0.000000,0.000000,2.291505,0.127400,785.113
75,0.000000,0.000000,2.291505,0.127400,809.115
77,2.283504,0.122108,2.290264,0.127700,817.821
80,2.284436,0.117356,2.289592,0.127900,820.836
80,0.000000,0.000000,2.289592,0.127900,832.225
80,0.000000,0.000000,2.289592,0.127900,855.596
82,2.284322,0.130174,2.288281,0.128300,864.672
85,2.281336,0.128577,2.287510,0.128200,867.716
85,0.000000,0.000000,2.287510,0.128200,879.000
85,0.000000,0.000000,2.287510,0.128200,903.645
87,2.280976,0.132297,2.286046,0.129200,912.007
87,0.000000,0.000000,2.286046,0.129200,915.515
90,2.281190,0.129952,2.285389,0.129300,921.781
90,0.000000,0.000000,2.285389,0.129300,930.206
91,2.277280,0.122383,2.284479,0.129700,952.607
92,2.276666,0.134831,2.284035,0.129700,960.761
95,2.278553,0.127865,2.283357,0.130200,967.234
95,0.000000,0.000000,2.283357,0.130200,975.012
96,2.277584,0.133900,2.283132,0.130800,995.772
97,2.279081,0.126451,2.282737,0.130700,1005.808
100,2.278060,0.128462,2.282052,0.131100,1012.238
