client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
0,1.437791,0.697134,2.525663,0.100000,0
2,2.376394,0.118012,2.327383,0.117100,1
3,1.475896,0.548370,2.628116,0.139100,2
1,1.532863,0.595183,3.006630,0.100300,3
4,1.649840,0.470450,2.907347,0.100000,4
7,2.040349,0.454403,2.359166,0.100000,5
9,0.880077,0.906609,3.174688,0.100000,6
5,1.019605,0.852122,3.063232,0.100000,7
6,1.208896,0.766024,3.138909,0.100200,8
8,1.185261,0.748469,3.345216,0.103300,9
10,1.037227,0.914484,2.733895,0.100000,10
12,1.916020,0.484328,2.400522,0.100000,11
13,1.703746,0.467518,2.547363,0.099200,12
11,1.064694,0.789538,3.462156,0.107000,13
14,1.977294,0.523973,2.353061,0.100000,14
15,1.540786,0.755158,2.454889,0.100000,15
19,1.689140,0.547384,2.506739,0.101600,16
17,1.515809,0.515327,3.110088,0.122900,17
16,2.563528,0.000000,2.315631,0.109600,18
18,1.503705,0.563054,3.035007,0.101600,19
2,2.281974,0.257764,2.479147,0.100300,20
0,1.320134,0.738962,3.184288,0.100000,21
3,1.406842,0.595652,3.569876,0.100000,22
4,1.632301,0.468628,3.031175,0.100000,23
1,1.536595,0.605141,3.018259,0.100000,24
7,1.756589,0.583333,3.536969,0.100000,25
9,0.755729,0.943606,3.526591,0.100000,26
5,0.976429,0.875554,3.043916,0.100000,27
6,1.206153,0.774008,3.269695,0.100400,28
8,1.224887,0.768810,3.438169,0.100000,29
14,2.060805,0.393836,2.741029,0.100000,30
10,0.976081,0.955316,5.143957,0.100000,31
13,1.714278,0.426430,3.355870,0.100000,32
12,1.791189,0.536906,3.092784,0.100000,33
11,1.151898,0.791990,3.730930,0.100000,34
16,2.484078,0.015707,2.345794,0.099100,35
15,1.476466,0.807428,4.905151,0.100000,36
19,1.499228,0.629265,3.159686,0.116500,37
17,1.556768,0.458907,3.209975,0.159400,38
18,1.536970,0.553735,2.906885,0.109000,39
0,1.359062,0.725019,3.515995,0.100000,40
3,1.417862,0.567935,3.465549,0.151400,41
1,1.520387,0.616489,2.893387,0.100000,42
4,1.632367,0.460557,2.925628,0.116700,43
2,2.239975,0.251553,2.514766,0.100000,44
9,0.753508,0.943606,3.495122,0.100000,45
5,0.954358,0.875871,3.661559,0.100000,46
6,1.208939,0.770903,3.220390,0.100000,47
8,1.225458,0.770122,3.575148,0.100000,48
7,1.737725,0.617925,3.566464,0.100000,49
10,0.963815,0.963020,4.998737,0.100000,50
12,1.742314,0.546006,2.986726,0.100200,51
11,1.142705,0.795055,3.437031,0.125600,52
14,2.090386,0.397260,2.655391,0.100000,53
13,1.704559,0.453082,3.276440,0.100300,54
16,2.464246,0.031414,2.355271,0.097600,55
15,1.458944,0.811554,4.901096,0.100000,56
19,1.475083,0.624716,3.497775,0.100000,57
17,1.570558,0.410706,3.239642,0.101900,58
18,1.539302,0.553134,3.049996,0.100000,59
0,1.321466,0.712626,3.427929,0.100000,60
3,1.408258,0.544022,3.249754,0.152400,61
1,1.511374,0.613942,3.408424,0.100000,62
4,1.621943,0.437126,2.957565,0.108800,63
2,2.202127,0.263975,2.546060,0.100000,64
9,0.726821,0.945402,3.612572,0.100000,65
5,0.964157,0.873971,3.598396,0.100000,66
6,1.201591,0.769350,3.477957,0.100000,67
8,1.218283,0.773403,3.841689,0.100000,68
7,1.696258,0.650943,3.640423,0.100000,69
10,0.972724,0.973035,4.575560,0.100000,70
14,2.107154,0.376712,2.696886,0.100000,71
13,1.717387,0.400333,2.836790,0.119300,72
12,1.755246,0.539939,3.232420,0.100000,73
11,1.132538,0.794238,3.622097,0.100000,74
15,1.465804,0.792297,4.817558,0.100000,75
16,2.427160,0.094241,2.358957,0.099000,76
19,1.470691,0.641395,3.118095,0.114400,77
17,1.559294,0.452910,3.406568,0.155100,78
18,1.531881,0.557493,3.027599,0.115000,79
0,1.357794,0.714175,3.011507,0.100000,80
3,1.383483,0.566848,3.190601,0.155900,81
1,1.512128,0.620426,2.944434,0.100000,82
4,1.616210,0.427753,3.359722,0.100000,83
2,2.169007,0.322981,2.576151,0.100000,84
9,0.730125,0.943966,3.325633,0.100000,85
5,0.946982,0.874604,3.274916,0.100000,86
6,1.208151,0.765802,3.381613,0.100000,87
8,1.223073,0.777778,3.680763,0.100000,88
7,1.672700,0.683962,3.336212,0.100000,89
