client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
1,2.313325,0.118374,2.290987,0.134500,0
3,2.310309,0.118961,2.287446,0.126100,1
4,2.308235,0.126552,2.289744,0.124200,2
2,2.311569,0.114366,2.290984,0.117400,3
0,2.316507,0.110350,2.289094,0.122200,4
5,2.260322,0.169176,2.245370,0.176300,5
6,2.260676,0.168472,2.239798,0.164200,6
7,2.267189,0.159549,2.246729,0.174400,7
8,2.260900,0.162725,2.246963,0.159500,8
9,2.271691,0.153384,2.245034,0.168000,9
10,2.239508,0.170356,2.207525,0.190000,10
11,2.239585,0.173001,2.206098,0.185800,11
12,2.233681,0.171095,2.203496,0.192300,12
13,2.231571,0.188278,2.206761,0.192800,13
14,2.234294,0.179374,2.207562,0.196900,14
15,2.213393,0.186215,2.179483,0.198300,15
17,2.215015,0.185097,2.175005,0.194200,16
16,2.212694,0.189145,2.166966,0.201200,17
18,2.214391,0.171926,2.173096,0.198300,18
19,2.205306,0.191277,2.159448,0.208700,19
1,2.188004,0.203667,2.097148,0.209100,20
4,2.180854,0.208250,2.091912,0.233700,21
3,2.159872,0.203410,2.084461,0.225800,22
2,2.156584,0.209872,2.077353,0.228900,23
0,2.171341,0.204994,2.092571,0.219700,24
7,2.116762,0.219581,2.032915,0.238800,25
8,2.117955,0.234469,2.033700,0.254000,26
6,2.106099,0.240674,2.012508,0.243300,27
9,2.124496,0.224269,2.049044,0.221800,28
5,2.107338,0.244057,2.007412,0.261700,29
11,2.083423,0.254949,1.970307,0.277100,30
10,2.077790,0.249012,2.004488,0.246100,31
13,2.059585,0.259334,1.966879,0.278200,32
14,2.077696,0.249197,1.968848,0.263600,33
12,2.073978,0.250805,1.981511,0.257800,34
15,2.037265,0.261991,1.940186,0.287800,35
16,2.038901,0.255164,1.973295,0.244000,36
18,2.055522,0.250809,1.960854,0.272900,37
17,2.052924,0.255252,1.951916,0.268000,38
19,2.069003,0.240496,1.961638,0.264500,39
1,2.051676,0.255082,1.993008,0.242200,40
4,2.021764,0.276332,1.919884,0.269400,41
3,2.020518,0.275274,1.928649,0.290500,42
2,2.017736,0.275281,1.911618,0.285500,43
8,2.021939,0.263727,1.894921,0.299600,44
0,2.000501,0.289166,1.910049,0.275400,45
7,2.004282,0.278405,1.899549,0.282100,46
6,1.995539,0.277577,1.885721,0.304000,47
9,2.016138,0.278334,1.978232,0.254100,48
5,1.981816,0.290016,1.872394,0.300700,49
11,1.996788,0.281077,1.905671,0.277100,50
13,1.967753,0.296668,1.932328,0.263200,51
10,2.003251,0.263241,1.866874,0.312500,52
14,1.998661,0.284510,1.895093,0.280600,53
12,1.978676,0.284622,1.893183,0.290200,54
16,1.981417,0.282301,1.877769,0.284400,55
15,1.967940,0.308746,1.881265,0.274000,56
18,1.999727,0.274676,1.839579,0.320000,57
17,1.986938,0.302418,1.925251,0.256400,58
19,1.986444,0.288515,1.837804,0.312700,59
1,1.987420,0.278996,1.901587,0.291000,60
3,1.975414,0.289484,1.870642,0.283100,61
4,1.969642,0.293953,1.859533,0.305900,62
2,1.970203,0.291734,1.828157,0.320100,63
8,1.967781,0.309820,1.865198,0.304500,64
0,1.959940,0.297221,1.847206,0.298500,65
7,1.956322,0.287671,1.852246,0.302700,66
6,1.958691,0.301645,1.844139,0.300200,67
9,1.968886,0.288346,1.834303,0.313700,68
13,1.931478,0.311120,1.813202,0.325300,69
10,1.960276,0.292490,1.802627,0.330800,70
5,1.945424,0.307448,1.833014,0.310100,71
11,1.949260,0.321457,1.800863,0.340000,72
14,1.953682,0.309390,1.810637,0.324300,73
12,1.941201,0.313205,1.830781,0.316100,74
16,1.957323,0.296881,1.892200,0.273000,75
15,1.936842,0.323660,1.790965,0.333800,76
17,1.933716,0.314705,1.843875,0.316400,77
18,1.961835,0.306634,1.807953,0.326500,78
19,1.945812,0.323729,1.830897,0.302300,79
4,1.916099,0.333200,1.768442,0.351300,80
3,1.921104,0.317499,1.817021,0.304900,81
2,1.921552,0.331862,1.772895,0.359100,82
8,1.939014,0.320641,1.821083,0.321500,83
1,1.933365,0.323635,1.822642,0.321500,84
0,1.932590,0.311317,1.782036,0.340200,85
7,1.925613,0.316277,1.802879,0.333000,86
6,1.917490,0.328921,1.788397,0.333800,87
9,1.938697,0.312775,1.798881,0.320900,88
13,1.898760,0.327579,1.804829,0.333200,89
10,1.910283,0.326877,1.839990,0.308100,90
5,1.912789,0.327258,1.771841,0.348200,91
14,1.914699,0.332665,1.822688,0.308700,92
12,1.908350,0.326490,1.796221,0.313100,93
11,1.927200,0.322644,1.786925,0.316900,94
16,1.915301,0.320373,1.767153,0.350300,95
15,1.911463,0.331318,1.749353,0.353800,96
18,1.905802,0.327265,1.770245,0.337200,97
17,1.894940,0.334126,1.781191,0.344000,98
19,1.924370,0.315726,1.741403,0.365500,99
4,1.905407,0.337605,1.754739,0.350100,100
2,1.891885,0.333868,1.781141,0.329900,101
3,1.897665,0.331709,1.743742,0.360000,102
8,1.900240,0.329459,1.765571,0.330600,103
1,1.910440,0.334396,1.749187,0.344500,104
7,1.895878,0.326753,1.729076,0.361100,105
0,1.890360,0.333065,1.734777,0.350200,106
6,1.893063,0.332932,1.767148,0.339900,107
9,1.917518,0.324389,1.719102,0.369800,108
13,1.868097,0.340024,1.728545,0.359000,109
5,1.883260,0.348653,1.787286,0.348500,110
10,1.910213,0.338340,1.789955,0.323700,111
14,1.900012,0.328250,1.719028,0.366900,112
12,1.887646,0.344203,1.709915,0.373500,113
11,1.884051,0.356690,1.740588,0.353300,114
16,1.892078,0.331308,1.741276,0.359100,115
18,1.894330,0.339401,1.705479,0.369500,116
15,1.879183,0.343410,1.765793,0.345800,117
17,1.869731,0.351962,1.713375,0.370500,118
19,1.900172,0.339336,1.748141,0.352300,119
3,1.889147,0.344702,1.779352,0.331000,120
2,1.876267,0.348716,1.722596,0.359200,121
8,1.879492,0.350301,1.730082,0.360700,122
4,1.862213,0.368042,1.742944,0.356400,123
1,1.882142,0.334396,1.683825,0.388600,124
0,1.858040,0.363270,1.746362,0.347300,125
6,1.850793,0.356197,1.687268,0.378700,126
7,1.863840,0.357373,1.746575,0.357100,127
9,1.878600,0.355226,1.711859,0.353900,128
13,1.835043,0.373745,1.732280,0.354400,129
10,1.864979,0.353360,1.693138,0.372900,130
14,1.869921,0.335474,1.670643,0.387300,131
12,1.850137,0.358696,1.669422,0.393100,132
5,1.859886,0.349445,1.670175,0.390100,133
11,1.864542,0.368963,1.672781,0.393600,134
18,1.881390,0.343042,1.686277,0.364700,135
16,1.857249,0.355205,1.702214,0.372300,136
