total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,48.751
0,0.000000,0.000000,2.451780,0.121400,60.382
3,1.562563,0.591131,2.370811,0.100200,63.595
5,1.589864,0.491815,2.376126,0.100100,75.118
5,0.000000,0.000000,2.376126,0.100100,92.953
7,1.114133,0.790792,2.423544,0.100800,105.453
9,1.258884,0.710637,2.483265,0.104300,117.861
10,0.783767,0.923132,2.527406,0.100000,136.931
12,1.160622,0.728198,2.528216,0.144000,144.643
14,1.963577,0.335484,2.404962,0.100000,157.937
15,3.012296,0.000000,2.328984,0.124800,168.633
16,2.945584,0.005236,2.312118,0.127900,185.240
18,1.427761,0.565309,2.498215,0.148100,192.701
18,0.000000,0.000000,2.498215,0.148100,196.220
20,1.485174,0.565479,2.413859,0.122800,206.747
21,2.496752,0.000000,2.352837,0.100800,222.707
22,1.567416,0.596437,2.376612,0.155800,236.507
25,1.426433,0.574057,2.439952,0.151000,258.110
26,1.183074,0.734974,2.321531,0.140900,272.867
28,1.013506,0.795699,2.501103,0.115900,279.670
30,0.835467,0.886065,2.373041,0.127900,294.284
31,0.915471,0.886749,2.555679,0.100000,309.922
33,1.136421,0.720721,2.367486,0.125100,319.152
35,1.856999,0.338748,2.370168,0.130400,330.598
36,2.676781,0.010471,2.212432,0.183500,346.556
37,1.628233,0.572215,2.394334,0.100000,358.406
38,1.365344,0.577077,2.375747,0.153100,366.304
41,1.408118,0.575959,2.412241,0.102100,372.152
42,1.341379,0.695585,2.322872,0.183700,386.759
43,1.155630,0.717935,2.446566,0.153000,407.109
45,1.412921,0.568452,2.327363,0.166200,416.651
47,1.137901,0.763654,2.352795,0.173300,434.606
48,1.008488,0.791339,2.351385,0.125500,450.058
50,0.817569,0.889768,2.278811,0.139500,462.164
52,0.945698,0.815245,2.328776,0.186100,470.158
53,1.544018,0.538928,2.250230,0.185400,490.127
57,1.579811,0.501495,2.173397,0.177400,515.314
57,0.000000,0.000000,2.173397,0.177400,533.431
59,1.327223,0.597430,2.378493,0.172700,537.316
61,1.379750,0.571249,2.235854,0.210500,548.245
62,1.206191,0.735089,2.229286,0.184100,560.170
64,1.235553,0.683339,2.295873,0.192700,576.298
65,1.473524,0.496746,2.184838,0.180300,586.433
67,1.099389,0.775510,2.276969,0.190000,604.812
