time_sec,round,test_acc,updates_per_sec,tau_bin_0,tau_bin_1,tau_bin_2,tau_bin_3,tau_bin_4,tau_bin_5,tau_bin_6_10,tau_bin_11_20,tau_bin_21p,align_mean,fairness_gini,method,alpha,K,timeout,m,seed,strag_frac
10.419,300,0.100700,28.794260,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
12.007,300,0.100700,24.985223,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
14.646,300,0.100700,20.483630,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
17.550,300,0.100700,17.093723,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
19.556,300,0.100700,15.340174,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
20.258,300,0.100700,14.809075,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
20.932,300,0.100700,14.332145,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
21.609,300,0.100700,13.883053,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
22.301,300,0.100700,13.452021,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
22.968,300,0.100700,13.061779,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
23.641,300,0.100700,12.689599,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
24.313,300,0.100700,12.339299,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
24.995,300,0.100700,12.002281,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
25.672,300,0.100700,11.685832,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
26.349,300,0.100700,11.385805,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
27.034,300,0.100700,11.097304,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,0.100000,8,0.500000,20,1,0.300000
