time_sec,round,test_acc,updates_per_sec,tau_bin_0,tau_bin_1,tau_bin_2,tau_bin_3,tau_bin_4,tau_bin_5,tau_bin_6_10,tau_bin_11_20,tau_bin_21p,align_mean,fairness_gini,method,alpha,K,timeout,m,seed,strag_frac
10.505,300,0.100000,28.557786,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
12.066,300,0.100000,24.863042,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
14.615,300,0.100000,20.527203,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
17.544,300,0.100000,17.099395,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
19.685,300,0.100000,15.239685,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
20.391,300,0.100000,14.712387,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
21.064,300,0.100000,14.242400,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
21.744,300,0.100000,13.796958,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
22.416,300,0.100000,13.383247,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
23.088,300,0.100000,12.993889,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
23.761,300,0.100000,12.625648,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
24.435,300,0.100000,12.277281,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
25.112,300,0.100000,11.946684,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
25.790,300,0.100000,11.632631,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
26.462,300,0.100000,11.337045,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
27.148,300,0.100000,11.050435,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,1000.000000,8,0.500000,20,1,0.500000
