client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
1,1.328691,0.527932,2.927596,0.299500,0
4,1.343047,0.527691,2.376413,0.328600,1
3,1.143767,0.573461,3.005202,0.354000,2
2,1.402027,0.461132,2.299385,0.316300,3
0,1.155982,0.599424,2.020324,0.350400,4
8,0.945818,0.631231,3.991998,0.275200,5
5,0.887411,0.697511,2.779130,0.355000,6
6,0.891668,0.675755,2.896901,0.341400,7
9,1.224191,0.555653,2.762426,0.374500,8
7,1.093278,0.618272,2.144661,0.383300,9
1,1.200194,0.549824,2.552756,0.349300,10
4,1.260630,0.552582,2.153875,0.356400,11
3,0.993935,0.640277,2.681096,0.379000,12
2,1.283039,0.505024,1.926309,0.363800,13
8,0.866711,0.645473,3.708750,0.271000,14
0,1.039354,0.634875,1.830534,0.380300,15
5,0.854102,0.707416,2.625560,0.342000,16
9,1.093231,0.605155,2.096846,0.445000,17
1,1.064831,0.603674,2.353963,0.345300,18
6,0.849826,0.693315,2.501529,0.351600,19
7,1.009653,0.650248,1.683091,0.475200,20
4,1.147767,0.591371,1.961817,0.391400,21
3,0.900090,0.663672,2.394485,0.419200,22
8,0.797342,0.692777,3.158558,0.300400,23
2,1.170707,0.552265,1.838580,0.409700,24
0,0.978678,0.648911,1.760020,0.398300,25
9,1.013960,0.626538,1.773805,0.503300,26
1,0.998919,0.641419,2.114782,0.404000,27
5,0.760487,0.742474,2.289800,0.421400,28
7,0.904070,0.678451,1.696417,0.498300,29
