total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451771,0.121500,19.731
0,0.000000,0.000000,2.451771,0.121500,33.126
0,0.000000,0.000000,2.451771,0.121500,44.966
1,2.288906,0.134515,2.423827,0.118400,62.265
2,2.283016,0.138043,2.411688,0.116500,66.434
2,0.000000,0.000000,2.411688,0.116500,73.999
5,2.275167,0.150440,2.395739,0.113100,85.666
5,0.000000,0.000000,2.395739,0.113100,89.933
6,2.278751,0.144612,2.390957,0.111700,104.409
6,0.000000,0.000000,2.390957,0.111700,112.292
7,2.267988,0.154432,2.387021,0.110600,128.463
7,0.000000,0.000000,2.387021,0.110600,134.583
9,2.282965,0.137176,2.377015,0.110500,145.320
10,2.277279,0.143888,2.373740,0.111100,149.919
11,2.264876,0.149407,2.370553,0.111200,162.499
11,0.000000,0.000000,2.370553,0.111200,174.183
12,2.270209,0.139351,2.367397,0.110400,186.268
14,2.260003,0.150151,2.359036,0.110400,195.982
14,0.000000,0.000000,2.359036,0.110400,204.975
15,2.273827,0.143660,2.355533,0.111600,217.134
16,2.249135,0.157598,2.352946,0.112200,223.487
17,2.253825,0.147023,2.348999,0.112900,236.585
17,0.000000,0.000000,2.348999,0.112900,246.279
19,2.268321,0.159760,2.343851,0.115300,258.414
19,0.000000,0.000000,2.343851,0.115300,262.624
