client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
0,2.288906,0.134515,2.189671,0.144100,0
3,2.283016,0.138043,2.189909,0.188700,1
2,2.271493,0.148074,2.194138,0.191500,2
1,2.275868,0.155042,2.165082,0.211900,3
4,2.278130,0.148178,2.160637,0.195000,4
5,2.278751,0.144612,2.163229,0.207700,5
6,2.267988,0.154432,2.147904,0.201400,6
9,2.285149,0.142571,2.159310,0.213800,7
7,2.280768,0.131749,2.181517,0.147500,8
8,2.277279,0.143888,2.164365,0.176900,9
10,2.264876,0.149407,2.131134,0.206400,10
11,2.270209,0.139351,2.159940,0.201000,11
12,2.263507,0.152576,2.136468,0.213100,12
13,2.256509,0.147732,2.148574,0.206700,13
14,2.273827,0.143660,2.175119,0.187900,14
15,2.249135,0.157598,2.128735,0.204600,15
16,2.253825,0.147023,2.138933,0.199000,16
17,2.267438,0.157352,2.142556,0.198700,17
18,2.269221,0.162217,2.141500,0.211200,18
19,2.265344,0.141257,2.163425,0.187900,19
