total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,48.983
0,0.000000,0.000000,2.451780,0.121400,61.190
5,1.572331,0.543489,2.418212,0.100300,64.816
5,0.000000,0.000000,2.418212,0.100300,90.468
5,0.000000,0.000000,2.418212,0.100300,108.315
9,1.211245,0.728078,2.449986,0.117900,128.226
10,0.823002,0.885057,2.606721,0.100000,141.505
12,1.292681,0.664967,2.533933,0.156700,148.690
15,1.819979,0.449720,2.342712,0.120100,167.934
16,2.844080,0.010471,2.328668,0.153700,178.271
18,1.524757,0.515012,2.551383,0.121500,204.791
20,1.505736,0.541935,2.574990,0.100600,214.177
22,1.451200,0.609721,2.516957,0.122400,237.430
23,1.510636,0.501172,2.457254,0.149000,247.007
23,0.000000,0.000000,2.457254,0.149000,251.493
26,1.044134,0.795674,2.441049,0.128400,257.896
27,1.354893,0.619565,2.603488,0.161600,280.036
28,1.071217,0.760936,2.479209,0.128100,294.137
28,0.000000,0.000000,2.479209,0.128100,299.230
31,1.065602,0.772955,2.497317,0.182300,305.589
32,1.583456,0.516684,2.366941,0.118200,318.720
32,0.000000,0.000000,2.366941,0.118200,322.339
35,1.469035,0.563845,2.445101,0.126800,341.293
36,2.818727,0.010471,2.278797,0.148700,357.204
36,0.000000,0.000000,2.278797,0.148700,363.067
38,1.382858,0.593421,2.446898,0.144000,366.307
40,1.392901,0.571756,2.499147,0.107900,384.357
40,0.000000,0.000000,2.499147,0.107900,399.289
43,1.470678,0.552437,2.501357,0.137700,418.581
44,1.344919,0.658404,2.230483,0.199900,430.593
44,0.000000,0.000000,2.230483,0.199900,435.303
48,1.063983,0.766412,2.351595,0.148600,438.562
48,0.000000,0.000000,2.351595,0.148600,463.616
48,0.000000,0.000000,2.351595,0.148600,482.676
53,1.061676,0.771681,2.114467,0.197500,495.172
53,0.000000,0.000000,2.114467,0.197500,517.085
53,0.000000,0.000000,2.114467,0.197500,523.005
56,1.225132,0.685050,2.331288,0.121100,526.090
58,1.365429,0.586192,2.330130,0.175100,536.838
58,0.000000,0.000000,2.330130,0.175100,548.498
59,1.459255,0.506211,2.502040,0.140000,562.647
61,1.390601,0.563598,2.240541,0.188200,576.698
63,1.362288,0.593578,2.328379,0.174000,590.088
64,1.292020,0.676220,2.136877,0.217500,602.708
66,0.933917,0.835834,2.367551,0.163100,616.785
68,1.205866,0.717286,2.172970,0.181400,623.386
69,1.432903,0.613751,2.399245,0.128600,636.068
70,0.800035,0.897270,2.287276,0.158600,650.593
72,1.014300,0.791556,2.317222,0.220200,662.394
73,2.351085,0.106164,2.110709,0.234000,670.465
75,1.525884,0.494858,2.224234,0.172500,693.902
76,1.298128,0.620613,2.200599,0.217000,700.825
76,0.000000,0.000000,2.200599,0.217000,706.505
78,0.949469,0.849383,2.340096,0.139000,713.431
80,1.378846,0.565605,2.199277,0.219300,720.520
81,1.385837,0.632297,2.172834,0.188700,743.684
82,1.272723,0.660954,2.323089,0.199900,757.259
84,0.931031,0.848505,2.254092,0.163100,767.701
87,1.178756,0.692673,2.280897,0.169700,793.202
87,0.000000,0.000000,2.280897,0.169700,808.801
89,1.209353,0.698834,2.363445,0.202500,814.145
92,0.965699,0.811192,2.269698,0.216600,820.606
92,0.000000,0.000000,2.269698,0.216600,832.477
93,1.482105,0.621733,2.609900,0.127700,847.303
95,1.708457,0.416627,2.216338,0.184000,857.734
96,2.097418,0.248447,2.235994,0.173700,869.428
97,1.311786,0.606397,2.283812,0.186900,881.212
98,2.314644,0.089005,2.090305,0.196400,890.308
