client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
4,2.308579,0.120945,2.293033,0.114200,0
2,2.311087,0.116774,2.290965,0.122100,1
3,2.310751,0.123427,2.294161,0.136200,2
0,2.317385,0.111156,2.289538,0.122600,3
1,2.314414,0.111598,2.287829,0.128900,4
6,2.261128,0.148014,2.241523,0.167100,5
5,2.264678,0.165214,2.244996,0.166200,6
8,2.271349,0.154309,2.247440,0.161200,7
7,2.271241,0.135375,2.247581,0.178800,8
9,2.270903,0.145374,2.245996,0.166000,9
10,2.245382,0.175099,2.213154,0.185700,10
11,2.238746,0.176564,2.212387,0.182600,11
12,2.235091,0.171095,2.207767,0.185000,12
13,2.231856,0.174629,2.207001,0.189500,13
14,2.233034,0.178571,2.206848,0.197600,14
15,2.205040,0.198307,2.171632,0.201900,15
16,2.207932,0.187120,2.166642,0.204300,16
17,2.217864,0.180341,2.174079,0.198900,17
18,2.212900,0.184466,2.166915,0.205000,18
3,2.164202,0.218027,2.084721,0.219000,19
19,2.193769,0.194478,2.148488,0.201000,20
0,2.174419,0.213049,2.089758,0.211800,21
4,2.178503,0.212255,2.093165,0.231800,22
2,2.167397,0.202648,2.107174,0.208200,23
5,2.127118,0.232567,2.035888,0.231500,24
6,2.122239,0.219815,2.036247,0.235100,25
1,2.143388,0.224392,2.035850,0.262200,26
8,2.126293,0.215230,2.068428,0.216600,27
7,2.123358,0.212732,2.043729,0.233900,28
9,2.103461,0.223468,2.011809,0.230100,29
10,2.094898,0.227668,2.013534,0.245400,30
11,2.097265,0.234363,2.006494,0.237000,31
12,2.083379,0.238325,1.997944,0.250900,32
13,2.066365,0.250100,1.984731,0.256600,33
14,2.068980,0.245586,1.994917,0.258800,34
15,2.060695,0.244256,1.984142,0.246400,35
17,2.062169,0.254855,1.942461,0.282200,36
16,2.049519,0.249089,1.959272,0.265800,37
18,2.056143,0.249595,1.960659,0.252500,38
3,2.048720,0.265124,1.949738,0.272200,39
19,2.059733,0.246899,2.035307,0.241000,40
0,2.038906,0.262183,1.938647,0.265300,41
2,2.025100,0.254013,1.906327,0.303300,42
4,2.034019,0.280336,1.913140,0.282700,43
5,2.015661,0.277734,1.919036,0.297000,44
6,2.010037,0.267549,1.912367,0.281800,45
1,2.042701,0.263850,1.908487,0.277200,46
7,2.008695,0.278405,1.921018,0.270300,47
8,2.020039,0.273747,1.897513,0.283400,48
9,2.030826,0.255106,1.899553,0.306500,49
13,1.984058,0.275793,1.873580,0.299200,50
10,2.005708,0.283399,1.919945,0.282800,51
11,2.008932,0.290578,1.894906,0.289800,52
12,1.993286,0.290258,1.889962,0.294600,53
14,1.993926,0.274478,1.898522,0.271200,54
17,1.995945,0.295283,1.889323,0.294200,55
15,1.976250,0.297864,1.899353,0.277400,56
16,1.993802,0.275820,1.954094,0.254400,57
18,1.987874,0.283981,1.886788,0.292200,58
3,1.980616,0.283800,1.858351,0.298600,59
0,1.969267,0.300040,1.852309,0.305800,60
19,1.998997,0.281713,1.830498,0.318500,61
2,1.979933,0.285714,1.870332,0.297900,62
4,1.963912,0.301562,1.849508,0.317700,63
6,1.958420,0.287204,1.856479,0.292200,64
1,1.983791,0.293743,1.871403,0.305500,65
7,1.966252,0.289283,1.837678,0.296500,66
5,1.958793,0.306260,1.855763,0.295800,67
8,1.967921,0.301804,1.804727,0.339400,68
10,1.968087,0.300000,1.860712,0.301000,69
9,1.974605,0.283540,1.886425,0.291500,70
13,1.926298,0.316740,1.825064,0.323700,71
11,1.965369,0.306413,1.880890,0.301700,72
12,1.952738,0.309984,1.843543,0.317100,73
14,1.960827,0.302568,1.812614,0.325100,74
15,1.949436,0.303104,1.832201,0.315600,75
16,1.957369,0.308222,1.789699,0.343500,76
17,1.946134,0.312327,1.798539,0.328500,77
3,1.945902,0.302883,1.833257,0.315600,78
18,1.951251,0.303803,1.813245,0.312300,79
19,1.965383,0.297719,1.838841,0.312900,80
0,1.934377,0.312122,1.802488,0.317900,81
2,1.924276,0.318620,1.794072,0.331500,82
4,1.930849,0.328795,1.811655,0.324300,83
6,1.923462,0.317288,1.831558,0.297800,84
1,1.933516,0.320845,1.801727,0.329800,85
5,1.919196,0.325277,1.787037,0.342500,86
8,1.934855,0.328257,1.762636,0.356700,87
7,1.930368,0.313860,1.758133,0.349600,88
10,1.926689,0.311067,1.822199,0.321800,89
11,1.930673,0.313539,1.791114,0.327700,90
9,1.944737,0.317181,1.779980,0.337800,91
14,1.918753,0.319422,1.775395,0.331800,92
13,1.897257,0.344841,1.755978,0.338600,93
12,1.929506,0.326892,1.779919,0.327900,94
16,1.928887,0.306602,1.810485,0.326000,95
15,1.914273,0.320435,1.790323,0.336800,96
17,1.916938,0.328181,1.780758,0.330700,97
3,1.910099,0.322777,1.785128,0.345600,98
19,1.933872,0.312125,1.734181,0.367600,99
18,1.921084,0.326052,1.826705,0.305400,100
0,1.905650,0.331454,1.784351,0.325000,101
6,1.906355,0.330927,1.789388,0.337600,102
2,1.908223,0.333066,1.781874,0.329600,103
