total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,49.246
0,0.000000,0.000000,2.451780,0.121400,61.305
3,1.497477,0.600081,2.394247,0.107500,64.385
5,1.703414,0.446073,2.317784,0.092700,74.712
5,0.000000,0.000000,2.317784,0.092700,90.427
7,1.037253,0.833158,2.361925,0.101800,113.273
8,1.246960,0.740075,2.399934,0.100200,122.667
10,1.040309,0.814709,2.502790,0.100000,131.511
12,1.203567,0.729651,2.501649,0.137400,144.929
13,1.914752,0.386249,2.378815,0.103300,159.799
15,2.070919,0.280936,2.400145,0.103900,166.345
17,1.254184,0.779956,2.489163,0.100000,173.182
18,1.483527,0.514882,2.523001,0.140200,197.914
18,0.000000,0.000000,2.523001,0.140200,211.272
22,1.507572,0.546159,2.408286,0.133300,219.384
23,1.483382,0.590783,2.566598,0.113300,240.402
24,1.572263,0.474876,2.489850,0.155800,251.220
26,0.943305,0.851437,2.457418,0.100000,258.808
28,1.217158,0.729640,2.338046,0.161800,276.046
29,1.062424,0.765967,2.444114,0.108800,292.484
31,0.990969,0.806222,2.415079,0.125000,302.036
33,1.125740,0.737039,2.360677,0.170000,322.239
35,2.613970,0.016563,2.207561,0.179700,329.668
37,1.475975,0.558544,2.342114,0.154200,344.116
38,1.388837,0.568636,2.335203,0.157700,358.793
40,1.340537,0.659214,2.413474,0.151000,374.070
41,1.370809,0.630781,2.493368,0.160000,389.670
43,1.391615,0.590557,2.340782,0.169000,400.602
43,0.000000,0.000000,2.340782,0.169000,404.736
46,1.236300,0.655238,2.302885,0.124100,419.638
46,0.000000,0.000000,2.302885,0.124100,445.528
49,1.071404,0.767521,2.347639,0.134000,451.018
51,0.803915,0.897109,2.422099,0.142200,466.810
51,0.000000,0.000000,2.422099,0.142200,487.741
53,1.796463,0.430913,2.278749,0.137900,491.184
55,0.983313,0.779548,2.151314,0.188000,503.571
56,1.501954,0.629986,2.560527,0.100000,514.369
58,1.397865,0.547676,2.270013,0.190000,526.719
59,1.402373,0.639814,2.341403,0.168600,539.308
61,1.351796,0.613802,2.434290,0.170500,551.659
62,1.284792,0.680124,2.356702,0.135800,569.197
64,1.432847,0.527540,2.393454,0.168700,581.008
66,1.089141,0.752274,2.336005,0.192600,592.736
67,1.584430,0.529874,2.388898,0.135500,614.973
67,0.000000,0.000000,2.388898,0.135500,619.902
71,0.978311,0.810530,2.365998,0.128300,644.387
71,0.000000,0.000000,2.365998,0.128300,657.426
76,1.179785,0.697871,2.478722,0.100200,684.061
76,0.000000,0.000000,2.478722,0.100200,697.452
76,0.000000,0.000000,2.478722,0.100200,701.116
81,1.338866,0.602809,2.428280,0.157200,721.139
81,0.000000,0.000000,2.428280,0.157200,745.591
83,0.910899,0.839368,2.411180,0.165900,752.339
85,1.413333,0.535830,2.287213,0.212400,763.437
86,1.295051,0.645669,2.203053,0.239300,781.573
88,1.145690,0.743829,2.156721,0.206600,794.805
90,0.888534,0.848559,2.251594,0.176000,801.523
92,0.985118,0.813298,2.111850,0.204600,816.995
92,0.000000,0.000000,2.111850,0.204600,838.250
95,1.043552,0.756923,2.195844,0.181700,842.383
96,1.419696,0.636864,2.631488,0.101400,853.344
97,1.244480,0.714950,2.180598,0.192800,867.805
99,1.440993,0.548397,2.105353,0.213100,886.560
