time_sec,round,test_acc,updates_per_sec,tau_bin_0,tau_bin_1,tau_bin_2,tau_bin_3,tau_bin_4,tau_bin_5,tau_bin_6_10,tau_bin_11_20,tau_bin_21p,align_mean,fairness_gini,method,alpha,K,timeout,m,seed,strag_frac
10.364,300,0.100000,28.945716,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
11.932,300,0.100000,25.142272,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
14.423,300,0.100000,20.799494,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
17.269,300,0.100000,17.372648,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
19.459,300,0.100000,15.416690,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
20.152,300,0.100000,14.887218,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
20.834,300,0.100000,14.399497,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
21.510,300,0.100000,13.946749,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
22.203,300,0.100000,13.511954,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
22.877,300,0.100000,13.113894,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
23.567,300,0.100000,12.729859,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
24.253,300,0.100000,12.369666,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
24.937,300,0.100000,12.030100,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
25.618,300,0.100000,11.710296,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
26.306,300,0.100000,11.404122,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
27.005,300,0.100000,11.108958,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,10.000000,8,0.500000,20,1,0.300000
