lr,batch_size,weight_decay,optimizer,momentum,best_test_acc,best_epoch,final_test_acc,final_train_acc
0.001,64,0.0,adam,0.0,18.2400,26,17.7500,18.1940
0.001,64,0.0,sgd,0.9,63.6900,30,63.6900,62.4880
0.001,64,0.0005,adam,0.0,67.5300,30,67.5300,65.8980
0.001,64,0.0005,sgd,0.9,65.3700,30,65.3700,63.7900
0.001,128,0.0,adam,0.0,53.9200,28,52.7100,54.0980
0.001,128,0.0,sgd,0.9,59.0400,29,58.9800,56.9440
0.001,128,0.0005,adam,0.0,52.2400,30,52.2400,47.7360
0.001,128,0.0005,sgd,0.9,59.8600,30,59.8600,57.3680
0.01,64,0.0,adam,0.0,10.0000,1,10.0000,10.0000
0.01,64,0.0,sgd,0.9,68.1200,30,68.1200,66.7480
0.01,64,0.0005,adam,0.0,10.0000,1,10.0000,10.0220
0.01,64,0.0005,sgd,0.9,71.8200,27,71.5900,70.7220
0.01,128,0.0,adam,0.0,10.0000,1,10.0000,10.0000
0.01,128,0.0,sgd,0.9,70.2100,30,70.2100,67.6000
0.01,128,0.0005,adam,0.0,10.0000,1,10.0000,10.0000
0.01,128,0.0005,sgd,0.9,72.8800,29,72.8500,71.3880
0.05,64,0.0,adam,0.0,10.0000,1,10.0000,10.0000
0.05,64,0.0,sgd,0.9,13.3200,10,10.0000,10.0000
0.05,64,0.0005,adam,0.0,10.0000,1,10.0000,9.9760
0.05,64,0.0005,sgd,0.9,10.0000,1,10.0000,10.0000
0.05,128,0.0,adam,0.0,10.0000,1,10.0000,10.0000
0.05,128,0.0,sgd,0.9,15.7100,1,10.0000,10.0000
0.05,128,0.0005,adam,0.0,10.0000,1,10.0000,10.0000
0.05,128,0.0005,sgd,0.9,41.8200,29,40.9500,42.8760
0.1,64,0.0,adam,0.0,10.0000,1,10.0000,10.0000
0.1,64,0.0,sgd,0.9,10.0000,1,10.0000,10.0000
0.1,64,0.0005,adam,0.0,10.0000,1,10.0000,10.0000
0.1,64,0.0005,sgd,0.9,10.0000,1,10.0000,10.0000
0.1,128,0.0,adam,0.0,10.0000,1,10.0000,10.0000
0.1,128,0.0,sgd,0.9,10.0000,1,10.0000,10.0000
0.1,128,0.0005,adam,0.0,10.0000,1,10.0000,10.0000
0.1,128,0.0005,sgd,0.9,10.0000,1,10.0000,10.0000
