lr,batch_size,weight_decay,optimizer,momentum,best_test_acc,best_epoch,final_test_acc,final_train_acc
0.001,32,0.0,adam,0.0,10.0000,1,10.0000,10.0000
0.001,32,0.0,sgd,0.9,73.3200,49,72.7500,72.1580
0.001,32,0.0001,adam,0.0,39.4700,49,37.2400,38.0300
0.001,32,0.0001,sgd,0.9,73.9800,49,72.4900,72.2920
0.001,32,0.0005,adam,0.0,10.0000,1,10.0000,9.9820
0.001,32,0.0005,sgd,0.9,75.3100,49,73.5800,74.1200
0.001,64,0.0,adam,0.0,20.4500,46,18.5800,17.6760
0.001,64,0.0,sgd,0.9,69.2700,49,68.9500,68.3460
0.001,64,0.0001,adam,0.0,75.9200,44,75.6800,76.0700
0.001,64,0.0001,sgd,0.9,70.6000,50,70.6000,68.6700
0.001,64,0.0005,adam,0.0,72.0100,46,71.6500,71.2240
0.001,64,0.0005,sgd,0.9,71.7900,48,71.4400,70.3840
