total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
1,2.058740,0.250604,2.303821,0.100000,1764434492.373
2,1.939927,0.266326,2.306615,0.100000,1764434505.898
3,1.930131,0.259438,2.308491,0.100600,1764434519.650
4,2.028390,0.261021,2.309833,0.113300,1764434533.013
5,1.972948,0.271463,2.311703,0.131100,1764434546.316
6,1.995553,0.255512,2.312583,0.122500,1764434825.994
7,1.959436,0.260324,2.311939,0.123500,1764434843.027
8,1.873090,0.304804,2.310613,0.122800,1764434858.695
9,2.078598,0.241255,2.310363,0.119900,1764434874.201
10,1.897829,0.290693,2.310264,0.120700,1764434889.667
11,2.012532,0.233693,2.309072,0.100000,1764435160.261
12,2.041681,0.242400,2.308025,0.100000,1764435173.743
13,2.035779,0.228940,2.307235,0.100000,1764435186.616
14,2.059862,0.238521,2.306839,0.100000,1764435200.079
15,2.117151,0.226964,2.306602,0.100000,1764435216.131
16,2.027532,0.231618,2.305520,0.109400,1764441346.112
17,1.874063,0.282477,2.305405,0.115500,1764441359.150
18,1.926506,0.279107,2.305589,0.086900,1764441373.867
19,2.004328,0.234686,2.305932,0.094400,1764441386.630
20,1.974923,0.260417,2.306289,0.095600,1764441399.316
21,2.303595,0.105182,2.304542,0.099500,1764441780.947
22,2.300984,0.121224,2.303965,0.098300,1764441793.665
23,2.306043,0.093976,2.303574,0.098700,1764441807.008
24,2.304531,0.104351,2.303383,0.098600,1764441819.532
25,2.319802,0.107002,2.303279,0.098800,1764441832.595
26,2.228426,0.142970,2.303409,0.099800,1764442128.595
27,2.306217,0.099717,2.303222,0.100500,1764442141.201
28,2.302461,0.112988,2.303082,0.099800,1764442153.842
29,2.305152,0.095951,2.302949,0.100100,1764442167.271
30,2.303579,0.112992,2.302881,0.099900,1764442179.780
31,2.304699,0.095238,2.302521,0.100000,1764442451.812
32,2.303595,0.097944,2.302202,0.100000,1764442464.509
33,2.285568,0.117200,2.302122,0.100000,1764442477.040
34,2.305317,0.097521,2.302129,0.100000,1764442490.086
35,2.225989,0.149182,2.302037,0.100000,1764442502.804
36,2.308499,0.112580,2.302053,0.100000,1764442777.445
37,2.303564,0.099150,2.301996,0.100000,1764442790.271
38,2.293761,0.124105,2.301994,0.100000,1764442802.899
39,2.298388,0.123206,2.301945,0.100000,1764442816.065
40,2.304101,0.103350,2.301878,0.100000,1764442828.869
41,2.225842,0.159717,2.301555,0.100400,1764443068.311
42,2.370483,0.123357,2.301419,0.101300,1764443081.163
43,2.339621,0.103143,2.301397,0.101500,1764443094.022
44,2.300401,0.127309,2.301283,0.101400,1764443106.870
45,2.300083,0.113672,2.301256,0.101100,1764443119.840
46,2.264038,0.158661,2.300825,0.103100,1764443407.965
47,2.218153,0.149980,2.300779,0.102700,1764443421.983
48,2.303930,0.093927,2.300633,0.104700,1764443435.711
49,2.310541,0.110618,2.300536,0.104700,1764443449.377
50,2.304583,0.086337,2.300527,0.105100,1764443462.850
51,2.330446,0.113645,2.300415,0.103300,1764443713.873
52,2.303257,0.102513,2.300358,0.101400,1764443728.325
53,2.303651,0.086400,2.300412,0.101900,1764443741.484
54,2.294490,0.108899,2.300333,0.101200,1764443754.869
55,2.304313,0.104393,2.300310,0.101200,1764443768.344
56,2.303135,0.103350,2.299984,0.104100,1764444004.896
57,2.304183,0.093079,2.299859,0.105000,1764444018.462
58,2.301749,0.094498,2.299817,0.100300,1764444031.809
59,2.300559,0.101983,2.299710,0.100300,1764444047.485
60,2.299466,0.121795,2.299694,0.100300,1764444064.994
61,2.303340,0.094741,2.299482,0.103800,1764444340.121
62,2.217593,0.147522,2.299299,0.100000,1764444375.187
63,2.295747,0.108903,2.299229,0.100000,1764444400.445
64,2.306382,0.096696,2.299180,0.100000,1764444422.640
65,2.293034,0.100402,2.299151,0.100000,1764444436.143
66,2.302796,0.100000,2.299101,0.100000,1764444450.597
67,2.229258,0.145743,2.298797,0.100000,1764444675.313
68,2.193805,0.144933,2.298589,0.100000,1764444691.918
69,2.251675,0.151969,2.298526,0.100000,1764444707.421
70,2.302431,0.112988,2.298524,0.100000,1764444721.428
71,2.304053,0.101200,2.298522,0.100000,1764444735.800
72,2.228066,0.153164,2.298466,0.100000,1764444913.342
73,2.298014,0.109649,2.298427,0.100000,1764445012.495
74,2.287215,0.112556,2.298351,0.100000,1764445040.669
75,2.303579,0.096839,2.298336,0.100000,1764445059.642
76,2.217079,0.148385,2.298276,0.100000,1764445073.977
77,2.303217,0.096659,2.298291,0.100000,1764445087.929
78,2.305151,0.094992,2.298243,0.099400,1764445337.729
79,2.292917,0.120650,2.298043,0.095700,1764445356.899
80,2.304083,0.102163,2.297937,0.097000,1764445370.324
81,2.293668,0.116013,2.297847,0.102200,1764445384.230
82,2.306726,0.096317,2.297841,0.100200,1764445397.647
83,2.292648,0.128916,2.297479,0.093700,1764445631.881
84,2.320158,0.106216,2.297401,0.095700,1764445650.364
85,2.269873,0.151894,2.297398,0.095000,1764445663.932
86,2.333577,0.111425,2.297335,0.097100,1764445677.291
87,2.198778,0.157085,2.297269,0.099600,1764445690.127
88,2.308527,0.104544,2.296964,0.102300,1764445963.282
89,2.175822,0.166929,2.296792,0.102000,1764445977.146
90,2.241453,0.144700,2.296736,0.101900,1764445991.239
91,2.302125,0.107600,2.296652,0.102400,1764446006.268
92,2.120264,0.198812,2.296589,0.102900,1764446020.786
93,2.305532,0.092239,2.296300,0.099500,1764446299.074
94,2.305146,0.111774,2.296224,0.096500,1764446341.336
95,2.234350,0.143657,2.296181,0.094400,1764446369.751
96,2.205826,0.161149,2.296102,0.094800,1764446402.537
97,2.298835,0.115231,2.296077,0.093100,1764446417.514
98,2.233704,0.146264,2.296032,0.096500,1764446432.826
99,2.158088,0.180201,2.295614,0.100000,1764446650.861
100,2.251918,0.130310,2.295502,0.100000,1764446665.828
101,2.148536,0.175233,2.295352,0.100000,1764446681.456
102,2.312399,0.098394,2.295264,0.100000,1764446696.315
103,2.308133,0.091747,2.295188,0.100000,1764446710.965
104,2.312589,0.115866,2.294942,0.098700,1764446932.214
105,2.303402,0.088513,2.294836,0.099700,1764446947.959
106,2.304779,0.108907,2.294773,0.100200,1764446957.097
107,2.303473,0.095890,2.294726,0.101100,1764446971.296
108,2.269033,0.141782,2.294688,0.100000,1764446984.575
109,2.158823,0.184478,2.294046,0.095700,1764447250.281
110,2.214455,0.154001,2.293923,0.098700,1764447263.718
111,2.289249,0.128346,2.293966,0.095900,1764447277.047
112,2.303333,0.101600,2.293909,0.095500,1764447290.141
113,2.158182,0.180169,2.293803,0.096000,1764447302.893
114,2.305229,0.107711,2.293567,0.100000,1764447451.585
115,2.146938,0.182217,2.293400,0.100200,1764447542.342
116,2.318076,0.092037,2.293366,0.100100,1764447573.660
117,2.304588,0.095732,2.293267,0.099200,1764447585.128
118,2.107861,0.196897,2.293096,0.099300,1764447598.728
119,2.303434,0.095103,2.293047,0.098100,1764447612.910
120,2.195427,0.163052,2.292792,0.099400,1764447904.647
121,2.232100,0.155839,2.292647,0.101100,1764447917.690
122,2.367328,0.111829,2.292697,0.101700,1764447931.668
123,2.252272,0.145433,2.292728,0.100500,1764447944.437
124,2.247251,0.129902,2.292740,0.101300,1764447957.913
125,2.115590,0.172699,2.291408,0.101600,1764448148.044
126,2.141791,0.186931,2.291067,0.101300,1764448162.159
127,2.304502,0.104754,2.290945,0.101900,1764448176.549
128,2.142735,0.187449,2.290822,0.103500,1764448190.492
129,2.189890,0.165354,2.290762,0.103800,1764448205.040
130,2.305658,0.100954,2.290473,0.103900,1764448352.976
131,2.304079,0.094271,2.290373,0.102800,1764448475.615
132,2.305120,0.101200,2.290212,0.102000,1764448499.285
133,2.099547,0.203458,2.290023,0.102100,1764448514.273
134,2.140304,0.178154,2.289879,0.102200,1764448529.447
135,2.169262,0.161085,2.289798,0.102000,1764448544.948
136,2.338372,0.128083,2.289730,0.102500,1764448824.062
137,2.127305,0.184874,2.289401,0.101800,1764448838.438
138,2.332768,0.118980,2.289223,0.101800,1764448853.324
139,2.303700,0.097726,2.289121,0.102000,1764448868.161
140,2.084587,0.202614,2.288883,0.102100,1764448881.217
