client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg,staleness
3,2.058740,0.250604,2.303821,0.100000,1,0.0
4,1.939927,0.266326,2.306615,0.100000,2,1.0
1,1.930131,0.259438,2.308491,0.100600,3,2.0
0,2.028390,0.261021,2.309833,0.113300,4,3.0
2,1.972948,0.271463,2.311703,0.131100,5,4.0
8,1.995553,0.255512,2.312583,0.122500,6,0.0
5,1.959436,0.260324,2.311939,0.123500,7,1.0
9,1.873090,0.304804,2.310613,0.122800,8,2.0
7,2.078598,0.241255,2.310363,0.119900,9,3.0
6,1.897829,0.290693,2.310264,0.120700,10,4.0
12,2.012532,0.233693,2.309072,0.100000,11,0.0
11,2.041681,0.242400,2.308025,0.100000,12,1.0
13,2.035779,0.228940,2.307235,0.100000,13,2.0
14,2.059862,0.238521,2.306839,0.100000,14,3.0
10,2.117151,0.226964,2.306602,0.100000,15,4.0
16,2.027532,0.231618,2.305520,0.109400,16,0.0
17,1.874063,0.282477,2.305405,0.115500,17,1.0
18,1.926506,0.279107,2.305589,0.086900,18,2.0
15,2.004328,0.234686,2.305932,0.094400,19,3.0
19,1.974923,0.260417,2.306289,0.095600,20,4.0
0,2.303595,0.105182,2.304542,0.099500,21,0.0
2,2.300984,0.121224,2.303965,0.098300,22,1.0
1,2.306043,0.093976,2.303574,0.098700,23,2.0
3,2.304531,0.104351,2.303383,0.098600,24,3.0
4,2.319802,0.107002,2.303279,0.098800,25,4.0
6,2.228426,0.142970,2.303409,0.099800,26,0.0
9,2.306217,0.099717,2.303222,0.100500,27,1.0
7,2.302461,0.112988,2.303082,0.099800,28,2.0
5,2.305152,0.095951,2.302949,0.100100,29,3.0
8,2.303579,0.112992,2.302881,0.099900,30,4.0
12,2.304699,0.095238,2.302521,0.100000,31,0.0
13,2.303595,0.097944,2.302202,0.100000,32,1.0
11,2.285568,0.117200,2.302122,0.100000,33,2.0
14,2.305317,0.097521,2.302129,0.100000,34,3.0
10,2.225989,0.149182,2.302037,0.100000,35,4.0
19,2.308499,0.112580,2.302053,0.100000,36,0.0
17,2.303564,0.099150,2.301996,0.100000,37,1.0
15,2.293761,0.124105,2.301994,0.100000,38,2.0
18,2.298388,0.123206,2.301945,0.100000,39,3.0
16,2.304101,0.103350,2.301878,0.100000,40,4.0
4,2.225842,0.159717,2.301555,0.100400,41,0.0
0,2.370483,0.123357,2.301419,0.101300,42,1.0
3,2.339621,0.103143,2.301397,0.101500,43,2.0
1,2.300401,0.127309,2.301283,0.101400,44,3.0
2,2.300083,0.113672,2.301256,0.101100,45,4.0
8,2.264038,0.158661,2.300825,0.103100,46,0.0
7,2.218153,0.149980,2.300779,0.102700,47,1.0
5,2.303930,0.093927,2.300633,0.104700,48,2.0
9,2.310541,0.110618,2.300536,0.104700,49,3.0
6,2.304583,0.086337,2.300527,0.105100,50,4.0
12,2.330446,0.113645,2.300415,0.103300,51,0.0
10,2.303257,0.102513,2.300358,0.101400,52,1.0
11,2.303651,0.086400,2.300412,0.101900,53,2.0
14,2.294490,0.108899,2.300333,0.101200,54,3.0
13,2.304313,0.104393,2.300310,0.101200,55,4.0
16,2.303135,0.103350,2.299984,0.104100,56,0.0
15,2.304183,0.093079,2.299859,0.105000,57,1.0
18,2.301749,0.094498,2.299817,0.100300,58,2.0
17,2.300559,0.101983,2.299710,0.100300,59,3.0
19,2.299466,0.121795,2.299694,0.100300,60,4.0
0,2.303340,0.094741,2.299482,0.103800,61,0.0
4,2.217593,0.147522,2.299299,0.100000,62,1.0
2,2.295747,0.108903,2.299229,0.100000,63,2.0
3,2.306382,0.096696,2.299180,0.100000,64,3.0
1,2.293034,0.100402,2.299151,0.100000,65,4.0
5,2.302796,0.100000,2.299101,0.100000,66,4.0
6,2.229258,0.145743,2.298797,0.100000,67,0.0
