client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
3,1.883479,0.398596,3.925761,0.100000,0
2,1.586323,0.359081,9.818055,0.100000,1
0,1.738653,0.368641,5.330372,0.100000,1
1,1.585928,0.517368,2.603321,0.100000,1
4,1.653008,0.345522,7.668223,0.145000,1
2,0.000000,0.000000,9.818055,0.100000,1
3,0.000000,0.000000,3.925761,0.100000,2
4,0.000000,0.000000,7.668223,0.145000,2
0,0.000000,0.000000,5.330372,0.100000,2
1,0.000000,0.000000,2.603321,0.100000,2
5,0.000000,0.000000,7.073313,0.100000,2
7,0.000000,0.000000,8.601146,0.100000,3
8,2.128606,0.294567,2.307932,0.100000,3
6,2.246782,0.173540,2.302817,0.100400,3
9,2.178928,0.215090,2.682222,0.161500,3
3,0.000000,0.000000,3.925761,0.100000,3
2,0.000000,0.000000,9.818055,0.100000,4
0,0.000000,0.000000,5.330372,0.100000,4
4,0.000000,0.000000,7.668223,0.145000,4
1,0.000000,0.000000,2.603321,0.100000,4
5,0.000000,0.000000,7.073313,0.100000,4
3,1.884509,0.405263,3.269081,0.100000,0
2,1.587109,0.335421,8.524541,0.100000,1
0,1.748529,0.377259,7.012307,0.100000,1
4,1.550126,0.378706,4.055177,0.152800,1
1,1.570502,0.517368,2.327849,0.100000,1
5,2.269665,0.190243,2.497019,0.100000,2
7,1.502841,0.554950,12.619484,0.101400,2
6,2.223716,0.171648,2.325767,0.122500,2
8,2.095974,0.338247,2.812076,0.137300,3
2,1.587109,0.335421,8.524541,0.100000,3
3,1.884509,0.405263,3.269081,0.100000,3
9,1.858283,0.357947,3.244724,0.132500,3
0,1.748529,0.377259,7.012307,0.100000,3
