total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
1,2.0598808734974385,0.20441863113540598,2.59392027015686,0.1,1764298465.857381
2,2.059188682551591,0.20441863113540598,2.6056357025146486,0.1,1764298505.231756
3,2.2386187574277683,0.18816874874483253,2.5168645347595215,0.1,1764298537.981193
4,2.0588776662889745,0.20441863113540598,2.5269009574890138,0.1,1764298561.610542
5,2.224429463480462,0.1879906870972982,2.387992827987671,0.1,1764298596.3855
6,2.0571030151489698,0.17788406787381847,2.4152086296081543,0.1,1764298613.4751968
7,2.2069242072942297,0.20431952142165918,2.4474259506225584,0.1,1764298652.1012638
8,2.0597469398038912,0.20441863113540598,2.3420481845855714,0.1,1764298665.191299
9,2.172594539719892,0.1879906870972982,2.386839548873901,0.1,1764298693.6078799
10,2.186674301016916,0.20441863113540598,2.4436168968200684,0.1,1764298716.693661
11,2.097362344187059,0.20441863113540598,2.5319778366088865,0.1,1764298757.097835
12,2.2129551879416,0.20431952142165918,2.5327059272766115,0.1,1764298768.182336
13,2.239601489234948,0.15566625155666253,2.515496615600586,0.1,1764298782.375273
14,2.0965459633492594,0.20441863113540598,2.497084938430786,0.1,1764298809.870881
15,2.095837810916247,0.20441863113540598,2.5267754066467285,0.1,1764298851.602429
16,2.26457387750799,0.1879906870972982,2.3360499313354492,0.1,1764298871.0377321
17,2.302585125787493,0.012360341338963667,2.3025851249694824,0.1,1764298888.513634
18,2.0964256550154943,0.20441863113540598,2.3025851249694824,0.1,1764298910.7870662
19,2.302585127060159,0.14189727821432638,2.3025851249694824,0.1,1764298949.539579
20,2.265208063195836,0.1879906870972982,2.3025851249694824,0.1,1764298957.4942038
21,2.302585125787493,0.012360341338963667,2.3025851249694824,0.1,1764298997.271889
22,2.302585127060159,0.14189727821432638,2.3025851249694824,0.1,1764299003.062471
23,2.3025851249694824,0.1879906870972982,2.3025851249694824,0.1,1764299042.804399
24,2.302585127060159,0.14189727821432638,2.3025851249694824,0.1,1764299048.9627268
25,2.302585127060159,0.14189727821432638,2.3025851249694824,0.1,1764299088.2388659
