total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
5,2.1231109055607953,0.21085581085609129,2.2869100273132323,0.1255,1765381035.7256372
10,2.0723334568677974,0.23013375295043273,2.2308699794769287,0.1893,1765381119.662459
5,2.0939203386437404,0.233682514101531,2.2910438934326174,0.1205,1765381299.766285
10,2.110994514141357,0.21763560561586018,2.229921118545532,0.1928,1765381379.3493319
5,2.125539579460364,0.21422970329412255,2.289230517578125,0.1232,1765381513.152546
10,2.067390901607215,0.2516932726441187,2.227740880584717,0.1928,1765381574.768333
5,2.1579133972795246,0.1970889063729347,2.290516272354126,0.1188,1765382281.119992
10,2.0708118840841245,0.23772063975280186,2.2281583637237548,0.1908,1765382364.615577
15,2.0559720559724197,0.22305271439811172,2.190648334503174,0.1809,1765382442.2653282
20,2.004232164192934,0.24960648395354182,2.1517447750091554,0.1908,1765382515.756181
25,1.9874397606043857,0.25501681901620404,2.1165644035339355,0.2005,1765382586.509322
30,1.9416206069183821,0.2757157021661921,2.071986499404907,0.213,1765382648.845682
5,2.1467046184299687,0.20298977183320221,2.2903121147155763,0.1233,1765383079.291882
10,2.1374471285134953,0.2081038552321007,2.2289373905181886,0.1896,1765383131.255187
15,2.0698867408803463,0.2143981117230527,2.1882782627105715,0.188,1765383188.3196118
20,2.0166589493455143,0.23918174665617625,2.1495090129852295,0.1998,1765383240.452019
25,1.973596695274185,0.24980330448465776,2.108606809997559,0.2072,1765383298.423423
30,1.9299268811636323,0.28206136900078677,2.0686981494903565,0.2159,1765383357.545814
35,1.9659999906054355,0.27111092044982277,2.026331813621521,0.227,1765383421.1273699
40,1.9782086998938777,0.24671307037896364,1.9816831087112428,0.2443,1765383484.4958248
45,1.8655037756988255,0.29331184528605964,1.9432805263519286,0.2609,1765383583.654619
50,1.8968308889914816,0.27123406184355864,1.9051305385589599,0.2762,1765383664.199947
55,1.8194549328172245,0.2971933314424427,1.8718795097351075,0.2866,1765383737.689309
60,1.8454732698041298,0.31672093124550815,1.8452768831253052,0.2969,1765383808.51954
65,1.8248766473493425,0.31134364117158886,1.8149576652526855,0.312,1765383893.105537
70,1.7787906776740554,0.31915739268680443,1.7845205261230468,0.3252,1765383964.089885
75,1.70869703645035,0.3623356535189482,1.7662351177215576,0.3336,1765384055.9192839
80,1.7412449009600586,0.34694305238901024,1.7537652973175049,0.3374,1765384141.956523
85,1.7069022399969969,0.3348106365834005,1.7377405933380128,0.3427,1765384212.96637
90,1.7632882684076352,0.3261195794615013,1.7178432315826415,0.3504,1765384278.9709198
95,1.7734738051844432,0.3217938630999213,1.7060926765441895,0.3545,1765384340.1996548
100,1.683669898491929,0.35910107779663103,1.6982523735046386,0.3617,1765384404.366148
105,1.790408313130758,0.3289156626506024,1.6851735317230225,0.3674,1765384460.4844759
110,1.7009809495933563,0.3477911646586345,1.6737717779159547,0.3732,1765384524.364562
115,1.6850948050042733,0.3658312541058675,1.655435194015503,0.3804,1765384590.184913
120,1.6448753052963734,0.3860131969010091,1.6301187427520751,0.3909,1765384660.424395
125,1.6995066952061009,0.3612877583465819,1.6198915575027466,0.3932,1765384723.8764002
130,1.6735413855249175,0.371239800915369,1.607544429588318,0.4002,1765384793.231915
135,1.6881943649280302,0.37939397225374594,1.5986618350982666,0.4034,1765384858.463959
140,1.6053056017141696,0.39727388548903453,1.5897662048339845,0.4066,1765384922.443545
145,1.6441782181268776,0.3784510762980805,1.5761663681030273,0.412,1765384990.456589
150,1.6187479746775026,0.38244392884764117,1.575418062210083,0.411,1765385046.164004
155,1.598222768961323,0.3866976024748647,1.568240683555603,0.4112,1765385100.648941
160,2.0829511918674948,0.2614075792730085,1.5477341136932372,0.4197,1765385157.823655
165,1.6978851095798488,0.3762567672080433,1.527949960899353,0.4272,1765385226.518334
170,1.786256003822362,0.3654292343387471,1.5221185529708863,0.4284,1765385280.620202
175,1.6484633089494816,0.3665893271461717,1.526210431098938,0.4284,1765385341.067965
180,1.5870935478048185,0.4071925754060325,1.5262543111801148,0.4293,1765385394.829879
185,1.5371649835059924,0.43116782675947407,1.5198941612243653,0.4301,1765385453.94474
190,1.631651503801788,0.3937662482878148,1.5202168685913087,0.4326,1765385521.1864388
195,1.6015760548143503,0.40200803212851405,1.5102215980529785,0.4347,1765385583.6465201
200,1.5377627439242054,0.4366449156950044,1.4969955085754394,0.4417,1765385653.613269
