time_sec,round,test_acc,updates_per_sec,tau_bin_0,tau_bin_1,tau_bin_2,tau_bin_3,tau_bin_4,tau_bin_5,tau_bin_6_10,tau_bin_11_20,tau_bin_21p,align_mean,fairness_gini,method,alpha,K,timeout,m,seed,strag_frac
10.477,300,0.100700,28.632822,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
12.053,300,0.100700,24.889757,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
14.611,300,0.100700,20.531926,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
17.490,300,0.100700,17.152766,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
19.591,300,0.100700,15.313342,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
20.304,300,0.100700,14.775206,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
20.976,300,0.100700,14.301905,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
21.653,300,0.100700,13.854885,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
22.337,300,0.100700,13.430412,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
23.026,300,0.100700,13.029023,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
23.706,300,0.100700,12.654840,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
24.393,300,0.100700,12.298408,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
25.068,300,0.100700,11.967655,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
25.750,300,0.100700,11.650494,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
26.444,300,0.100700,11.344939,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
27.113,300,0.100700,11.064663,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
27.815,300,0.100700,10.785359,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedAsync,1000.000000,8,0.500000,20,1,0.100000
