time_sec,round,test_acc,updates_per_sec,tau_bin_0,tau_bin_1,tau_bin_2,tau_bin_3,tau_bin_4,tau_bin_5,tau_bin_6_10,tau_bin_11_20,tau_bin_21p,align_mean,fairness_gini,method,alpha,K,timeout,m,seed,strag_frac
5.498,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
8.689,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
10.550,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
13.103,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
15.208,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
15.921,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
16.608,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
17.273,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
17.939,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
18.627,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
19.327,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
20.002,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
20.669,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
21.350,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
22.025,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
22.765,0,0.095400,0.000000,0,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
23.532,1,0.063000,0.042496,1,0,0,0,0,0,0,0,0,NaN,0.000000,FedBuff,0.100000,8,0.500000,10,1,0.000000
24.301,2,0.100000,0.082303,0,1,0,0,0,0,0,0,0,NaN,0.085786,FedBuff,0.100000,8,0.500000,10,1,0.000000
25.321,3,0.100000,0.118480,0,0,2,0,0,0,0,0,0,NaN,0.302262,FedBuff,0.100000,8,0.500000,10,1,0.000000
26.656,4,0.100000,0.150059,0,0,0,3,0,0,0,0,0,NaN,0.454408,FedBuff,0.100000,8,0.500000,10,1,0.000000
28.553,4,0.100000,0.140088,0,0,0,0,0,0,0,0,0,NaN,0.454408,FedBuff,0.100000,8,0.500000,10,1,0.000000
31.751,4,0.100000,0.125979,0,0,0,0,0,0,0,0,0,NaN,0.454408,FedBuff,0.100000,8,0.500000,10,1,0.000000
33.687,4,0.100000,0.118739,0,0,0,0,0,0,0,0,0,NaN,0.454408,FedBuff,0.100000,8,0.500000,10,1,0.000000
34.891,4,0.100000,0.114642,0,0,0,0,0,0,0,0,0,NaN,0.454408,FedBuff,0.100000,8,0.500000,10,1,0.000000
35.754,4,0.100000,0.111877,0,0,0,0,0,0,0,0,0,NaN,0.454408,FedBuff,0.100000,8,0.500000,10,1,0.000000
36.608,5,0.100000,0.136581,0,0,1,0,1,0,0,0,0,NaN,0.437550,FedBuff,0.100000,8,0.500000,10,1,0.000000
37.330,6,0.100000,0.160729,0,0,1,0,0,0,0,0,0,NaN,0.505145,FedBuff,0.100000,8,0.500000,10,1,0.000000
38.038,7,0.100000,0.184024,0,0,0,1,0,0,0,0,0,NaN,0.476232,FedBuff,0.100000,8,0.500000,10,1,0.000000
38.722,7,0.100000,0.180776,0,0,0,0,0,0,0,0,0,NaN,0.476232,FedBuff,0.100000,8,0.500000,10,1,0.000000
40.011,7,0.100000,0.174950,0,0,0,0,0,0,0,0,0,NaN,0.476232,FedBuff,0.100000,8,0.500000,10,1,0.000000
40.902,8,0.100000,0.195587,0,0,0,1,0,0,0,0,0,NaN,0.499277,FedBuff,0.100000,8,0.500000,10,1,0.000000
41.921,8,0.100000,0.190833,0,0,0,0,0,0,0,0,0,NaN,0.499277,FedBuff,0.100000,8,0.500000,10,1,0.000000
43.995,9,0.100000,0.204568,0,0,0,0,2,0,0,0,0,NaN,0.430115,FedBuff,0.100000,8,0.500000,10,1,0.000000
45.276,10,0.100000,0.220866,0,0,0,0,0,1,0,0,0,NaN,0.428061,FedBuff,0.100000,8,0.500000,10,1,0.000000
46.208,10,0.100000,0.216414,0,0,0,0,0,0,0,0,0,NaN,0.428061,FedBuff,0.100000,8,0.500000,10,1,0.000000
48.011,10,0.100000,0.208285,0,0,0,0,0,0,0,0,0,NaN,0.428061,FedBuff,0.100000,8,0.500000,10,1,0.000000
48.890,10,0.100000,0.204541,0,0,0,0,0,0,0,0,0,NaN,0.428061,FedBuff,0.100000,8,0.500000,10,1,0.000000
49.845,11,0.100000,0.220683,0,0,0,1,0,0,1,0,0,NaN,0.399573,FedBuff,0.100000,8,0.500000,10,1,0.000000
50.782,12,0.100000,0.236305,0,0,0,0,0,1,0,0,0,NaN,0.367709,FedBuff,0.100000,8,0.500000,10,1,0.000000
52.066,12,0.100000,0.230475,0,0,0,0,0,0,0,0,0,NaN,0.367709,FedBuff,0.100000,8,0.500000,10,1,0.000000
53.373,12,0.100000,0.224834,0,0,0,0,0,0,0,0,0,NaN,0.367709,FedBuff,0.100000,8,0.500000,10,1,0.000000
54.290,13,0.100000,0.239456,0,0,0,0,1,1,0,0,0,NaN,0.361013,FedBuff,0.100000,8,0.500000,10,1,0.000000
55.268,13,0.100000,0.235218,0,0,0,0,0,0,0,0,0,NaN,0.361013,FedBuff,0.100000,8,0.500000,10,1,0.000000
56.259,14,0.100000,0.248847,0,0,0,1,0,1,0,0,0,NaN,0.366928,FedBuff,0.100000,8,0.500000,10,1,0.000000
58.014,14,0.100000,0.241322,0,0,0,0,0,0,0,0,0,NaN,0.366928,FedBuff,0.100000,8,0.500000,10,1,0.000000
59.222,15,0.100000,0.253284,0,0,0,0,1,0,0,0,0,NaN,0.350778,FedBuff,0.100000,8,0.500000,10,1,0.000000
60.129,15,0.100000,0.249465,0,0,0,0,0,0,0,0,0,NaN,0.350778,FedBuff,0.100000,8,0.500000,10,1,0.000000
61.937,15,0.100000,0.242183,0,0,0,0,0,0,0,0,0,NaN,0.350778,FedBuff,0.100000,8,0.500000,10,1,0.000000
63.565,16,0.100000,0.251711,0,0,0,1,0,1,0,0,0,NaN,0.348125,FedBuff,0.100000,8,0.500000,10,1,0.000000
64.456,17,0.100000,0.263745,0,0,0,0,1,0,0,0,0,NaN,0.309713,FedBuff,0.100000,8,0.500000,10,1,0.000000
65.569,17,0.100000,0.259268,0,0,0,0,0,0,0,0,0,NaN,0.309713,FedBuff,0.100000,8,0.500000,10,1,0.000000
