client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
4,1.770521,0.289817,7.456164,0.100000,0
3,0.936214,0.498861,4.478645,0.104100,1
1,1.313997,0.527646,42.301224,0.100000,1
0,0.589957,0.788010,13.045116,0.100000,1
2,0.957583,0.667686,19.036997,0.102200,1
7,1.268020,0.440808,12.015818,0.100000,2
6,0.702394,0.812456,7.371336,0.100000,2
8,0.527122,0.867565,11.506341,0.100000,2
5,1.284266,0.545052,10.440145,0.129300,3
9,0.286910,0.940913,14.788932,0.100000,3
4,1.770521,0.289817,7.456164,0.100000,3
1,1.313997,0.527646,42.301224,0.100000,3
3,0.936214,0.498861,4.478645,0.104100,3
0,0.589957,0.788010,13.045116,0.100000,4
7,1.268020,0.440808,12.015818,0.100000,4
2,0.957583,0.667686,19.036997,0.102200,4
6,0.702394,0.812456,7.371336,0.100000,4
5,1.284266,0.545052,10.440145,0.129300,4
8,0.527122,0.867565,11.506341,0.100000,5
9,0.286910,0.940913,14.788932,0.100000,5
4,1.770521,0.289817,7.456164,0.100000,5
1,1.313997,0.527646,42.301224,0.100000,5
0,0.589957,0.788010,13.045116,0.100000,5
3,0.936214,0.498861,4.478645,0.104100,6
7,1.268020,0.440808,12.015818,0.100000,6
6,0.702394,0.812456,7.371336,0.100000,6
2,0.957583,0.667686,19.036997,0.102200,6
5,1.284266,0.545052,10.440145,0.129300,6
8,0.527122,0.867565,11.506341,0.100000,7
9,0.286910,0.940913,14.788932,0.100000,7
4,1.770521,0.289817,7.456164,0.100000,7
1,1.313997,0.527646,42.301224,0.100000,7
0,0.589957,0.788010,13.045116,0.100000,7
3,0.936214,0.498861,4.478645,0.104100,8
7,1.268020,0.440808,12.015818,0.100000,8
2,0.957583,0.667686,19.036997,0.102200,8
6,0.702394,0.812456,7.371336,0.100000,8
5,1.284266,0.545052,10.440145,0.129300,8
8,0.527122,0.867565,11.506341,0.100000,9
9,0.286910,0.940913,14.788932,0.100000,9
4,1.770521,0.289817,7.456164,0.100000,9
1,1.313997,0.527646,42.301224,0.100000,9
0,0.589957,0.788010,13.045116,0.100000,9
