total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
5,2.0558816214458124,0.23630547780887645,2.2882489391326906,0.1067,1765048379.7945814
15,2.2976299828748847,0.10808421729347477,2.30275923576355,0.1,1765048438.459108
25,2.0951150118236885,0.19089891234804862,2.2171642471313477,0.1658,1765048497.5043845
35,1.9979122588536102,0.23032629558541268,1.9971710033416747,0.2496,1765048558.534996
45,1.9459981944933962,0.25135956493921946,1.9551355186462402,0.2642,1765048617.768807
50,1.901836061163828,0.2790421060978511,1.8387190286636352,0.3018,1765048624.505467
55,1.8811067606746121,0.2822296865003199,1.8543524185180664,0.299,1765048677.2724884
60,1.8722672802764262,0.2979145190706526,1.8070751724243164,0.3358,1765048686.6164644
65,1.8432726568486892,0.3122048819527811,1.7999521984100342,0.3244,1765048734.7626693
70,1.8194112223159513,0.3173207577331948,1.7545834018707276,0.3474,1765048748.4658792
75,1.8202157627208313,0.3204538241827991,1.7761991640090942,0.3384,1765048792.9916716
80,1.7846383150476193,0.3320060524010512,1.7297501419067383,0.3648,1765048810.6394436
85,1.7770331816453808,0.33580187928014016,1.727749285507202,0.3584,1765048851.8611116
90,1.7501907939295738,0.35025177843497723,1.7095901920318604,0.3709,1765048872.8194795
95,1.7512416097142514,0.34838146620120597,1.7174000902175903,0.3668,1765048911.8914118
100,1.7336890535735594,0.3536693191865606,1.6914130809783936,0.3818,1765048934.6359477
105,1.723064236729721,0.3571879438219978,1.6819080299377442,0.3844,1765048972.8130622
110,1.6945226713446078,0.3664496423117113,1.6535547687530519,0.3908,1765048993.0694494
115,1.697521388921535,0.3737262027016352,1.659280537223816,0.385,1765049029.6271117
120,1.6812990400248005,0.37431367868226306,1.6451654327392577,0.3948,1765049068.3229225
125,1.645231622911594,0.3855643675398542,1.601176233291626,0.4131,1765049087.1761756
130,1.6410860695218181,0.3881625861659139,1.591338893890381,0.4093,1765049118.2503474
135,1.6297448372840881,0.4007171314741036,1.5728423315048217,0.4232,1765049140.7225614
140,1.6077499548499208,0.4004778972520908,1.5645856025695801,0.429,1765049168.4160714
145,1.5915342252534141,0.40628230616302186,1.5473832439422608,0.432,1765049205.1900275
150,1.5651387702196071,0.4217147435897436,1.5429478076934815,0.43,1765049228.647709
155,1.5582378696459278,0.423572162098112,1.5074097522735597,0.4479,1765049256.9184365
160,1.5294049409595052,0.4292449061126648,1.4878779930114747,0.4484,1765049293.8197734
165,1.5201432793654908,0.437016354208217,1.5187703392028808,0.4448,1765049306.9096458
170,1.488084128093591,0.4597100071309722,1.4748654708862305,0.458,1765049345.9542196
175,1.4926100785513798,0.4502788844621514,1.4413194938659668,0.4697,1765049374.248127
180,1.4699038894973113,0.4506099019373356,1.4429819328308104,0.472,1765049394.3506217
185,1.4733756186424753,0.4554699292921268,1.4371956642150878,0.4695,1765049429.9000762
190,1.4412851540037455,0.4671474358974359,1.406269789505005,0.4843,1765049459.6120055
195,1.424191815063939,0.47651539193906695,1.379759289932251,0.4903,1765049483.8055336
200,1.4046599849406556,0.4816229116945107,1.3620134462356568,0.4974,1765049516.105109
205,1.3894576643870369,0.4845632229756681,1.3563945934295654,0.5058,1765049534.860171
210,1.3873786010640934,0.4955233341256636,1.3488365375518798,0.5026,1765049571.2640526
215,1.3551697647837664,0.4971896579412237,1.3350758262634277,0.5093,1765049604.340555
220,1.3408452205920542,0.5081098188147797,1.3153091758728028,0.5213,1765049619.3780913
225,1.3273991715626767,0.5191864622229284,1.2957169708251952,0.5266,1765049659.5230074
230,1.3218185410190086,0.5141826923076923,1.3053491664886474,0.5227,1765049692.9366152
235,1.2880921155185936,0.5295937797524596,1.2959343704223634,0.5253,1765049709.5034783
240,1.2941271826118093,0.5264250359252755,1.2667836954116822,0.5373,1765049744.0644321
245,1.2774395978226174,0.5315207886159472,1.2586500652313233,0.5429,1765049762.1460257
250,1.2688785865849277,0.5337065173930428,1.2415849390029907,0.5482,1765049801.7289557
255,1.2664588688293306,0.5371089108910891,1.228425435447693,0.5523,1765049834.7633994
260,1.241599270798034,0.5471233312142403,1.2708927661895753,0.5326,1765049854.1188812
265,1.228471749710794,0.5499959906984203,1.2225372150421143,0.5604,1765049890.184308
270,1.2166951171310472,0.5578220493689975,1.216498131942749,0.5543,1765049913.2098603
275,1.2190494721015674,0.5627591706539075,1.219784024810791,0.5593,1765049943.2834713
280,1.1826492209975104,0.5724159847461667,1.1897260845184325,0.5716,1765049977.4751804
285,1.1910939348519851,0.5718951645025093,1.1836412380218506,0.5721,1765049997.6344373
290,1.1803879065550213,0.569326723172877,1.1759464141845704,0.578,1765050031.5994818
295,1.1556476345119135,0.5788469184890656,1.1912975200653075,0.5746,1765050059.7243595
300,1.1319596428257404,0.5936633663366336,1.15195325756073,0.5855,1765050090.2385821
305,1.1451793356961761,0.5879235586960013,1.1440355318069457,0.5921,1765050111.358481
310,1.1114311715802156,0.5990483743061062,1.1386990341186523,0.5958,1765050139.3778317
315,1.0966398885540292,0.6050914876690533,1.1333283844947815,0.5947,1765050167.4361067
320,1.0796729519714319,0.607716785998409,1.1023871542930603,0.6089,1765050191.9611108
325,1.0596620496722884,0.6186630417399648,1.1222970403671264,0.6043,1765050222.9301183
330,1.059999687726668,0.6199159597240942,1.088216079711914,0.6136,1765050251.3424127
335,1.0414463597300336,0.6266879744306831,1.089128666496277,0.6128,1765050275.382576
340,1.0298910546222853,0.6264569695034329,1.0719655345916748,0.6185,1765050299.8558729
345,1.0108081321929958,0.6348929421094369,1.0697126945495605,0.623,1765050335.2960656
350,1.0073811062859843,0.6394590294351631,1.0537885710716248,0.626,1765050354.684962
355,0.9829087394886574,0.6482254697286013,1.0447889616012573,0.6332,1765050389.1963456
360,0.9651149294769018,0.6575613618368963,1.0385017906188965,0.6329,1765050415.2583263
365,0.9773354133695233,0.6486314954383181,1.0414391334533692,0.6331,1765050437.6689498
370,0.9601324929258854,0.6544783898644856,1.0256807140350341,0.6336,1765050471.3861687
375,0.9205820002770178,0.6749403341288783,1.007843888759613,0.6425,1765050495.6757667
380,0.9283149391022869,0.6659795449139776,1.0098219372749329,0.6437,1765050525.3097143
385,0.9108368482720122,0.676315368623061,1.0088661083221435,0.6504,1765050551.3620942
390,0.9072421812458701,0.6759888134238913,0.9981416240692139,0.6526,1765050573.7232094
395,0.9106268043050416,0.6739078728296203,0.9908643653869629,0.6504,1765050611.0370653
400,0.8861969073588299,0.6837268261765171,1.007343623828888,0.647,1765050634.0454044
405,0.8554771959365833,0.6940101034399807,0.9680035558700562,0.6625,1765050660.8237972
410,0.8586561510945225,0.6892376324384609,0.9613023834228516,0.6609,1765050689.633204
415,0.8451193056499212,0.694061757719715,0.9562500240325927,0.6606,1765050714.7090845
420,0.829040389070125,0.7020630097553174,0.9639196945190429,0.6669,1765050739.8631036
425,0.815253426101843,0.7114662405113863,0.956500439453125,0.6686,1765050773.3417034
430,0.8113870315415769,0.7103481239544333,0.9570282447814942,0.668,1765050800.5828018
