total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,81.123
0,0.000000,0.000000,2.451780,0.121400,149.113
0,0.000000,0.000000,2.451780,0.121400,169.751
8,2.232235,0.177461,2.205756,0.193400,197.348
10,2.231179,0.184680,2.202334,0.195100,238.294
10,0.000000,0.000000,2.202334,0.195100,274.875
13,2.144671,0.223704,2.105424,0.232300,302.332
15,2.145385,0.227500,2.094179,0.232900,323.234
18,2.146674,0.217812,2.093954,0.223400,358.384
19,2.156556,0.224890,2.096428,0.223800,386.551
22,2.073523,0.251371,1.978745,0.262500,407.469
25,2.045328,0.257189,1.941243,0.274600,457.482
27,2.034093,0.263484,1.935701,0.276200,507.208
29,2.030390,0.271783,1.901399,0.297300,536.381
34,1.980481,0.292173,1.884135,0.300800,565.416
35,1.982487,0.299114,1.874164,0.300700,599.758
37,1.978551,0.292046,1.857664,0.302600,641.424
39,1.965394,0.299539,1.823169,0.326300,669.138
42,1.950881,0.303622,1.821660,0.314500,699.444
44,1.937404,0.318273,1.790340,0.340000,733.485
45,1.936900,0.316085,1.792623,0.334200,761.580
50,1.930409,0.316589,1.775811,0.330200,797.685
53,1.912349,0.326887,1.754986,0.352300,838.198
54,1.926210,0.302767,1.754121,0.358400,870.923
56,1.913917,0.325868,1.774952,0.340500,899.142
59,1.911120,0.328820,1.740214,0.358700,936.147
61,1.904584,0.334677,1.746249,0.358400,976.909
63,1.890802,0.341767,1.717724,0.374100,998.324
65,1.876377,0.349213,1.741588,0.350800,1011.963
69,1.881094,0.343575,1.720185,0.364100,1069.014
71,1.868916,0.353996,1.729782,0.354600,1124.938
71,0.000000,0.000000,1.729782,0.354600,1146.827
77,1.869466,0.350945,1.686930,0.377600,1175.678
80,1.864408,0.355110,1.678022,0.381900,1215.907
83,1.848009,0.361293,1.677334,0.378700,1281.646
85,1.837049,0.359497,1.657249,0.390100,1329.269
86,1.842575,0.369583,1.655643,0.394300,1343.267
90,1.844195,0.363390,1.644269,0.397700,1356.551
92,1.835077,0.373363,1.646817,0.392800,1384.141
94,1.840917,0.373574,1.641323,0.398800,1424.069
96,1.838626,0.358245,1.633652,0.403100,1457.017
98,1.829810,0.367970,1.637684,0.400200,1491.530
101,1.832432,0.367921,1.632836,0.402900,1525.423
102,1.816613,0.365689,1.665444,0.387200,1559.683
105,1.812716,0.377141,1.610475,0.412200,1580.629
108,1.803613,0.380470,1.633567,0.398500,1601.519
110,1.812265,0.381278,1.634257,0.393300,1627.709
111,1.776535,0.391811,1.602616,0.413400,1656.440
114,1.805461,0.382751,1.603150,0.409200,1698.292
115,1.807638,0.373749,1.614739,0.410300,1738.799
117,1.801891,0.381029,1.618661,0.408200,1766.738
121,1.809522,0.380538,1.595132,0.413700,1788.081
125,1.783165,0.395898,1.607325,0.405900,1829.946
126,1.787950,0.394705,1.594128,0.409800,1870.170
128,1.778552,0.399480,1.610609,0.404700,1905.450
131,1.772462,0.398045,1.573289,0.427000,1933.193
135,1.786197,0.395270,1.580585,0.427300,1966.823
137,1.790037,0.386785,1.599488,0.414400,2022.939
138,1.780692,0.391393,1.574177,0.422600,2056.715
140,1.758999,0.405013,1.555643,0.433900,2077.026
145,1.775003,0.400512,1.562353,0.431500,2089.826
146,1.770603,0.394705,1.551739,0.430400,2133.375
148,1.754955,0.409872,1.557436,0.434600,2179.859
148,0.000000,0.000000,1.557436,0.434600,2201.774
152,1.760235,0.407273,1.577156,0.420200,2222.687
154,1.763575,0.400644,1.529987,0.444300,2241.737
158,1.767681,0.402291,1.558616,0.432800,2290.883
158,0.000000,0.000000,1.558616,0.432800,2337.610
160,1.748153,0.412771,1.534309,0.445200,2360.778
