total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,50.747
0,0.000000,0.000000,2.451780,0.121400,62.645
5,1.577159,0.544695,2.372441,0.109900,69.693
5,0.000000,0.000000,2.372441,0.109900,86.033
6,0.893578,0.902153,2.564346,0.100000,103.048
8,1.375202,0.676385,2.428427,0.100100,116.527
10,1.099337,0.776101,2.477715,0.103100,128.325
11,1.244352,0.632512,2.529825,0.100000,146.622
11,0.000000,0.000000,2.529825,0.100000,150.353
14,1.385256,0.634818,2.325518,0.105900,157.049
15,2.023607,0.310383,2.373638,0.102400,174.984
16,1.412899,0.763411,2.407289,0.100000,192.124
18,1.548322,0.497976,2.501306,0.147200,205.824
20,1.511632,0.557953,2.368525,0.124600,216.806
22,1.480809,0.577802,2.430984,0.121900,229.484
22,0.000000,0.000000,2.430984,0.121900,235.736
25,1.465274,0.559524,2.401647,0.152100,247.873
25,0.000000,0.000000,2.401647,0.152100,264.612
27,1.022050,0.811017,2.398360,0.120000,277.081
29,1.002161,0.803236,2.390898,0.171700,293.686
30,1.080000,0.765967,2.444246,0.114800,307.565
32,1.269559,0.708176,2.504262,0.100400,325.656
34,1.115748,0.730750,2.284937,0.177300,334.082
37,1.901509,0.350129,2.212163,0.182300,340.872
37,0.000000,0.000000,2.212163,0.182300,370.364
38,1.373486,0.582630,2.425632,0.154900,383.645
40,1.315637,0.712980,2.347929,0.143400,390.419
41,1.334512,0.637332,2.634569,0.133200,403.322
43,1.369750,0.592959,2.474791,0.171000,422.248
45,1.502717,0.527085,2.227824,0.181900,431.693
46,1.616203,0.515723,2.559313,0.106100,435.849
47,0.827668,0.899620,2.395004,0.144300,454.442
48,0.902649,0.866379,2.347987,0.124600,470.922
50,1.222067,0.712768,2.286086,0.186900,478.212
52,1.027203,0.783135,2.456991,0.104500,490.025
53,1.577298,0.551062,2.462363,0.126100,506.990
55,1.020460,0.771037,2.591899,0.102800,515.229
57,1.764909,0.372490,2.247323,0.152700,520.166
58,1.291909,0.609063,2.373495,0.179200,538.337
58,0.000000,0.000000,2.373495,0.179200,555.671
61,1.291258,0.653298,2.314196,0.176800,563.406
63,1.328227,0.594136,2.391798,0.210600,589.647
63,0.000000,0.000000,2.391798,0.210600,603.541
66,0.996403,0.815929,2.296623,0.167000,607.529
68,1.204813,0.675472,2.419620,0.118300,619.312
68,0.000000,0.000000,2.419620,0.118300,634.929
69,2.180428,0.174658,2.139305,0.189400,647.762
72,1.032211,0.788901,2.432360,0.120200,654.991
73,1.482977,0.573306,2.468739,0.122700,666.533
74,1.679604,0.552957,2.321596,0.103900,678.852
76,1.118414,0.708738,2.327628,0.180200,690.247
77,2.390841,0.188482,2.048029,0.237100,701.306
79,1.316089,0.598259,2.372610,0.203900,713.856
80,1.383614,0.623958,2.115464,0.203500,732.535
82,1.237904,0.679929,2.331932,0.203500,745.507
83,1.292769,0.683966,2.169075,0.193500,759.155
84,1.370087,0.569367,2.155707,0.266200,769.633
86,1.153614,0.706958,2.114779,0.215600,777.979
88,0.880110,0.885380,2.261404,0.147900,788.726
89,2.026795,0.304795,2.106065,0.186200,808.436
90,0.964435,0.812789,2.347156,0.121700,818.851
92,1.030203,0.785596,2.158065,0.206900,825.121
94,1.540349,0.498925,2.194024,0.187600,837.538
95,1.473042,0.636864,2.100966,0.151800,846.915
95,0.000000,0.000000,2.100966,0.151800,850.357
97,0.996723,0.787217,2.171861,0.216600,856.558
98,0.999290,0.866460,2.191839,0.181800,876.551
99,1.179536,0.707354,2.146157,0.170300,892.689
99,0.000000,0.000000,2.146157,0.170300,895.881
101,1.276898,0.633554,2.359685,0.196500,898.819
103,1.230685,0.685327,2.171853,0.203900,905.032
103,0.000000,0.000000,2.171853,0.203900,932.553
104,0.858858,0.873021,2.366793,0.153800,946.665
106,0.846260,0.880409,2.104471,0.201900,953.134
106,0.000000,0.000000,2.104471,0.201900,955.858
108,1.475148,0.516574,2.014495,0.240000,961.932
109,1.348112,0.558395,2.257083,0.173500,982.028
110,0.889020,0.869800,2.335377,0.126300,997.967
113,1.045805,0.776167,2.193694,0.173800,1018.089
114,1.368402,0.541366,2.033703,0.244100,1027.770
117,0.989957,0.774367,2.068468,0.223800,1040.957
118,1.576933,0.583219,2.288627,0.143400,1052.868
120,1.215177,0.674235,2.367894,0.196900,1066.483
121,1.251099,0.656558,2.086165,0.222700,1077.176
121,0.000000,0.000000,2.086165,0.222700,1081.135
123,1.252257,0.683188,2.227832,0.193300,1085.792
124,0.878830,0.865421,2.479731,0.139000,1111.363
124,0.000000,0.000000,2.479731,0.139000,1120.963
128,1.168058,0.688865,2.105439,0.207700,1127.816
129,1.358702,0.566211,2.114778,0.259100,1153.039
129,0.000000,0.000000,2.114778,0.259100,1170.839
132,0.995031,0.797347,2.285867,0.149300,1174.420
134,1.152660,0.707765,2.098057,0.232500,1186.515
134,0.000000,0.000000,2.098057,0.232500,1203.294
