client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg
2,2.375074,0.130435,2.326890,0.116500,0
0,1.442893,0.699458,2.525717,0.100000,1
1,1.538829,0.593793,2.972029,0.100900,2
4,1.645928,0.473314,2.926319,0.100000,3
3,1.478126,0.542391,2.654652,0.124200,4
5,0.893578,0.902153,3.290088,0.100000,5
7,1.958872,0.404088,2.503936,0.100000,6
6,1.292874,0.714793,3.179756,0.100100,7
9,0.922011,0.856322,3.469680,0.100000,8
8,1.207316,0.727253,3.392748,0.102700,9
10,1.244352,0.632512,3.384702,0.100000,10
11,1.177472,0.720678,3.487208,0.111800,11
12,1.948731,0.397371,2.745475,0.100000,12
14,2.959294,0.000000,2.366208,0.106500,13
13,2.023607,0.310383,2.756063,0.100000,14
15,1.412899,0.763411,3.113166,0.100000,15
16,2.426258,0.078534,2.347872,0.100600,16
17,1.511075,0.515771,3.136352,0.156400,17
18,1.460862,0.569217,3.030745,0.100700,18
19,1.767714,0.501137,2.807881,0.106500,19
2,1.797229,0.388199,2.677908,0.100000,20
1,1.457213,0.591941,3.247930,0.118800,21
0,1.524246,0.583269,3.458080,0.101900,22
3,1.243719,0.698913,3.266087,0.168100,23
4,1.551588,0.484770,3.063237,0.108300,24
7,1.476586,0.655660,3.361673,0.100000,25
5,0.930510,0.842305,3.041194,0.100500,26
9,0.760827,0.907328,3.419534,0.100000,27
6,1.151168,0.738967,2.946066,0.110700,28
8,1.080000,0.765967,3.417271,0.130800,29
14,2.515717,0.089041,2.345957,0.142200,30
10,0.989222,0.847458,3.758345,0.100000,31
12,1.660162,0.504550,2.965187,0.100000,32
11,1.005730,0.776461,3.245471,0.159100,33
15,2.031362,0.348006,3.320861,0.100000,34
13,1.778779,0.386452,2.896150,0.136700,35
16,2.564515,0.015707,2.330365,0.130700,36
17,1.373486,0.582630,3.276034,0.167200,37
2,1.578684,0.767081,2.785844,0.100000,38
19,1.251421,0.699773,3.357954,0.152500,39
1,1.334512,0.637332,3.379086,0.126800,40
18,1.416116,0.561100,2.843846,0.148500,41
3,1.202100,0.708152,3.016130,0.167600,42
0,1.489326,0.605732,2.909940,0.158900,43
4,1.507217,0.500651,2.773237,0.151600,44
7,1.616203,0.515723,3.868405,0.100000,45
5,0.827668,0.899620,3.143462,0.107500,46
9,0.902649,0.866379,3.669977,0.100000,47
14,2.236114,0.164384,2.475605,0.101800,48
6,1.156398,0.748281,3.068132,0.124700,49
8,1.063478,0.761592,3.168604,0.142200,50
10,0.899431,0.859014,3.949429,0.100000,51
12,1.577298,0.551062,3.131266,0.100000,52
15,1.438108,0.605227,4.225019,0.100000,53
11,0.958418,0.795668,3.220420,0.155400,54
16,2.403977,0.125654,2.311843,0.162300,55
13,1.697135,0.398667,2.933870,0.157100,56
17,1.291909,0.609063,3.103752,0.162000,57
19,1.274960,0.649735,3.465400,0.131600,58
2,1.071027,0.894410,2.940670,0.149700,59
1,1.312660,0.636406,3.157516,0.174400,60
3,1.172551,0.719022,3.136651,0.168000,61
18,1.371281,0.559597,2.892748,0.185100,62
7,1.324704,0.668239,3.555658,0.100100,63
0,1.277541,0.687839,2.808003,0.172600,64
5,0.815355,0.898037,3.035801,0.119000,65
4,1.445609,0.519396,2.678879,0.165400,66
9,0.872593,0.890805,3.831839,0.100100,67
14,2.180428,0.174658,2.411056,0.101600,68
6,1.089968,0.772455,2.740080,0.158400,69
10,0.923042,0.849769,3.769393,0.100000,70
8,1.006242,0.787839,3.767430,0.109900,71
12,1.482977,0.573306,3.273925,0.100600,72
15,1.679604,0.552957,4.120568,0.100000,73
13,1.568832,0.464742,3.021004,0.158400,74
11,0.952659,0.798529,3.251875,0.157900,75
16,2.390841,0.188482,2.265048,0.179000,76
2,1.680368,0.428571,3.023889,0.106600,77
17,1.290035,0.610395,3.140315,0.185100,78
19,1.383614,0.623958,3.238798,0.168100,79
3,1.165352,0.707065,3.276924,0.167000,80
1,1.268821,0.668365,2.834716,0.205800,81
0,1.292769,0.683966,2.973373,0.159500,82
18,1.370087,0.569367,2.716492,0.197700,83
5,0.817804,0.904370,2.863219,0.134100,84
4,1.429710,0.544650,2.726048,0.174600,85
7,1.071581,0.838050,3.606712,0.100900,86
9,0.836369,0.896193,3.559304,0.100600,87
14,2.026795,0.304795,2.524480,0.103400,88
10,0.964435,0.812789,3.550228,0.100000,89
8,0.978508,0.797244,3.187312,0.173600,90
6,1.082620,0.773786,2.654918,0.179100,91
12,1.470887,0.584429,2.731336,0.132100,92
13,1.578493,0.451971,2.687067,0.203900,93
15,1.473042,0.636864,3.472048,0.100000,94
16,2.266144,0.193717,2.159182,0.204400,95
11,0.947181,0.810380,2.962042,0.209200,96
2,0.999290,0.866460,2.913388,0.171400,97
19,1.179536,0.707354,3.283622,0.146200,98
3,1.254139,0.669565,3.348326,0.166800,99
17,1.286199,0.618836,3.077243,0.150100,100
1,1.276488,0.653312,2.825471,0.209000,101
0,1.077489,0.792409,2.858124,0.170100,102
5,0.858858,0.873021,3.646354,0.102000,103
7,1.102379,0.751572,3.704394,0.100100,104
9,0.787750,0.909842,2.795339,0.106900,105
4,1.412503,0.543608,2.688006,0.158600,106
14,2.299183,0.160959,2.367071,0.110600,107
18,1.348112,0.558395,2.924451,0.144400,108
10,0.889020,0.869800,3.445705,0.100000,109
12,1.400430,0.609707,3.036404,0.106500,110
6,1.062372,0.779552,2.679147,0.156600,111
8,0.952755,0.808836,3.121045,0.177200,112
13,1.368402,0.541366,2.831878,0.137600,113
16,2.182079,0.267016,2.187430,0.202000,114
11,0.886856,0.822027,3.506501,0.176600,115
2,1.849834,0.350932,2.714469,0.121800,116
15,1.576933,0.583219,3.281127,0.100000,117
3,1.222514,0.703261,2.972732,0.173500,118
17,1.212178,0.662372,2.914192,0.199900,119
19,1.251099,0.656558,2.981095,0.169900,120
0,1.195406,0.725794,3.276231,0.147100,121
1,1.269255,0.670449,3.117659,0.161800,122
5,0.878830,0.865421,3.651189,0.104600,123
14,2.516250,0.078767,2.206633,0.145200,124
7,0.969633,0.878931,3.566068,0.100000,125
9,0.793245,0.903376,2.785925,0.107000,126
4,1.370091,0.548295,2.765897,0.161600,127
18,1.358702,0.566211,2.886507,0.151200,128
12,1.385321,0.608696,3.053683,0.107300,129
10,0.928607,0.841294,3.157124,0.101000,130
8,0.929463,0.825678,3.521134,0.116700,131
6,1.067336,0.771790,2.956752,0.153600,132
13,1.366278,0.547474,2.725779,0.207700,133
16,2.341138,0.104712,2.057694,0.243800,134
11,0.885226,0.827953,3.267533,0.178600,135
15,1.465635,0.638239,3.021175,0.104400,136
2,1.091429,0.847826,3.202067,0.160100,137
17,1.228046,0.655264,2.945851,0.226000,138
19,1.255868,0.661107,3.002416,0.170400,139
3,1.267335,0.669565,3.112282,0.168700,140
0,1.093789,0.776143,2.932357,0.142400,141
1,1.252125,0.666744,2.822708,0.221200,142
14,1.983157,0.297945,2.434843,0.114900,143
7,1.003961,0.861635,2.563696,0.113800,144
5,0.801982,0.899937,2.878181,0.134800,145
9,0.773721,0.908046,2.780496,0.107200,146
4,1.343351,0.564176,3.125226,0.148000,147
12,1.467663,0.580384,2.665321,0.152400,148
18,1.314310,0.589058,2.596592,0.241600,149
6,1.060835,0.769350,2.629246,0.179100,150
8,0.930033,0.824147,3.043495,0.170600,151
13,1.493283,0.493615,2.955818,0.148600,152
10,0.802363,0.885978,2.929247,0.103400,153
16,2.096052,0.225131,2.102819,0.224500,154
11,0.878148,0.823049,3.130051,0.183700,155
15,1.418382,0.631362,3.189595,0.100500,156
2,1.184896,0.723602,2.747268,0.174800,157
17,1.168242,0.687694,2.990236,0.191300,158
19,1.342605,0.626232,3.063974,0.173000,159
3,1.283023,0.662500,2.897401,0.173000,160
1,1.241970,0.676007,3.018331,0.181100,161
14,2.387662,0.113014,2.230804,0.147900,162
0,1.177047,0.734314,2.623548,0.176400,163
7,1.341737,0.661950,3.228981,0.102600,164
9,0.760642,0.914152,3.392567,0.101700,165
5,0.852296,0.868271,2.922662,0.136800,166
12,1.423801,0.614762,2.600773,0.169800,167
4,1.367379,0.560271,2.522994,0.177800,168
6,1.042365,0.780439,2.540685,0.190900,169
18,1.315644,0.586803,2.605270,0.232700,170
8,0.904080,0.831146,3.108651,0.169900,171
10,0.842717,0.871341,3.417703,0.100200,172
16,2.042116,0.188482,2.130437,0.239800,173
13,1.422262,0.533592,2.533127,0.197000,174
11,0.872628,0.835513,3.021933,0.193000,175
2,1.798510,0.350932,2.860278,0.121200,176
15,1.513655,0.629986,2.922789,0.104900,177
17,1.175885,0.680364,2.983719,0.176100,178
19,1.114104,0.720243,3.304877,0.150000,179
3,1.227804,0.681522,3.173239,0.174100,180
1,1.237016,0.676934,2.710909,0.238500,181
14,1.994711,0.325342,2.408671,0.119600,182
0,1.191541,0.728892,2.841299,0.175200,183
7,1.367299,0.660377,3.343337,0.105600,184
9,0.740743,0.920977,3.444017,0.102600,185
5,0.773541,0.909120,2.922926,0.137500,186
12,1.477175,0.582406,3.074988,0.109800,187
6,1.031325,0.782213,2.713886,0.169100,188
4,1.331965,0.570945,2.438558,0.203100,189
