total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,49.271
0,0.000000,0.000000,2.451780,0.121400,61.449
5,1.574242,0.542714,2.419659,0.121100,65.207
5,0.000000,0.000000,2.419659,0.121100,67.814
5,0.000000,0.000000,2.419659,0.121100,98.746
5,0.000000,0.000000,2.419659,0.121100,116.360
10,1.137165,0.789642,2.386497,0.119900,120.365
10,0.000000,0.000000,2.386497,0.119900,122.983
10,0.000000,0.000000,2.386497,0.119900,155.179
10,0.000000,0.000000,2.386497,0.119900,165.213
15,1.305152,0.701316,2.376661,0.120500,168.858
15,0.000000,0.000000,2.376661,0.120500,171.510
15,0.000000,0.000000,2.376661,0.120500,203.366
15,0.000000,0.000000,2.376661,0.120500,216.407
19,1.586839,0.531533,2.367135,0.123200,219.931
19,0.000000,0.000000,2.367135,0.123200,222.568
20,1.501357,0.564858,2.360112,0.124400,227.124
20,0.000000,0.000000,2.360112,0.124400,249.325
21,2.310087,0.248447,2.359833,0.124200,265.542
21,0.000000,0.000000,2.359833,0.124200,269.336
25,1.527188,0.559699,2.354418,0.124600,272.717
25,0.000000,0.000000,2.354418,0.124600,276.888
25,0.000000,0.000000,2.354418,0.124600,306.783
26,1.739483,0.594340,2.353878,0.124700,322.177
30,1.074272,0.825401,2.350947,0.124600,325.578
30,0.000000,0.000000,2.350947,0.124600,331.618
30,0.000000,0.000000,2.350947,0.124600,359.781
31,1.730728,0.403109,2.349390,0.122600,368.170
35,1.228077,0.771845,2.349655,0.123200,371.586
35,0.000000,0.000000,2.349655,0.123200,377.313
35,0.000000,0.000000,2.349655,0.123200,402.531
36,2.480218,0.020942,2.349491,0.123200,415.952
36,0.000000,0.000000,2.349491,0.123200,418.911
40,1.535073,0.528596,2.346403,0.124800,422.379
40,0.000000,0.000000,2.346403,0.124800,426.572
40,0.000000,0.000000,2.346403,0.124800,453.515
40,0.000000,0.000000,2.346403,0.124800,466.458
45,1.529723,0.562091,2.343213,0.124800,470.339
45,0.000000,0.000000,2.343213,0.124800,472.990
45,0.000000,0.000000,2.343213,0.124800,503.462
45,0.000000,0.000000,2.343213,0.124800,521.434
50,1.095740,0.818188,2.340696,0.126700,525.381
50,0.000000,0.000000,2.340696,0.126700,527.985
50,0.000000,0.000000,2.340696,0.126700,560.677
50,0.000000,0.000000,2.340696,0.126700,570.631
55,1.311625,0.707893,2.340937,0.126800,574.180
55,0.000000,0.000000,2.340937,0.126800,576.842
55,0.000000,0.000000,2.340937,0.126800,609.475
55,0.000000,0.000000,2.340937,0.126800,622.329
60,1.542866,0.522625,2.337831,0.127100,625.876
60,0.000000,0.000000,2.337831,0.127100,628.499
60,0.000000,0.000000,2.337831,0.127100,656.564
60,0.000000,0.000000,2.337831,0.127100,672.534
65,1.520716,0.564158,2.334805,0.127800,676.043
65,0.000000,0.000000,2.334805,0.127800,678.676
65,0.000000,0.000000,2.334805,0.127800,684.357
65,0.000000,0.000000,2.334805,0.127800,713.576
66,0.738337,0.943606,2.334167,0.128100,727.432
70,1.173923,0.793631,2.332401,0.126700,730.839
70,0.000000,0.000000,2.332401,0.126700,737.171
70,0.000000,0.000000,2.332401,0.126700,763.499
71,2.035354,0.421233,2.332386,0.126800,772.912
75,1.291560,0.714429,2.332610,0.127100,776.286
75,0.000000,0.000000,2.332610,0.127100,780.351
75,0.000000,0.000000,2.332610,0.127100,813.183
75,0.000000,0.000000,2.332610,0.127100,823.679
80,1.542515,0.528674,2.329281,0.127500,827.440
80,0.000000,0.000000,2.329281,0.127500,830.058
80,0.000000,0.000000,2.329281,0.127500,858.951
80,0.000000,0.000000,2.329281,0.127500,874.548
85,1.523282,0.554599,2.326930,0.127800,878.343
85,0.000000,0.000000,2.326930,0.127800,880.967
85,0.000000,0.000000,2.326930,0.127800,913.158
85,0.000000,0.000000,2.326930,0.127800,929.383
90,1.088622,0.822594,2.325433,0.128600,933.372
90,0.000000,0.000000,2.325433,0.128600,936.026
90,0.000000,0.000000,2.325433,0.128600,968.929
90,0.000000,0.000000,2.325433,0.128600,978.866
95,1.300047,0.706383,2.325635,0.128600,982.428
95,0.000000,0.000000,2.325635,0.128600,985.057
95,0.000000,0.000000,2.325635,0.128600,1016.456
95,0.000000,0.000000,2.325635,0.128600,1029.538
99,1.548329,0.502448,2.324949,0.128200,1033.003
100,1.535825,0.551481,2.323563,0.127500,1035.821
100,0.000000,0.000000,2.323563,0.127500,1056.727
100,0.000000,0.000000,2.323563,0.127500,1074.906
104,1.520825,0.537428,2.322971,0.127800,1080.127
105,1.502818,0.623437,2.321588,0.127500,1082.905
105,0.000000,0.000000,2.321588,0.127500,1106.447
105,0.000000,0.000000,2.321588,0.127500,1125.236
109,1.035275,0.845022,2.318860,0.127100,1130.167
110,1.205375,0.768241,2.319375,0.128100,1132.917
110,0.000000,0.000000,2.319375,0.128100,1158.051
110,0.000000,0.000000,2.319375,0.128100,1173.368
114,1.354337,0.674022,2.318808,0.129800,1176.934
115,0.942980,0.965331,2.319226,0.129200,1179.741
115,0.000000,0.000000,2.319226,0.129200,1205.899
115,0.000000,0.000000,2.319226,0.129200,1218.224
119,1.541117,0.494139,2.318443,0.128000,1224.997
120,1.525470,0.553435,2.316954,0.127700,1227.798
120,0.000000,0.000000,2.316954,0.127700,1247.627
120,0.000000,0.000000,2.316954,0.127700,1266.869
124,1.526940,0.537291,2.317084,0.128300,1272.032
125,1.496320,0.622974,2.315832,0.128700,1274.831
125,0.000000,0.000000,2.315832,0.128700,1298.682
125,0.000000,0.000000,2.315832,0.128700,1317.270
129,1.036344,0.843318,2.313351,0.128500,1322.773
130,1.198711,0.770237,2.313988,0.129800,1325.564
130,0.000000,0.000000,2.313988,0.129800,1351.089
130,0.000000,0.000000,2.313988,0.129800,1364.611
134,1.354000,0.668004,2.313479,0.132100,1368.217
135,0.952055,0.966872,2.313842,0.132300,1371.009
135,0.000000,0.000000,2.313842,0.132300,1396.730
135,0.000000,0.000000,2.313842,0.132300,1408.901
139,1.531988,0.512836,2.313394,0.130100,1415.862
140,1.519916,0.549827,2.312162,0.129200,1419.385
140,0.000000,0.000000,2.312162,0.129200,1440.125
140,0.000000,0.000000,2.312162,0.129200,1458.144
144,1.508995,0.548533,2.311911,0.129900,1463.340
145,1.487877,0.623668,2.310840,0.130500,1466.145
145,0.000000,0.000000,2.310840,0.130500,1490.634
145,0.000000,0.000000,2.310840,0.130500,1508.702
149,1.029782,0.847803,2.308720,0.132000,1513.871
150,1.210171,0.766467,2.309327,0.133400,1516.624
150,0.000000,0.000000,2.309327,0.133400,1542.062
150,0.000000,0.000000,2.309327,0.133400,1555.603
154,1.344097,0.674022,2.308672,0.137200,1559.334
155,0.929279,0.966102,2.309003,0.136100,1562.111
155,0.000000,0.000000,2.309003,0.136100,1586.493
155,0.000000,0.000000,2.309003,0.136100,1599.696
159,1.523701,0.506603,2.308593,0.134000,1606.816
160,1.528027,0.549977,2.307588,0.132100,1610.495
160,0.000000,0.000000,2.307588,0.132100,1629.830
160,0.000000,0.000000,2.307588,0.132100,1650.026
164,1.517259,0.531121,2.308302,0.131100,1654.825
165,1.495991,0.623437,2.307249,0.131600,1657.613
165,0.000000,0.000000,2.307249,0.131600,1680.027
165,0.000000,0.000000,2.307249,0.131600,1700.995
169,1.024929,0.847623,2.305241,0.133300,1706.115
170,1.197987,0.766467,2.305679,0.135100,1708.846
170,0.000000,0.000000,2.305679,0.135100,1734.255
170,0.000000,0.000000,2.305679,0.135100,1748.232
174,1.345404,0.672267,2.305101,0.139500,1751.671
175,0.953509,0.969183,2.305417,0.139000,1754.477
175,0.000000,0.000000,2.305417,0.139000,1780.010
175,0.000000,0.000000,2.305417,0.139000,1792.713
179,1.523451,0.512391,2.305480,0.135300,1799.045
180,1.525453,0.559146,2.304726,0.133800,1801.810
180,0.000000,0.000000,2.304726,0.133800,1822.259
180,0.000000,0.000000,2.304726,0.133800,1840.995
184,1.514013,0.529613,2.305266,0.132900,1846.265
185,1.493019,0.626216,2.304369,0.133300,1849.025
185,0.000000,0.000000,2.304369,0.133300,1872.274
185,0.000000,0.000000,2.304369,0.133300,1891.918
185,0.000000,0.000000,2.304369,0.133300,1897.155
190,1.074456,0.824829,2.302982,0.136300,1900.742
190,0.000000,0.000000,2.302982,0.136300,1903.365
190,0.000000,0.000000,2.302982,0.136300,1935.341
190,0.000000,0.000000,2.302982,0.136300,1945.276
195,1.285441,0.712206,2.302951,0.138700,1948.942
