client_id,local_train_loss,local_train_acc,local_test_loss,local_test_acc,total_agg,staleness
5,1.378819,0.538462,1656.597914,0.100000,1,0.0
0,0.284783,0.964516,976.212767,0.100000,2,1.0
5,44388920.000000,0.307692,224.135280,0.100000,3,1.0
6,1.086943,0.583486,8160.468900,0.100000,4,3.0
9,0.158983,0.977860,69.489366,0.100000,5,4.0
5,2.122115,0.230769,25.144981,0.100000,6,2.0
1,0.598241,0.860947,314.797284,0.100900,7,6.0
0,0.804903,0.961290,2.645889,0.100000,8,5.0
5,1.451486,0.230769,4.494183,0.100000,9,2.0
6,1.130469,0.377982,5.633382,0.099900,10,5.0
5,1.271238,0.461538,13.140884,0.123400,11,1.0
7,0.109230,0.978807,180.183472,0.100000,12,11.0
9,0.118876,0.980320,11.137130,0.100000,13,6.0
0,0.192424,0.961290,7.533142,0.100000,14,5.0
5,1.081166,0.307692,47.964309,0.100000,15,3.0
1,0.630922,0.830375,6.257910,0.100000,16,8.0
6,0.854134,0.583486,5.540197,0.100000,17,6.0
5,1.137685,0.461538,23.456135,0.100000,18,2.0
4,0.320907,0.892068,10.568105,0.125400,19,18.0
5,1.317557,0.461538,4.290393,0.099100,20,1.0
0,0.206401,0.961290,6.136537,0.100000,21,6.0
3,1.121138,0.489214,5.498065,0.185800,22,21.0
9,0.112704,0.980320,7.153827,0.100000,23,9.0
6,0.851133,0.583486,6.340796,0.100000,24,6.0
8,1.066022,0.618843,6.514917,0.201300,25,24.0
5,1.172659,0.461538,7.417856,0.100000,26,5.0
1,0.609717,0.830375,5.859553,0.100000,27,9.0
0,0.267270,0.961290,7.233890,0.100000,28,6.0
7,0.103433,0.979300,10.686399,0.100000,29,16.0
5,1.287712,0.461538,5.042473,0.100000,30,3.0
6,0.850112,0.583486,5.784208,0.109400,31,6.0
9,0.111379,0.980320,9.297514,0.100000,32,8.0
5,1.319921,0.307692,3.995419,0.100000,33,2.0
0,0.178685,0.961290,8.212329,0.100000,34,5.0
5,1.283066,0.461538,5.160908,0.100000,35,1.0
1,0.603918,0.830375,6.532309,0.100000,36,8.0
6,0.857744,0.526606,6.281358,0.100000,37,5.0
5,3.234090,0.000000,2.802662,0.100000,38,1.0
0,0.200891,0.961290,6.758257,0.100000,39,4.0
4,0.375056,0.892068,7.766939,0.141800,40,20.0
9,0.120582,0.980320,6.797151,0.100000,41,8.0
5,2.045943,0.153846,2.949365,0.100000,42,3.0
6,0.850481,0.506422,7.673315,0.100000,43,5.0
7,0.104505,0.979300,9.166295,0.100000,44,14.0
1,0.543506,0.830375,6.192440,0.131800,45,8.0
5,1.826036,0.000000,3.002472,0.100000,46,3.0
2,1.066156,0.605622,5.735748,0.174900,47,46.0
0,0.192394,0.961290,7.420584,0.100000,48,8.0
