total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
5,340647.4544538199,0.8400236127508854,5.582974934387207,0.1241,1765478745.0442002
10,0.8014240941145804,0.7298153034300792,2.8809545070648195,0.1,1765478755.5532908
15,0.12854186362833667,0.972624292007552,3.8811642181396486,0.1,1765478775.146066
20,0.4518523107500126,0.8416666666666667,2.8918617347717284,0.1,1765478798.4268024
30,0.27906364013754287,0.9289730689553122,4.121375310516357,0.1,1765478819.6795683
35,0.37962976161065076,0.8400236127508854,3.7348047004699705,0.1,1765478837.9951606
40,0.46889702164474273,0.8426525407102217,3.761198417663574,0.1,1765478854.8282127
45,0.30613905512383877,0.8844585410058904,3.868097275543213,0.1,1765478877.1218407
50,1.071835362012699,0.5667363854675033,3.2731516090393065,0.1,1765478884.542927
55,0.9567112000061517,0.671076011846002,4.656814045715332,0.1,1765478902.5116367
60,0.42288589447707636,0.853271484375,3.4221173721313476,0.1,1765478917.027091
65,0.3211377045028702,0.8805931986704167,5.664268749237061,0.1,1765478931.6352623
70,0.6883097539845462,0.6935123042505593,4.470505577850342,0.1,1765478952.759625
75,0.8304223630711152,0.6642287857477731,4.7349108139038085,0.1,1765478971.464329
80,0.4255109261841968,0.8550127525995683,3.7038727752685547,0.1,1765478981.2172623
85,1.181264483057211,0.5638015064244573,2.70075443649292,0.1,1765478996.3614733
90,0.5814114019235395,0.7730870712401056,3.8840943923950197,0.1,1765479016.5435672
95,0.25212208897302657,0.9250896057347671,3.5976398529052735,0.175,1765479041.9209764
105,0.2572508651006991,0.9020891799189273,4.515234404754639,0.1622,1765479063.5322714
110,0.558778084928568,0.7788918205804749,5.142325961303711,0.1,1765479080.9341815
115,0.3214571950277763,0.8984287317620651,4.1975125930786135,0.152,1765479107.8500054
120,0.8811263211967616,0.6874361593462717,3.341141940689087,0.1,1765479120.2027872
125,1.0047991222178259,0.5363573407202216,3.2471352394104005,0.1533,1765479133.1438415
130,0.3414446568929453,0.89553264604811,3.3552228240966797,0.1277,1765479153.4048994
135,0.40172860075182276,0.8542279772415147,3.5798252975463867,0.1164,1765479167.9504547
140,0.9404171329818547,0.5985888634630053,3.240998607254028,0.1943,1765479187.4881933
145,0.2722634553806888,0.8938144329896908,3.2493759902954102,0.1648,1765479198.1085813
150,0.4022046131978485,0.8634490876986463,3.8286419052124026,0.119,1765479220.455062
155,0.8888324486041298,0.676840048385596,3.2868695922851563,0.121,1765479234.6649928
160,0.8972883921560323,0.6236149584487535,3.4763934242248533,0.1136,1765479251.179766
165,0.24534688585280945,0.928853046594982,2.8643868366241456,0.1244,1765479268.0041556
170,0.5163757041607809,0.8,3.0155934371948243,0.1822,1765479281.7155895
175,0.9355809765240988,0.5953947368421053,2.4797693489074706,0.1677,1765479300.5392308
180,0.25007291315859537,0.9013745704467354,3.8143155090332033,0.1125,1765479318.3284152
185,0.8211953226858417,0.7129423833133869,3.527448376083374,0.1797,1765479335.5626895
190,0.3447058204137209,0.8521208599651365,4.295620007324219,0.1189,1765479348.2750795
195,0.7227514811640117,0.7051712558764271,3.914618592071533,0.1582,1765479367.2205005
200,0.3456023489566112,0.8410807669959326,4.44100637588501,0.122,1765479381.9614565
205,0.9620935937372178,0.6006282722513089,3.0637227409362793,0.1842,1765479406.255534
215,0.6951881303526409,0.6886395511921458,4.789646148681641,0.1211,1765479427.455423
220,0.6113311693455682,0.7237136465324385,5.8075871154785155,0.1459,1765479449.211336
225,0.5822622250450954,0.7633442553641264,4.234715223693848,0.1622,1765479461.1515486
