total_agg,avg_train_loss,avg_train_acc,test_loss,test_acc,time
0,0.000000,0.000000,2.451780,0.121400,48.930
0,0.000000,0.000000,2.451780,0.121400,60.482
3,1.557346,0.588602,2.356222,0.100400,63.669
4,1.647753,0.470711,2.412998,0.100300,81.207
5,1.475601,0.541304,2.371037,0.101600,95.493
8,1.201025,0.737926,2.421357,0.100300,101.384
9,1.204105,0.729659,2.545267,0.101500,127.746
9,0.000000,0.000000,2.545267,0.101500,141.784
9,0.000000,0.000000,2.545267,0.101500,145.476
14,1.304063,0.665307,2.469004,0.117900,157.771
14,0.000000,0.000000,2.469004,0.117900,177.575
17,1.597292,0.582645,2.497257,0.101500,187.305
18,1.564387,0.481564,2.458570,0.159500,199.010
19,1.539269,0.531189,2.501242,0.107800,206.565
21,1.590102,0.539847,2.338494,0.135400,217.141
22,1.590074,0.627329,2.397175,0.101800,231.244
24,1.520463,0.531070,2.481939,0.148700,244.992
25,1.323603,0.655435,2.357371,0.165100,263.268
27,1.106318,0.766532,2.274352,0.176200,275.089
29,1.069985,0.774386,2.395215,0.131400,281.936
29,0.000000,0.000000,2.395215,0.131400,286.030
31,0.710708,0.958599,2.371291,0.157800,304.104
31,0.000000,0.000000,2.371291,0.157800,323.491
34,1.238965,0.660854,2.315984,0.211900,326.937
36,1.884434,0.432777,2.252334,0.141100,338.382
37,2.531551,0.020942,2.187934,0.182500,361.197
38,1.377852,0.573523,2.330196,0.183900,369.751
40,1.302586,0.670881,2.346574,0.120100,380.027
41,1.426130,0.550428,2.276102,0.167400,396.997
43,1.288760,0.665733,2.295707,0.163700,410.515
44,1.144772,0.725000,2.368702,0.170400,419.803
45,1.510832,0.485551,2.262900,0.173800,431.636
47,1.022000,0.806443,2.329122,0.128600,439.096
49,1.044780,0.784370,2.306042,0.160900,457.750
49,0.000000,0.000000,2.306042,0.160900,475.569
51,0.778439,0.904949,2.287176,0.160800,482.036
54,1.175269,0.683758,2.259545,0.186900,507.848
54,0.000000,0.000000,2.259545,0.186900,518.406
59,1.382248,0.598886,2.202512,0.177900,537.468
59,0.000000,0.000000,2.202512,0.177900,554.192
61,1.296472,0.657265,2.491014,0.150100,559.965
62,1.406991,0.557493,2.151819,0.254100,574.038
64,1.280793,0.674838,2.361886,0.188100,594.625
66,1.291254,0.640838,2.174403,0.206600,610.193
68,1.020648,0.807591,2.331548,0.138900,629.110
70,0.998281,0.798637,2.262697,0.163800,639.585
70,0.000000,0.000000,2.262697,0.163800,642.623
73,1.104827,0.719591,2.220371,0.174700,661.894
73,0.000000,0.000000,2.220371,0.174700,679.077
75,1.712437,0.498528,2.223156,0.121300,684.987
77,1.075142,0.727650,2.228231,0.195900,696.652
78,2.228707,0.256545,2.092171,0.214800,710.138
79,1.318051,0.678544,2.167944,0.178600,725.203
80,1.507400,0.553450,2.163327,0.164400,731.108
82,1.330075,0.654095,2.099737,0.216400,740.631
82,0.000000,0.000000,2.099737,0.216400,745.461
84,1.092703,0.758702,2.185065,0.190000,749.834
85,1.382701,0.562904,2.087154,0.234300,773.388
85,0.000000,0.000000,2.087154,0.234300,790.197
89,1.097167,0.730155,2.333945,0.158700,793.797
90,0.696686,0.943760,2.323725,0.153700,812.515
90,0.000000,0.000000,2.323725,0.153700,828.180
92,1.670063,0.453552,2.237018,0.176000,832.263
95,1.135520,0.719127,2.113250,0.191400,850.936
95,0.000000,0.000000,2.113250,0.191400,873.406
97,1.296307,0.616876,2.226530,0.202900,877.467
99,0.932070,0.823929,2.133641,0.199800,887.942
99,0.000000,0.000000,2.133641,0.199800,895.089
102,1.306167,0.641383,2.220032,0.170800,905.484
102,0.000000,0.000000,2.220032,0.170800,929.288
104,1.050788,0.773508,2.107824,0.207700,947.244
106,1.332446,0.588787,2.133746,0.189500,965.205
108,1.194981,0.667706,2.175988,0.177100,974.741
110,0.857045,0.864901,2.381625,0.160000,986.405
111,2.149084,0.250000,2.009414,0.233700,999.911
113,1.295045,0.670163,2.097016,0.207200,1015.666
115,1.076912,0.745911,2.083156,0.187400,1025.774
117,1.255636,0.633071,2.149561,0.217600,1049.029
118,0.856469,0.838987,2.141683,0.189500,1060.895
120,1.250235,0.670474,2.027093,0.239100,1066.308
122,1.233643,0.688889,2.346227,0.160700,1081.831
123,1.200499,0.688587,2.289952,0.184100,1091.048
124,1.088426,0.806604,2.396246,0.136500,1104.907
125,1.000170,0.807053,2.210779,0.220600,1123.302
126,1.401545,0.548295,2.095527,0.224800,1131.662
128,1.201465,0.658441,2.050419,0.268300,1140.458
130,0.856287,0.868492,2.237834,0.175800,1146.902
130,0.000000,0.000000,2.237834,0.175800,1149.914
132,1.727426,0.457311,2.150098,0.144400,1161.982
132,0.000000,0.000000,2.150098,0.144400,1177.642
134,1.001519,0.774264,2.266208,0.132300,1185.589
136,1.642213,0.464407,2.141137,0.165800,1200.628
137,1.235868,0.639938,2.251487,0.211000,1218.988
139,0.842388,0.854103,2.172549,0.225700,1235.969
141,1.223278,0.673230,2.349081,0.185500,1244.289
143,1.242501,0.676461,2.168304,0.178900,1254.800
144,1.755665,0.500000,2.096380,0.173300,1270.604
144,0.000000,0.000000,2.096380,0.173300,1275.852
146,0.999857,0.790331,2.338327,0.137900,1287.567
147,1.384131,0.546212,2.020362,0.244700,1303.087
149,0.804888,0.899686,2.232187,0.172200,1322.802
150,2.305138,0.143836,1.952311,0.271500,1331.677
152,1.348451,0.586721,2.081896,0.179200,1341.089
154,1.052279,0.742639,2.050467,0.203100,1353.071
155,1.908503,0.350785,1.953041,0.253900,1370.403
157,1.243704,0.655254,2.268885,0.210000,1388.747
159,0.891848,0.834739,2.117419,0.228300,1399.509
161,1.204283,0.697712,2.246310,0.217500,1408.551
162,1.227885,0.711851,2.085013,0.213200,1421.670
164,1.337892,0.632068,2.134246,0.190000,1443.630
165,1.065212,0.773564,2.140803,0.199300,1461.619
167,1.188689,0.662775,2.025250,0.278700,1466.052
169,0.862791,0.857568,2.359288,0.161000,1476.811
169,0.000000,0.000000,2.359288,0.161000,1503.724
170,1.192900,0.687758,2.166754,0.201700,1512.493
173,1.209480,0.655874,2.016413,0.218400,1519.448
175,1.639175,0.433233,1.915785,0.277200,1531.416
175,0.000000,0.000000,1.915785,0.277200,1549.898
176,1.331424,0.639029,2.205927,0.163100,1560.993
178,1.022106,0.755534,2.064943,0.227200,1568.352
180,1.077985,0.759902,2.091226,0.186700,1577.779
181,1.241603,0.677397,2.435417,0.178700,1597.008
182,1.562506,0.545597,2.456716,0.132400,1605.691
185,1.070945,0.762042,2.213681,0.186300,1630.599
185,0.000000,0.000000,2.213681,0.186300,1651.149
190,1.076494,0.738232,2.053076,0.216800,1671.568
191,2.418053,0.109589,1.872586,0.322800,1681.528
193,0.989899,0.769466,2.163173,0.162500,1686.734
194,2.090922,0.183246,1.965739,0.234200,1699.217
194,0.000000,0.000000,1.965739,0.234200,1722.241
196,1.315731,0.600628,2.049714,0.257600,1732.886
198,1.206380,0.660655,2.303732,0.207300,1744.287
199,0.821926,0.862280,2.081225,0.231200,1753.138
201,1.380415,0.628645,2.050393,0.195400,1769.213
202,1.268457,0.667670,2.407452,0.172800,1784.890
204,1.153538,0.717981,2.204291,0.180700,1802.652
206,1.018265,0.791114,2.283372,0.196700,1822.792
208,0.898636,0.840103,2.482111,0.136100,1833.434
210,1.374397,0.565455,1.945337,0.255900,1845.294
211,2.229263,0.198630,1.865135,0.313500,1859.234
213,0.879171,0.861849,2.150084,0.147400,1863.982
215,1.452415,0.540143,2.060362,0.248600,1881.588
215,0.000000,0.000000,2.060362,0.248600,1906.011
217,1.248169,0.647181,2.202572,0.220200,1912.817
219,1.304824,0.602358,1.982283,0.248700,1923.882
220,0.865523,0.840008,2.015784,0.230600,1941.270
222,1.301356,0.657247,2.247883,0.187900,1950.097
224,1.127367,0.726286,2.186257,0.185200,1956.991
225,0.947704,0.798151,2.636075,0.108500,1979.166
226,1.052834,0.774451,2.399094,0.188700,1992.763
228,1.043181,0.768258,2.079294,0.210100,2002.478
230,1.102095,0.713816,1.980947,0.254300,2014.155
231,2.651421,0.020942,1.900166,0.288800,2022.445
233,0.900930,0.844928,2.013628,0.185100,2034.436
234,1.315888,0.677452,2.031565,0.239300,2048.557
236,1.398054,0.575130,2.479335,0.177100,2065.054
237,1.190786,0.672812,2.222361,0.225700,2078.378
238,1.294293,0.592665,2.202786,0.275100,2089.746
238,0.000000,0.000000,2.202786,0.275100,2094.294
241,1.082542,0.754976,1.972670,0.238300,2099.263
242,1.168832,0.693707,2.471612,0.166500,2115.064
243,1.069128,0.758152,2.304329,0.189400,2130.656
245,1.138628,0.743530,2.493867,0.125500,2139.474
247,1.096127,0.750955,2.105960,0.208800,2156.441
248,0.975418,0.797025,2.269764,0.164300,2177.008
250,1.106660,0.707244,1.914397,0.293600,2185.711
253,0.917477,0.823691,1.888228,0.278600,2196.781
253,0.000000,0.000000,1.888228,0.278600,2218.346
255,1.403734,0.605645,2.148035,0.187900,2230.421
255,0.000000,0.000000,2.148035,0.187900,2233.317
258,1.258767,0.628435,2.200687,0.271000,2239.666
258,0.000000,0.000000,2.200687,0.271000,2262.942
259,0.884539,0.833061,1.997100,0.249400,2275.237
261,1.316754,0.649576,2.048290,0.239300,2283.279
263,1.201929,0.695790,2.343544,0.192600,2295.239
264,1.146021,0.742835,2.024260,0.234900,2309.200
266,1.150949,0.741728,2.131673,0.179900,2324.946
268,1.011984,0.785817,2.106067,0.200200,2337.605
269,0.807031,0.883471,2.253679,0.173000,2355.258
271,1.368277,0.573661,1.961141,0.244000,2362.040
272,2.330163,0.154110,1.840960,0.310300,2369.690
274,0.746387,0.918545,1.933370,0.257300,2385.723
275,1.130585,0.706797,2.081870,0.243100,2393.573
277,1.409499,0.556272,2.184473,0.199900,2419.363
277,0.000000,0.000000,2.184473,0.199900,2435.952
277,0.000000,0.000000,2.184473,0.199900,2439.393
281,1.080139,0.745142,2.057361,0.212000,2442.708
282,1.271174,0.615963,1.924481,0.287600,2452.624
282,0.000000,0.000000,1.924481,0.287600,2470.420
283,1.225869,0.693261,1.984713,0.259700,2478.241
283,0.000000,0.000000,1.984713,0.259700,2483.080
287,1.000079,0.798185,2.278307,0.192900,2493.839
287,0.000000,0.000000,2.278307,0.192900,2521.379
288,0.823369,0.874604,2.390687,0.169400,2527.352
292,1.188061,0.684690,1.884773,0.300100,2531.974
292,0.000000,0.000000,1.884773,0.300100,2561.871
293,1.179938,0.677019,1.998493,0.271500,2571.637
293,0.000000,0.000000,1.998493,0.271500,2574.955
296,1.219089,0.656199,2.112142,0.252600,2578.422
297,0.629531,0.970187,2.083413,0.202300,2595.855
297,0.000000,0.000000,2.083413,0.202300,2619.779
297,0.000000,0.000000,2.083413,0.202300,2627.102
302,1.131764,0.711111,1.832432,0.320100,2646.166
302,0.000000,0.000000,1.832432,0.320100,2663.293
304,0.992728,0.798764,2.230477,0.159800,2668.677
307,1.027474,0.782222,1.987249,0.224300,2692.503
307,0.000000,0.000000,1.987249,0.224300,2711.163
312,1.084906,0.732039,1.897547,0.281300,2728.837
312,0.000000,0.000000,1.897547,0.281300,2745.501
315,1.312803,0.628213,2.239208,0.213900,2764.648
317,0.938275,0.814576,2.008130,0.283500,2780.611
319,1.212461,0.685116,2.109415,0.250800,2793.686
320,1.440753,0.550314,2.149860,0.196500,2811.954
322,1.073522,0.722266,1.880323,0.260500,2824.902
324,1.091677,0.756663,2.335738,0.157200,2833.818
326,0.995302,0.802883,2.158308,0.193300,2856.211
328,1.047065,0.769215,1.960956,0.253000,2862.880
330,0.931608,0.825321,2.067825,0.188400,2872.277
331,1.309135,0.585525,1.864336,0.302400,2897.750
332,0.922135,0.823053,2.145548,0.181700,2905.547
334,1.458609,0.573608,2.312703,0.175100,2913.125
336,0.952774,0.797601,1.967299,0.236000,2929.565
337,1.135498,0.701022,1.981562,0.260100,2935.205
339,1.181332,0.693809,2.283648,0.224400,2959.118
339,0.000000,0.000000,2.283648,0.224400,2978.094
342,0.983695,0.788741,1.969885,0.237100,2982.532
343,1.241392,0.640613,1.821295,0.328900,2992.888
344,0.932049,0.823575,2.158721,0.169700,3008.638
345,0.702365,0.973865,2.044475,0.216000,3018.767
349,1.108610,0.730826,1.884923,0.310600,3043.595
349,0.000000,0.000000,1.884923,0.310600,3062.744
354,1.049242,0.750737,1.942689,0.271200,3066.565
354,0.000000,0.000000,1.942689,0.271200,3084.645
354,0.000000,0.000000,1.942689,0.271200,3106.371
356,0.947670,0.803708,1.932262,0.247600,3112.976
359,1.132111,0.714765,2.134246,0.251700,3123.265
359,0.000000,0.000000,2.134246,0.251700,3144.970
360,1.144380,0.738187,1.959790,0.261500,3156.588
362,0.880461,0.845570,1.906115,0.256000,3162.850
364,1.211850,0.651993,1.974147,0.296700,3173.226
365,1.451630,0.623109,1.977480,0.230200,3185.999
367,1.034275,0.780753,1.978118,0.225900,3195.559
369,1.844529,0.343685,1.856406,0.293200,3211.171
370,1.286706,0.585525,1.909109,0.277800,3231.574
370,0.000000,0.000000,1.909109,0.277800,3234.887
374,0.933224,0.821480,2.084720,0.244900,3241.109
374,0.000000,0.000000,2.084720,0.244900,3268.781
375,1.339312,0.602443,2.299644,0.194800,3281.260
378,1.000246,0.783730,1.929048,0.278000,3291.618
379,1.173834,0.705882,1.963465,0.284200,3305.774
380,1.051668,0.791634,1.991001,0.247000,3323.769
381,1.401798,0.577044,2.153498,0.209300,3331.244
385,1.061746,0.733348,1.964693,0.231000,3349.832
385,0.000000,0.000000,1.964693,0.231000,3362.284
387,1.242347,0.665190,2.048545,0.244400,3366.636
388,1.034186,0.780883,2.007680,0.223200,3378.272
389,1.781245,0.328767,1.896949,0.269600,3386.994
391,1.076323,0.715388,1.951379,0.234700,3398.588
392,1.493448,0.583851,1.941229,0.267000,3410.173
392,0.000000,0.000000,1.941229,0.267000,3413.788
395,1.086320,0.743412,1.927428,0.285800,3425.541
395,0.000000,0.000000,1.927428,0.285800,3448.316
397,0.845708,0.863027,1.940927,0.227200,3458.612
400,1.123372,0.730393,1.917202,0.290600,3469.736
400,0.000000,0.000000,1.917202,0.290600,3487.740
402,0.883359,0.835443,1.929596,0.250300,3507.887
403,0.750682,0.913713,1.981063,0.209400,3515.779
405,1.466847,0.562092,2.025408,0.216700,3524.297
407,1.130235,0.702741,1.846830,0.269300,3537.763
408,1.008847,0.781522,2.089794,0.209600,3542.068
410,0.843573,0.871594,2.271264,0.174000,3558.803
410,0.000000,0.000000,2.271264,0.174000,3577.997
412,1.323848,0.624714,2.209214,0.213700,3584.856
415,1.119567,0.710691,1.931517,0.247600,3596.683
415,0.000000,0.000000,1.931517,0.247600,3606.161
416,1.055425,0.742987,1.974616,0.249100,3622.037
417,0.643564,0.954382,1.994986,0.209600,3632.689
420,1.123827,0.730590,1.969718,0.266700,3639.794
421,1.141549,0.753145,2.038773,0.219100,3656.837
422,0.818309,0.857172,1.897640,0.254600,3669.040
423,1.416834,0.643979,1.811754,0.283500,3678.171
425,0.953006,0.812640,2.051769,0.229200,3685.729
427,1.202442,0.706272,2.007263,0.209500,3697.300
427,0.000000,0.000000,2.007263,0.209500,3711.176
429,1.256172,0.631102,2.054514,0.259100,3720.398
431,0.896639,0.841090,2.237943,0.204700,3727.628
432,1.495393,0.521739,2.136515,0.206900,3752.384
432,0.000000,0.000000,2.136515,0.206900,3764.272
435,1.105611,0.716605,2.032029,0.240100,3768.477
437,0.988914,0.782334,2.000294,0.200800,3781.139
437,0.000000,0.000000,2.000294,0.200800,3791.861
439,1.099402,0.749153,1.953007,0.274000,3814.570
441,1.155774,0.707437,1.949780,0.283900,3825.769
443,0.848850,0.853345,1.929360,0.249400,3844.694
444,0.830031,0.866718,1.961832,0.226900,3858.632
447,1.032752,0.776993,1.985083,0.224400,3862.989
448,1.917603,0.321918,1.817135,0.300800,3881.710
448,0.000000,0.000000,1.817135,0.300800,3898.615
450,1.264158,0.633996,2.013357,0.281500,3906.113
453,0.896948,0.841157,2.281175,0.195600,3912.484
453,0.000000,0.000000,2.281175,0.195600,3923.751
454,1.256607,0.664898,2.078063,0.229400,3943.245
456,1.311608,0.591457,1.977761,0.260000,3953.934
458,0.901784,0.843190,1.941373,0.231500,3970.008
459,1.085273,0.752663,1.889555,0.298500,3985.514
461,1.143927,0.710420,2.003685,0.247300,4002.710
462,1.212288,0.724843,2.005704,0.238000,4012.009
464,0.859495,0.848381,1.892269,0.258100,4021.948
466,0.968032,0.805924,2.165083,0.222600,4033.904
467,0.685334,0.968363,1.955900,0.256600,4042.868
469,1.621247,0.497268,1.865902,0.308500,4061.496
